<h>
Why	WRB	why
accomplices	NNS	accomplice
at	IN	at
worst	JJS	bad
with	IN	with
their	PP$	their
actions	NNS	action
.	SENT	.
<p>
Europe	NP	Europe
carries	VBZ	carry
the	DT	the
guilt	NN	guilt
of	IN	of
the	DT	the
holocaust	NN	holocaust
.	SENT	.
Franz	NP	Franz
Josef	NP	Josef
Strauss	NP	Strauss
,	,	,
a	DT	a
veteran	NN	veteran
of	IN	of
the	DT	the
Wehrmacht	NP	Wehrmacht
in	IN	in
the	DT	the
"	``	"
bloodlands	NNS	bloodland
"	''	"
of	IN	of
Eastern	NP	Eastern
Europe	NP	Europe
thought	VBD	think
that	IN	that
the	DT	the
task	NN	task
of	IN	of
leaving	VBG	leave
the	DT	the
past	NN	past
behind	IN	behind
us	PP	us
was	VBD	be
best	RBS	well
accomplished	VBN	accomplish
by	IN	by
defence	NN	defence
deals	NNS	deal
with	IN	with
Israel	NP	Israel
.	SENT	.
Germany	NP	Germany
had	VBD	have
banned	VBN	ban
public	JJ	public
recognition	NN	recognition
of	IN	of
the	DT	the
1948	CD	@card@
Nakba	NP	<unknown>
and	CC	and
criminalized	VBD	criminalize
any	DT	any
solidarity	NN	solidarity
with	IN	with
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
and	CC	and
it	PP	it
has	VBZ	have
now	RB	now
approached	VBN	approach
the	DT	the
ICJ	NP	ICJ
to	TO	to
join	VB	join
the	DT	the
Israeli	JJ	Israeli
genocide	NN	genocide
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
is	VBZ	be
not	RB	not
the	DT	the
first	JJ	first
time	NN	time
Germany	NP	Germany
has	VBZ	have
supported	VBN	support
Israel	NP	Israel
at	IN	at
the	DT	the
ICJ	NP	ICJ
.	SENT	.
In	IN	in
2021	CD	@card@
,	,	,
for	IN	for
example	NN	example
,	,	,
while	IN	while
pursuing	VBG	pursue
defence	NN	defence
deals	NNS	deal
with	IN	with
Israel	NP	Israel
,	,	,
Germany	NP	Germany
challenged	VBD	challenge
the	DT	the
right	NN	right
of	IN	of
the	DT	the
International	NP	International
Criminal	NP	Criminal
Court	NP	Court
to	TO	to
investigate	VB	investigate
war	NN	war
crimes	NNS	crime
in	IN	in
the	DT	the
Occupied	JJ	occupied
Territories	NP	Territories
.	SENT	.
German	JJ	German
journalist	NN	journalist
Ralf	NP	Ralf
Vogel	NP	Vogel
famously	RB	famously
said	VBD	say
that	IN	that
the	DT	the
Uzi	NP	Uzi
(	(	(
an	DT	an
Israeli	JJ	Israeli
submachine	JJ	submachine
gun	NN	gun
)	)	)
in	IN	in
the	DT	the
hand	NN	hand
of	IN	of
the	DT	the
German	JJ	German
soldier	NN	soldier
is	VBZ	be
better	JJR	good
than	IN	than
any	DT	any
brochure	NN	brochure
against	IN	against
anti-semitism	NN	anti-semitism
.	SENT	.
<p>
Muslim	JJ	Muslim
states	NNS	state
have	VBP	have
only	RB	only
issued	VBN	issue
verbal	JJ	verbal
condemnations	NNS	condemnation
of	IN	of
Israel	NP	Israel
,	,	,
except	IN	except
for	IN	for
Yemen	NP	Yemen
.	SENT	.
The	DT	the
Islamic	NP	Islamic
Republic	NP	Republic
of	IN	of
Iran	NP	Iran
,	,	,
the	DT	the
state	NN	state
which	WDT	which
often	RB	often
engages	VBZ	engage
in	IN	in
realpolitik	NN	<unknown>
about	IN	about
Israel	NP	Israel
,	,	,
chose	VBD	choose
to	TO	to
attack	VB	attack
Syria	NP	Syria
,	,	,
Iraq	NP	Iraq
and	CC	and
Pakistan	NP	Pakistan
with	IN	with
missile	NN	missile
strikes	NNS	strike
.	SENT	.
<p>
Indonesia	NP	Indonesia
and	CC	and
Slovenia	NP	Slovenia
(	(	(
an	DT	an
Eastern	JJ	eastern
European	JJ	European
state	NN	state
)	)	)
will	MD	will
join	VB	join
proceedings	NNS	proceeding
that	WDT	that
seek	VBP	seek
an	DT	an
advisory	JJ	advisory
opinion	NN	opinion
from	IN	from
the	DT	the
ICJ	NP	ICJ
on	IN	on
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
control	NN	control
of	IN	of
and	CC	and
policies	NNS	policy
on	IN	on
Palestine	NP	Palestine
.	SENT	.
Saudi	NP	Saudi
Arabia	NP	Arabia
,	,	,
Iran	NP	Iran
,	,	,
Pakistan	NP	Pakistan
,	,	,
Turkey	NP	Turkey
,	,	,
Jordan	NP	Jordan
,	,	,
Malaysia	NP	Malaysia
and	CC	and
Morocco	NP	Morocco
have	VBP	have
voiced	VBN	voice
support	NN	support
for	IN	for
the	DT	the
South	JJ	South
African	JJ	African
case	NN	case
.	SENT	.
<p>
The	DT	the
writer	NN	writer
is	VBZ	be
an	DT	an
independent	JJ	independent
researcher	NN	researcher
,	,	,
author	NN	author
and	CC	and
columnist	NN	columnist
.	SENT	.
She	PP	she
can	MD	can
be	VB	be
reached	VBN	reach
at	IN	at
aliya1924@gmail.com	NP	<unknown>
