<p>
Sen.	NP	Sen.
,	,	,
violates	VBZ	violate
international	JJ	international
law	NN	law
.	SENT	.
So	RB	so
,	,	,
I	PP	I
would	MD	would
hope	VB	hope
that	IN	that
the	DT	the
president	NN	president
follows	VBZ	follow
through	IN	through
on	IN	on
his	PP$	his
concerns	NNS	concern
and	CC	and
says	VBZ	say
to	TO	to
Netanyahu	NP	<unknown>
,	,	,
'	''	'
this	DT	this
is	VBZ	be
unacceptable	JJ	unacceptable
.	SENT	.
You	PP	you
'	POS	'
re	NN	re
not	RB	not
getting	VBG	get
a	DT	a
nickel	NN	nickel
more	RBR	more
from	IN	from
the	DT	the
United	NP	United
States	NPS	States
unless	IN	unless
you	PP	you
radically	RB	radically
change	VBP	change
course	NN	course
.	SENT	.
'	''	'
We	PP	we
'	POS	'
re	NN	re
not	RB	not
going	VBG	go
to	TO	to
see	VB	see
hundreds	NNS	hundred
and	CC	and
hundreds	NNS	hundred
of	IN	of
thousands	NNS	thousand
of	IN	of
children	NNS	child
starve	VBP	starve
to	TO	to
death	NN	death
,	,	,
"	''	"
Sanders	NP	Sanders
said	VBD	say
.	SENT	.
<p>
A	DT	a
group	NN	group
of	IN	of
17	CD	@card@
of	IN	of
the	DT	the
president	NN	president
'	POS	'
s	JJ	<unknown>
campaign	NN	campaign
staffers	NNS	staffer
wrote	VBD	write
a	DT	a
letter	NN	letter
to	TO	to
the	DT	the
president	NN	president
in	IN	in
January	NP	January
,	,	,
which	WDT	which
called	VBD	call
on	IN	on
Biden	NP	Biden
to	TO	to
publicly	RB	publicly
call	VB	call
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
and	CC	and
halt	NN	halt
funding	NN	funding
to	TO	to
Israel	NP	Israel
.	SENT	.
<p>
"	``	"
As	IN	as
your	PP$	your
staff	NN	staff
,	,	,
we	PP	we
believe	VBP	believe
it	PP	it
is	VBZ	be
both	CC	both
a	DT	a
moral	JJ	moral
and	CC	and
electoral	JJ	electoral
imperative	NN	imperative
for	IN	for
you	PP	you
to	TO	to
publicly	RB	publicly
call	VB	call
for	IN	for
a	DT	a
cessation	NN	cessation
of	IN	of
violence	NN	violence
,	,	,
"	''	"
the	DT	the
staffers	NNS	staffer
wrote	VBD	write
in	IN	in
the	DT	the
letter	NN	letter
.	SENT	.
<p>
"	''	"
We	PP	we
joined	VBD	join
this	DT	this
campaign	NN	campaign
because	IN	because
the	DT	the
values	NNS	value
that	WDT	that
you	PP	you
--	:	--
and	CC	and
we	PP	we
--	:	--
share	NN	share
are	VBP	be
ones	NNS	one
worth	NN	worth
fighting	VBG	fight
for	IN	for
.	SENT	.
Justice	NP	Justice
,	,	,
empathy	NN	empathy
,	,	,
and	CC	and
our	PP$	our
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
of	IN	of
not	RB	not
only	RB	only
the	DT	the
Democratic	JJ	Democratic
Party	NN	party
,	,	,
but	CC	but
of	IN	of
the	DT	the
country	NN	country
,	,	,
"	''	"
the	DT	the
letter	NN	letter
continued	VBD	continue
.	SENT	.
"	''	"
However	RB	however
,	,	,
your	PP$	your
administration	NN	administration
'	POS	'
s	JJ	<unknown>
response	NN	response
to	TO	to
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
indiscriminate	JJ	indiscriminate
bombing	NN	bombing
in	IN	in
Gaza	NP	Gaza
has	VBZ	have
been	VBN	be
fundamentally	RB	fundamentally
antithetical	JJ	antithetical
to	TO	to
those	DT	those
values	NNS	value
--	:	--
and	CC	and
we	PP	we
believe	VBP	believe
it	PP	it
could	MD	could
cost	VB	cost
you	PP	you
the	DT	the
2024	CD	@card@
election	NN	election
.	SENT	.
"	''	"
<p>
Sanders	NP	Sanders
called	VBD	call
on	IN	on
Congress	NP	Congress
in	IN	in
a	DT	a
statement	NN	statement
in	IN	in
January	NP	January
to	TO	to
reject	VB	reject
the	DT	the
$10.1	JJ	<unknown>
billion	NN	billion
in	IN	in
"	``	"
unconditional	JJ	unconditional
military	JJ	military
aid	NN	aid
"	''	"
being	VBG	be
considered	VBN	consider
for	IN	for
Netanyahu	NP	<unknown>
'	POS	'
s	NN	S
"	``	"
right-wing	JJ	right-wing
government	NN	government
to	TO	to
continue	VB	continue
its	PP$	its
brutal	JJ	brutal
war	NN	war
against	IN	against
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
.	SENT	.
"	``	"
