<h>
Most	JJS	most
"	``	"
It	PP	it
is	VBZ	be
now	RB	now
the	DT	the
routine	NN	routine
to	TO	to
shoot	VB	shoot
&amp	NNS	<unknown>
;	:	;
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
little	JJ	little
food	NN	food
from	IN	from
a	DT	a
company	NN	company
made	VBN	make
of	IN	of
mercenaries	NNS	mercenary
,	,	,
"	''	"
he	PP	he
said	VBD	say
.	SENT	.
<p>
"	''	"
Inviting	VBG	invite
starving	VBG	starve
people	NNS	people
to	TO	to
their	PP$	their
death	NN	death
is	VBZ	be
a	DT	a
war	NN	war
crime	NN	crime
.	SENT	.
Those	DT	those
responsible	JJ	responsible
of	IN	of
this	DT	this
system	NN	system
must	MD	must
be	VB	be
held	VBN	hold
accountable	JJ	accountable
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
disgrace	NN	disgrace
&amp	NN	<unknown>
;	:	;
a	DT	a
stain	NN	stain
on	IN	on
our	PP$	our
collective	JJ	collective
consciousness	NN	consciousness
.	SENT	.
"	''	"
<h>
Related	NP	Related
Posts	VBZ	post
<p>
On	IN	on
Thursday	NP	Thursday
,	,	,
Israeli	JJ	Israeli
forces	NNS	force
continued	VBD	continue
their	PP$	their
bloody	JJ	bloody
wave	NN	wave
of	IN	of
deadly	JJ	deadly
attacks	NNS	attack
across	IN	across
Gaza	NP	Gaza
,	,	,
killing	VBG	kill
dozens	NNS	dozen
of	IN	of
Palestinian	JJ	Palestinian
civilians	NNS	civilian
seeking	VBG	seek
food	NN	food
and	CC	and
shelter	NN	shelter
and	CC	and
further	RBR	further
tightening	VBG	tighten
the	DT	the
blockade	NN	blockade
on	IN	on
northern	JJ	northern
Gaza	NP	Gaza
...	:	...
.	SENT	.
<p>
After	IN	after
WW2	NP	<unknown>
the	DT	the
hundreds	NNS	hundred
of	IN	of
millions	NNS	million
of	IN	of
subjects	NNS	subject
of	IN	of
European	JJ	European
colonialism	NN	colonialism
demanded	VBD	demand
self-determination	NN	self-determination
from	IN	from
their	PP$	their
war-weakened	JJ	war-weakened
colonial	JJ	colonial
rulers	NNS	ruler
.	SENT	.
The	DT	the
struggle	NN	struggle
was	VBD	be
eventually	RB	eventually
largely	RB	largely
successful	JJ	successful
,	,	,
but	CC	but
was	VBD	be
particularly	RB	particularly
bloody	JJ	bloody
and	CC	and
protracted	JJ	protracted
...	:	...
