<p>
Earlier	RBR	earlier
Well	RB	well
,	,	,
we	PP	we
were	VBD	be
n't	RB	n't
.	SENT	.
<p>
All	DT	all
of	IN	of
this	DT	this
money	NN	money
was	VBD	be
used	VBN	use
by	IN	by
Hamas	JJ	<unknown>
leaders	NNS	leader
to	TO	to
buy	VB	buy
themselves	PP	themselves
luxury	NN	luxury
condos	NNS	condo
in	IN	in
Qatar	NP	Qatar
and	CC	and
other	JJ	other
foreign	JJ	foreign
climes	NNS	clime
.	SENT	.
Inside	IN	inside
Gaza	NP	Gaza
,	,	,
almost	RB	almost
none	NN	none
of	IN	of
this	DT	this
money	NN	money
went	VBD	go
to	TO	to
help	VB	help
Palestinians	NPS	Palestinians
in	IN	in
Gaza	NP	Gaza
.	SENT	.
Rather	NP	Rather
Hamas	NP	<unknown>
used	VBD	use
the	DT	the
funds	NNS	fund
they	PP	they
did	VBD	do
n't	RB	n't
pilfer	VB	pilfer
to	TO	to
build	VB	build
this	DT	this
underground	JJ	underground
terror	NN	terror
network	NN	network
which	WDT	which
comes	VBZ	come
out	RP	out
in	IN	in
hospitals	NNS	hospital
,	,	,
mosques	NNS	mosque
,	,	,
and	CC	and
other	JJ	other
places	NNS	place
that	IN	that
the	DT	the
international	JJ	international
community	NN	community
regards	VBZ	regard
as	RB	as
sacred	JJ	sacred
,	,	,
but	CC	but
which	WDT	which
Hamas	NP	<unknown>
does	VBZ	do
not	RB	not
.	SENT	.
<p>
And	CC	and
why	WRB	why
do	VBP	do
I	PP	I
say	VBP	say
"	``	"
we	PP	we
"	''	"
?	SENT	?
Because	IN	because
American	JJ	American
taxpayers	NNS	taxpayer
are	VBP	be
among	IN	among
the	DT	the
people	NNS	people
who	WP	who
were	VBD	be
fooled	VBN	fool
into	IN	into
sending	VBG	send
money	NN	money
to	TO	to
these	DT	these
terrorists	NNS	terrorist
.	SENT	.
<p>
Since	IN	since
2007	CD	@card@
,	,	,
the	DT	the
US	NP	US
has	VBZ	have
sent	VBN	send
over	IN	over
$400	JJ	<unknown>
million	CD	million
in	IN	in
taxpayers	NNS	taxpayer
'	POS	'
money	NN	money
to	TO	to
Gaza	NP	Gaza
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
power	NN	power
.	SENT	.
These	DT	these
are	VBP	be
the	DT	the
official	JJ	official
figures	NNS	figure
released	VBN	release
by	IN	by
USAID	NP	<unknown>
(	(	(
United	NP	United
States	NPS	States
Agency	NP	Agency
for	IN	for
International	NP	International
Development	NP	Development
.	SENT	.
USAID	NP	<unknown>
also	RB	also
says	VBZ	say
that	IN	that
it	PP	it
has	VBZ	have
paid	VBN	pay
more	JJR	more
than	IN	than
$500	JJ	<unknown>
million	CD	million
between	IN	between
2021	CD	@card@
and	CC	and
the	DT	the
end	NN	end
of	IN	of
this	DT	this
year	NN	year
.	SENT	.
<h>
see	VB	see
also	RB	also
<p>
That	DT	that
money	NN	money
may	MD	may
also	RB	also
have	VB	have
gone	VBN	go
to	TO	to
the	DT	the
Palestinian	JJ	Palestinian
Authority	NP	Authority
in	IN	in
the	DT	the
West	NP	West
Bank	NP	Bank
.	SENT	.
And	CC	and
I	PP	I
can	MD	can
tell	VB	tell
you	PP	you
from	IN	from
traveling	VBG	travel
there	RB	there
many	JJ	many
times	NNS	time
that	IN	that
I	PP	I
know	VBP	know
where	WRB	where
our	PP$	our
taxpayer	NN	taxpayer
dollars	NNS	dollar
went	VBD	go
too	RB	too
.	SENT	.
They	PP	they
went	VBD	go
to	TO	to
the	DT	the
equally	RB	equally
corrupt	JJ	corrupt
officials	NNS	official
of	IN	of
Fatah	NP	Fatah
who	WP	who
built	VBD	build
themselves	PP	themselves
mansions	NNS	mansion
that	WDT	that
would	MD	would
cause	VB	cause
envy	NN	envy
to	TO	to
many	JJ	many
homeowners	NNS	homeowner
in	IN	in
the	DT	the
Hamptons	NP	Hamptons
.	SENT	.
<p>
And	CC	and
even	RB	even
that	WDT	that
is	VBZ	be
n't	RB	n't
the	DT	the
end	NN	end
of	IN	of
it	PP	it
.	SENT	.
Because	IN	because
the	DT	the
US	NP	US
is	VBZ	be
also	RB	also
foolish	JJ	foolish
enough	RB	enough
to	TO	to
continue	VB	continue
to	TO	to
fund	VB	fund
the	DT	the
UN	NP	UN
agency	NN	agency
UNRWA	NP	<unknown>
.	SENT	.
This	DT	this
is	VBZ	be
one	CD	one
of	IN	of
the	DT	the
most	RBS	most
corrupt	JJ	corrupt
entities	NNS	entity
even	RB	even
at	IN	at
the	DT	the
UN	NP	UN
.	SENT	.
Which	WDT	which
is	VBZ	be
saying	VBG	say
something	NN	something
.	SENT	.
And	CC	and
in	IN	in
2021	CD	@card@
alone	RB	alone
the	DT	the
US	NP	US
was	VBD	be
UNRWA	NP	<unknown>
'	POS	'
s	JJ	<unknown>
largest	JJS	large
single	JJ	single
donor	NN	donor
,	,	,
shoveling	VBG	shovel
an	DT	an
astonishing	JJ	astonishing
$338	NP	<unknown>
million	CD	million
.	SENT	.
<p>
Other	JJ	other
countries	NNS	country
have	VBP	have
also	RB	also
been	VBN	be
taken	VBN	take
for	IN	for
mugs	NNS	mug
.	SENT	.
<p>
The	DT	the
EU	NP	EU
is	VBZ	be
spending	VBG	spend
more	RBR	more
than	IN	than
$100	JJ	<unknown>
million	CD	million
in	IN	in
Gaza	NP	Gaza
this	DT	this
year	NN	year
.	SENT	.
But	CC	but
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
to	TO	to
UNRWA	NP	<unknown>
as	IN	as
America	NP	America
does	VBZ	do
.	SENT	.
The	DT	the
US	NP	US
is	VBZ	be
far	RB	far
and	CC	and
away	RB	away
the	DT	the
biggest	JJS	big
donor	NN	donor
.	SENT	.
The	DT	the
next	JJ	next
biggest	JJS	big
is	VBZ	be
Germany	NP	Germany
with	IN	with
a	DT	a
mere	JJ	mere
$176	NN	<unknown>
million	CD	million
going	VBG	go
annually	RB	annually
to	TO	to
the	DT	the
organization	NN	organization
.	SENT	.
In	IN	in
total	NN	total
,	,	,
US	NP	US
agencies	NNS	agency
have	VBP	have
funneled	VBN	funnel
billions	NNS	billion
of	IN	of
dollars	NNS	dollar
to	TO	to
Gaza	NP	Gaza
in	IN	in
recent	JJ	recent
years	NNS	year
.	SENT	.
And	CC	and
all	DT	all
of	IN	of
this	DT	this
money	NN	money
has	VBZ	have
gone	VBN	go
not	RB	not
to	TO	to
improving	VBG	improve
the	DT	the
lives	NNS	life
of	IN	of
Palestinians	NPS	Palestinians
,	,	,
but	CC	but
to	TO	to
building	NN	building
palaces	NNS	palace
for	IN	for
Hamas	NNS	<unknown>
and	CC	and
tunnels	NNS	tunnel
for	IN	for
their	PP$	their
weaponry	NN	weaponry
and	CC	and
terrorists	NNS	terrorist
.	SENT	.
<h>
Israel	NP	Israel
War	NP	War
Update	NN	update
<p>
Get	VBP	get
the	DT	the
most	RBS	most
important	JJ	important
developments	NNS	development
in	IN	in
the	DT	the
region	NN	region
,	,	,
globally	RB	globally
and	CC	and
locally	RB	locally
.	SENT	.
<p>
Hamas	JJ	<unknown>
officials	NNS	official
have	VBP	have
even	RB	even
said	VBN	say
that	IN	that
they	PP	they
regard	VBP	regard
the	DT	the
tunnels	NNS	tunnel
as	IN	as
being	VBG	be
for	IN	for
their	PP$	their
terrorists	NNS	terrorist
.	SENT	.
The	DT	the
rest	NN	rest
of	IN	of
the	DT	the
world	NN	world
is	VBZ	be
meant	VBN	mean
to	TO	to
look	VB	look
after	IN	after
the	DT	the
actual	JJ	actual
civilians	NNS	civilian
themselves	PP	themselves
.	SENT	.
<p>
I	PP	I
beg	VBP	beg
to	TO	to
differ	VB	differ
.	SENT	.
And	CC	and
I	PP	I
also	RB	also
beg	VB	beg
American	JJ	American
officials	NNS	official
to	TO	to
wise	VB	wise
up	RP	up
.	SENT	.
Our	PP$	our
taxpayer	NN	taxpayer
dollars	NNS	dollar
have	VBP	have
gone	VBN	go
to	TO	to
a	DT	a
terrorist	JJ	terrorist
group	NN	group
every	DT	every
year	NN	year
since	IN	since
2007	CD	@card@
.	SENT	.
And	CC	and
now	RB	now
we	PP	we
know	VBP	know
what	WP	what
we	PP	we
have	VBP	have
got	VBN	get
for	IN	for
it	PP	it
.	SENT	.
An	DT	an
attack	NN	attack
on	IN	on
our	PP$	our
allies	NNS	ally
in	IN	in
Israel	NP	Israel
.	SENT	.
<p>
But	CC	but
there	EX	there
'	''	'
s	NN	S
something	NN	something
about	IN	about
Gay	NP	Gay
that	WDT	that
protects	VBZ	protect
her	PP	her
.	SENT	.
She	PP	she
is	VBZ	be
not	RB	not
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
this	DT	this
gives	VBZ	give
her	PP	her
a	DT	a
forcefield	NN	forcefield
of	IN	of
protection	NN	protection
even	RB	even
as	IN	as
she	PP	she
shows	VBZ	show
herself	PP	herself
to	TO	to
be	VB	be
a	DT	a
plagiarist	NN	plagiarist
.	SENT	.
Not	RB	not
to	TO	to
mention	VB	mention
a	DT	a
moral	JJ	moral
ignoramus	NN	ignoramus
.	SENT	.
<p>
Yet	RB	yet
like	IN	like
her	PP$	her
cousin	NN	cousin
,	,	,
the	DT	the
feminist	JJ	feminist
activist	NN	activist
Roxanne	NP	Roxanne
Gay	NP	Gay
,	,	,
Claudine	NP	Claudine
is	VBZ	be
a	DT	a
very	RB	very
privileged	VBN	privilege
and	CC	and
entitled	VBN	entitle
person	NN	person
.	SENT	.
Like	IN	like
her	PP$	her
cousin	NN	cousin
,	,	,
she	PP	she
has	VBZ	have
simply	RB	simply
found	VBN	find
a	DT	a
way	NN	way
to	TO	to
nix	VB	nix
the	DT	the
stupid	JJ	stupid
system	NN	system
of	IN	of
our	PP$	our
time	NN	time
.	SENT	.
Both	CC	both
of	IN	of
them	PP	them
have	VBP	have
managed	VBN	manage
to	TO	to
use	VB	use
the	DT	the
DEI	NP	dei
obsessions	NNS	obsession
of	IN	of
modern	JJ	modern
America	NP	America
as	IN	as
a	DT	a
forcefield	NN	forcefield
.	SENT	.
<p>
I	PP	I
wonder	VBP	wonder
how	WRB	how
long	JJ	long
that	DT	that
forcefield	NN	forcefield
will	MD	will
last	VB	last
?	SENT	?
After	IN	after
all	DT	all
,	,	,
there	EX	there
are	VBP	be
plenty	NN	plenty
of	IN	of
talented	JJ	talented
black	JJ	black
women	NNS	woman
who	WP	who
could	MD	could
have	VB	have
that	DT	that
role	NN	role
.	SENT	.
And	CC	and
did	VBD	do
n't	RB	n't
cover	VB	cover
their	PP$	their
path	NN	path
with	IN	with
fraud	NN	fraud
to	TO	to
get	VB	get
there	RB	there
.	SENT	.
