<p>
An	DT	an
animal	NN	animal
was	VBD	be
not	RB	not
being	VBG	be
monitored	VBN	monitor
live	VBP	live
by	IN	by
the	DT	the
troops	NNS	troop
,	,	,
who	WP	who
left	VBD	leave
the	DT	the
dog	NN	dog
at	IN	at
the	DT	the
location	NN	location
while	IN	while
they	PP	they
engaged	VBD	engage
other	JJ	other
targets	NNS	target
and	CC	and
only	RB	only
later	RBR	later
reviewed	VBN	review
the	DT	the
footage	NN	footage
.	SENT	.
<p>
IDF	NP	IDF
chief	NN	chief
of	IN	of
staff	NN	staff
Lt.	NP	Lt.
Gen.	NP	Gen.
Herzl	NP	Herzl
Halevi	NP	<unknown>
ordered	VBD	order
an	DT	an
investigation	NN	investigation
and	CC	and
new	JJ	new
protocols	NNS	protocol
were	VBD	be
issued	VBN	issue
to	TO	to
soldiers	NNS	soldier
for	IN	for
the	DT	the
possibility	NN	possibility
of	IN	of
additional	JJ	additional
hostages	NNS	hostage
managing	VBG	manage
to	TO	to
flee	VB	flee
captivity	NN	captivity
.	SENT	.
<p>
Monday	NP	Monday
'	POS	'
s	NN	S
deaths	NNS	death
brought	VBD	bring
the	DT	the
number	NN	number
of	IN	of
Israeli	JJ	Israeli
troops	NNS	troop
killed	VBN	kill
since	IN	since
the	DT	the
start	NN	start
of	IN	of
the	DT	the
ground	NN	ground
offensive	NN	offensive
to	TO	to
161	CD	@card@
,	,	,
officials	NNS	official
said	VBD	say
.	SENT	.
<p>
Some	DT	some
1,200	CD	@card@
people	NNS	people
in	IN	in
Israel	NP	Israel
,	,	,
most	JJS	most
of	IN	of
them	PP	them
civilians	NNS	civilian
,	,	,
were	VBD	be
massacred	VBN	massacre
by	IN	by
Hamas	NP	<unknown>
and	CC	and
about	RB	about
240	CD	@card@
others	NNS	other
were	VBD	be
kidnapped	VBN	kidnap
.	SENT	.
A	DT	a
recent	JJ	recent
cease-fire	NN	cease-fire
allowed	VBN	allow
for	IN	for
the	DT	the
release	NN	release
of	IN	of
over	RB	over
100	CD	@card@
hostages	NNS	hostage
,	,	,
but	CC	but
talks	NNS	talk
for	IN	for
a	DT	a
new	JJ	new
deal	NN	deal
have	VBP	have
collapsed	VBN	collapse
.	SENT	.
