<h>
1st	JJ	1st
during	IN	during
the	DT	the
Israeli	JJ	Israeli
leader	NN	leader
'	POS	'
s	JJ	<unknown>
first	NN	first
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
.	SENT	.
<p>
But	CC	but
obstacles	NNS	obstacle
to	TO	to
the	DT	the
deal	NN	deal
remain	VB	remain
.	SENT	.
The	DT	the
Saudis	NP	Saudis
are	VBP	be
seeking	VBG	seek
a	DT	a
defense	NN	defense
pact	NN	pact
with	IN	with
the	DT	the
United	NP	United
States	NPS	States
and	CC	and
want	VB	want
help	NN	help
in	IN	in
building	VBG	build
their	PP$	their
own	JJ	own
civilian	JJ	civilian
nuclear	JJ	nuclear
program	NN	program
,	,	,
which	WDT	which
has	VBZ	have
fueled	VBN	fuel
fears	NNS	fear
of	IN	of
an	DT	an
arms	NNS	arm
race	NN	race
with	IN	with
Iran	NP	Iran
.	SENT	.
<p>
Saudi	NP	Saudi
Arabia	NP	Arabia
also	RB	also
wants	VBZ	want
Israel	NP	Israel
to	TO	to
grant	VB	grant
at	IN	at
least	JJS	least
some	DT	some
kind	NN	kind
of	IN	of
concession	NN	concession
to	TO	to
the	DT	the
Palestinians	NPS	Palestinians
in	IN	in
the	DT	the
West	NP	West
Bank	NP	Bank
,	,	,
which	WDT	which
Israel	NP	Israel
captured	VBD	capture
along	RP	along
with	IN	with
east	JJ	east
Jerusalem	NP	Jerusalem
and	CC	and
Gaza	NP	Gaza
in	IN	in
the	DT	the
1967	CD	@card@
Mideast	JJ	Mideast
war	NN	war
.	SENT	.
<p>
From	IN	from
Ramallah	NP	Ramallah
on	IN	on
Tuesday	NP	Tuesday
,	,	,
al-Sudairi	NP	<unknown>
reiterated	VBD	reiterate
the	DT	the
kingdom	NN	kingdom
'	POS	'
s	JJ	<unknown>
position	NN	position
in	IN	in
support	NN	support
of	IN	of
the	DT	the
Palestinians	NPS	Palestinians
,	,	,
describing	VBG	describe
the	DT	the
Arab	NP	Arab
Peace	NP	Peace
Initiative	NP	Initiative
as	IN	as
a	DT	a
"	``	"
fundamental	JJ	fundamental
pillar	NN	pillar
of	IN	of
any	DT	any
agreement	NN	agreement
.	SENT	.
"	''	"
<p>
Yet	RB	yet
any	DT	any
effort	NN	effort
to	TO	to
grant	VB	grant
the	DT	the
Palestinians	NPS	Palestinians
greater	JJR	great
autonomy	NN	autonomy
would	MD	would
be	VB	be
met	VBN	meet
with	IN	with
strong	JJ	strong
opposition	NN	opposition
by	IN	by
Israeli	NP	Israeli
Prime	NP	Prime
Minister	NP	Minister
Benjamin	NP	Benjamin
Netanyahu	NP	<unknown>
'	POS	'
s	NNS	<unknown>
far-right	JJ	far-right
,	,	,
ultranationalist	JJ	ultranationalist
government	NN	government
.	SENT	.
Powerful	JJ	powerful
Cabinet	NP	Cabinet
ministers	NNS	minister
have	VBP	have
imposed	VBN	impose
sanctions	NNS	sanction
on	IN	on
the	DT	the
Palestinian	NP	Palestinian
Authority	NP	Authority
and	CC	and
called	VBD	call
openly	RB	openly
for	IN	for
the	DT	the
annexation	NN	annexation
of	IN	of
parts	NNS	part
of	IN	of
the	DT	the
West	NP	West
Bank	NP	Bank
.	SENT	.
<p>
"	``	"
He	PP	he
is	VBZ	be
here	RB	here
to	TO	to
begin	VB	begin
work	VB	work
developing	VBG	develop
relations	NNS	relation
between	IN	between
our	PP$	our
countries	NNS	country
,	,	,
"	''	"
al-Maliki	NP	<unknown>
said	VBD	say
of	IN	of
the	DT	the
ambassador	NN	ambassador
.	SENT	.
"	``	"
It	PP	it
is	VBZ	be
a	DT	a
major	JJ	major
responsibility	NN	responsibility
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
Palestinian	NP	Palestinian
Authority	NP	Authority
also	RB	also
has	VBZ	have
not	RB	not
specified	VBN	specify
what	WP	what
it	PP	it
is	VBZ	be
willing	JJ	willing
to	TO	to
accept	VB	accept
from	IN	from
the	DT	the
Israeli	JJ	Israeli
government	NN	government
.	SENT	.
President	NP	President
Abbas	NP	Abbas
said	VBD	say
at	IN	at
the	DT	the
United	NP	United
Nations	NPS	Nations
General	NP	General
Assembly	NP	Assembly
in	IN	in
New	NP	New
York	NP	York
last	JJ	last
week	NN	week
that	IN	that
there	EX	there
can	MD	can
be	VB	be
no	DT	no
Mideast	JJ	Mideast
peace	NN	peace
without	IN	without
his	PP$	his
people	NNS	people
enjoying	VBG	enjoy
their	PP$	their
"	``	"
full	JJ	full
and	CC	and
legitimate	JJ	legitimate
national	JJ	national
rights	NNS	right
.	SENT	.
"	''	"
<p>
Netanyahu	NP	<unknown>
,	,	,
meanwhile	RB	meanwhile
,	,	,
has	VBZ	have
staked	VBN	stake
his	PP$	his
legacy	NN	legacy
on	IN	on
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
normalization	NN	normalization
of	IN	of
ties	NNS	tie
with	IN	with
Arab	JJ	Arab
states	NNS	state
as	IN	as
an	DT	an
alternative	NN	alternative
to	TO	to
negotiating	VBG	negotiate
with	IN	with
the	DT	the
Palestinians	NPS	Palestinians
.	SENT	.
In	IN	in
2020	CD	@card@
,	,	,
Israel	NP	Israel
forged	VBD	forge
relations	NNS	relation
with	IN	with
three	CD	three
Arab	JJ	Arab
countries	NNS	country
,	,	,
including	VBG	include
the	DT	the
Gulf	NP	Gulf
Arab	JJ	Arab
states	NNS	state
of	IN	of
United	NP	United
Arab	NP	Arab
Emirates	NPS	Emirates
and	CC	and
Bahrain	NP	Bahrain
.	SENT	.
<p>
Those	DT	those
deals	NNS	deal
have	VBP	have
helped	VBN	help
end	NN	end
years	NNS	year
of	IN	of
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
isolation	NN	isolation
in	IN	in
the	DT	the
region	NN	region
and	CC	and
raised	VBD	raise
hopes	NNS	hope
that	IN	that
Saudi	NP	Saudi
Arabia	NP	Arabia
--	:	--
the	DT	the
Sunni	NP	Sunni
powerhouse	NN	powerhouse
home	NN	home
to	TO	to
Islam	NP	Islam
'	POS	'
s	JJ	<unknown>
most	RBS	most
important	JJ	important
religious	JJ	religious
sites	NNS	site
--	:	--
and	CC	and
other	JJ	other
Arab	JJ	Arab
states	NNS	state
that	WDT	that
have	VBP	have
long	RB	long
refused	VBN	refuse
to	TO	to
recognize	VB	recognize
Israel	NP	Israel
would	MD	would
make	VB	make
similar	JJ	similar
moves	NNS	move
.	SENT	.
<p>
The	DT	the
visit	NN	visit
by	IN	by
Tourism	NP	Tourism
Minister	NP	Minister
Katz	NP	Katz
to	TO	to
Riyadh	NP	Riyadh
appeared	VBD	appear
to	TO	to
further	RBR	further
accelerate	VB	accelerate
the	DT	the
countries	NNS	country
'	POS	'
push	NN	push
for	IN	for
normalization	NN	normalization
.	SENT	.
Before	IN	before
taking	VBG	take
off	RP	off
for	IN	for
Saudi	NP	Saudi
Arabia	NP	Arabia
,	,	,
Katz	NP	Katz
described	VBD	describe
tourism	NN	tourism
as	IN	as
a	DT	a
"	``	"
bridge	NN	bridge
between	IN	between
nations	NNS	nation
.	SENT	.
"	''	"
<p>
"	''	"
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
together	RB	together
and	CC	and
economic	JJ	economic
prosperity	NN	prosperity
,	,	,
"	''	"
he	PP	he
said	VBD	say
.	SENT	.
<p>
When	WRB	when
asked	VBN	ask
about	IN	about
Katz	NP	Katz
'	POS	'
s	NN	S
visit	NN	visit
,	,	,
Ahmad	NP	Ahmad
Deek	NP	Deek
,	,	,
the	DT	the
director-general	NN	director-general
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
Foreign	NP	Foreign
Ministry	NP	Ministry
,	,	,
said	VBD	say
that	IN	that
the	DT	the
Palestinian	NP	Palestinian
Authority	NP	Authority
"	''	"
is	VBZ	be
in	IN	in
continuous	JJ	continuous
dialogue	NN	dialogue
"	''	"
about	IN	about
the	DT	the
developments	NNS	development
with	IN	with
Saudi	JJ	Saudi
officials	NNS	official
and	CC	and
"	``	"
trusts	NNS	trust
in	IN	in
their	PP$	their
support	NN	support
for	IN	for
the	DT	the
rights	NNS	right
of	IN	of
