<h>
Addressing	VBG	address
Biden	NP	Biden
spoke	VBD	speak
with	IN	with
Rachel	NP	Rachel
Goldberg	NP	Goldberg
and	CC	and
Jon	NP	Jon
Polin	NP	Polin
,	,	,
parents	NNS	parent
of	IN	of
Hersh	NP	Hersh
Goldberg-Polin	NP	Goldberg-Polin
,	,	,
to	TO	to
offer	VB	offer
his	PP$	his
condolences	NNS	condolence
for	IN	for
the	DT	the
death	NN	death
of	IN	of
their	PP$	their
son	NN	son
at	IN	at
the	DT	the
hands	NNS	hand
of	IN	of
Hamas	NP	<unknown>
.	SENT	.
"	``	"
<p>
Both	DT	both
Biden	NP	Biden
and	CC	and
Harris	NP	Harris
,	,	,
the	DT	the
Democratic	JJ	Democratic
presidential	JJ	presidential
nominee	NN	nominee
,	,	,
have	VBP	have
met	VBN	meet
with	IN	with
Goldberg-Polin	NP	Goldberg-Polin
'	POS	'
s	NN	S
parents	NNS	parent
,	,	,
and	CC	and
in	IN	in
statements	NNS	statement
released	VBN	release
Saturday	NP	Saturday
night	NN	night
denounced	VBD	denounce
Hamas	NNS	<unknown>
for	IN	for
the	DT	the
killing	NN	killing
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
that	IN	that
she	PP	she
and	CC	and
second	JJ	second
gentleman	NN	gentleman
Doug	NP	Doug
Emhoff	NP	Emhoff
"	``	"
just	RB	just
spoke	VBD	speak
to	TO	to
Jon	NP	Jon
and	CC	and
Rachel	NP	Rachel
,	,	,
Hersh	NP	Hersh
Goldberg-Polin	NP	Goldberg-Polin
'	POS	'
s	NN	S
parents	NNS	parent
,	,	,
to	TO	to
express	VB	express
our	PP$	our
condolences	NNS	condolence
following	VBG	follow
the	DT	the
brutal	JJ	brutal
murder	NN	murder
of	IN	of
their	PP$	their
son	NN	son
by	IN	by
Hamas	JJ	<unknown>
terrorists	NNS	terrorist
.	SENT	.
My	PP$	my
heart	NN	heart
breaks	NNS	break
for	IN	for
their	PP$	their
pain	NN	pain
and	CC	and
anguish	NN	anguish
.	SENT	.
I	PP	I
told	VBD	tell
them	PP	them
:	:	:
As	IN	as
they	PP	they
mourn	VBP	mourn
this	DT	this
terrible	JJ	terrible
loss	NN	loss
,	,	,
they	PP	they
are	VBP	be
not	RB	not
alone	RB	alone
.	SENT	.
Our	PP$	our
nation	NN	nation
mourns	VBZ	mourn
with	IN	with
them	PP	them
.	SENT	.
"	''	"
<p>
Doug	NP	Doug
and	CC	and
I	PP	I
just	RB	just
spoke	VBD	speak
to	TO	to
Jon	NP	Jon
and	CC	and
Rachel	NP	Rachel
,	,	,
Hersh	NP	Hersh
Goldberg-Polin	NP	Goldberg-Polin
'	POS	'
s	NN	S
parents	NNS	parent
,	,	,
to	TO	to
express	VB	express
our	PP$	our
condolences	NNS	condolence
following	VBG	follow
the	DT	the
brutal	JJ	brutal
murder	NN	murder
of	IN	of
their	PP$	their
son	NN	son
by	IN	by
Hamas	JJ	<unknown>
terrorists	NNS	terrorist
.	SENT	.
My	PP$	my
heart	NN	heart
breaks	NNS	break
for	IN	for
their	PP$	their
pain	NN	pain
and	CC	and
anguish	NN	anguish
.	SENT	.
<p>
I	PP	I
told	VBD	tell
them	PP	them
:	:	:
As	IN	as
they	PP	they
mourn	VBP	mourn
this	DT	this
terrible	JJ	terrible
loss	NN	loss
,	,	,
they	PP	they
are	VBP	be
not	RB	not
alone	RB	alone
.	SENT	.
Our	PP$	our
...	:	...
<p>
Israeli	JJ	Israeli
soldiers	NNS	soldier
found	VBD	find
the	DT	the
bodies	NNS	body
of	IN	of
six	CD	six
hostages	NNS	hostage
,	,	,
including	VBG	include
Polin-Goldberg	NP	Polin-Goldberg
,	,	,
taken	VBN	take
Oct.	NP	Oct.
7	CD	@card@
,	,	,
in	IN	in
an	DT	an
underground	JJ	underground
tunnel	NN	tunnel
in	IN	in
Gaza	NP	Gaza
.	SENT	.
An	DT	an
Israeli	JJ	Israeli
military	JJ	military
spokesperson	NN	spokesperson
told	VBD	tell
CNN	NP	CNN
on	IN	on
Sunday	NP	Sunday
the	DT	the
slayings	NNS	slaying
by	IN	by
Hamas	NP	<unknown>
took	VBD	take
place	NN	place
"	''	"
recently	RB	recently
,	,	,
"	''	"
with	IN	with
the	DT	the
bodies	NNS	body
found	VBN	find
on	IN	on
Saturday	NP	Saturday
.	SENT	.
<p>
Goldberg-Polin	NP	Goldberg-Polin
'	POS	'
s	NN	S
parents	NNS	parent
have	VBP	have
been	VBN	be
among	IN	among
the	DT	the
highest-profile	JJ	highest-profile
relatives	NNS	relative
of	IN	of
the	DT	the
hostages	NNS	hostage
,	,	,
as	RB	as
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
hostages	NNS	hostage
.	SENT	.
They	PP	they
spoke	VBD	speak
at	IN	at
the	DT	the
Democratic	JJ	Democratic
National	NP	National
Convention	NP	Convention
in	IN	in
Chicago	NP	Chicago
Aug.	NP	Aug.
21	CD	@card@
,	,	,
saying	VBG	say
,	,	,
"	''	"
Hersh	NP	Hersh
,	,	,
if	IN	if
you	PP	you
can	MD	can
hear	VB	hear
us	PP	us
,	,	,
we	PP	we
love	VBP	love
you	PP	you
,	,	,
stay	VB	stay
strong	JJ	strong
,	,	,
survive	VB	survive
.	SENT	.
"	''	"
<p>
Polin	NP	Polin
grew	VBD	grow
up	RP	up
in	IN	in
West	NP	West
Rogers	NP	Rogers
Park	NP	Park
and	CC	and
Skokie	NP	Skokie
.	SENT	.
Goldberg	NP	Goldberg
was	VBD	be
raised	VBN	raise
in	IN	in
Streeterville	NP	Streeterville
.	SENT	.
Her	PP$	her
mother	NN	mother
lives	NNS	life
near	IN	near
Navy	NP	Navy
Pier	NP	Pier
,	,	,
and	CC	and
Polin	NP	Polin
'	POS	'
s	JJ	<unknown>
mom	NN	mom
lives	NNS	life
in	IN	in
Evanston	NP	Evanston
.	SENT	.
The	DT	the
family	NN	family
now	RB	now
lives	VBZ	live
in	IN	in
Jerusalem	NP	Jerusalem
.	SENT	.
<p>
Illinois	NP	Illinois
officials	NNS	official
have	VBP	have
spent	VBN	spend
the	DT	the
months	NNS	month
since	IN	since
Oct.	NP	Oct.
7	CD	@card@
focusing	VBG	focus
on	IN	on
trying	VBG	try
to	TO	to
help	VB	help
the	DT	the
U.S.-Israeli	NP	U.S.-Israeli
hostage	NN	hostage
.	SENT	.
<p>
U.S.	NP	U.S.
Sen.	NP	Sen.
Tammy	NP	Tammy
Duckworth	NP	Duckworth
,	,	,
D-Ill	NP	<unknown>
.	SENT	.
,	,	,
said	VBD	say
in	IN	in
a	DT	a
statement	NN	statement
,	,	,
"	''	"
My	PP$	my
heart	NN	heart
is	VBZ	be
broken	VBN	break
by	IN	by
this	DT	this
gut-wrenching	JJ	gut-wrenching
news	NN	news
.	SENT	.
My	PP$	my
deepest	JJS	deep
condolences	NNS	condolence
are	VBP	be
with	IN	with
Hersh	NP	Hersh
'	POS	'
s	NN	S
family	NN	family
and	CC	and
friends	NNS	friend
,	,	,
including	VBG	include
those	DT	those
throughout	IN	throughout
the	DT	the
Chicagoland	NP	Chicagoland
area	NN	area
,	,	,
and	CC	and
his	PP$	his
parents	NNS	parent
,	,	,
Rachel	NP	Rachel
and	CC	and
Jon	NP	Jon
,	,	,
who	WP	who
have	VBP	have
been	VBN	be
staunch	JJ	staunch
advocates	NNS	advocate
for	IN	for
the	DT	the
hostages	NNS	hostage
and	CC	and
their	PP$	their
families	NNS	family
--	:	--
their	PP$	their
bravery	NN	bravery
,	,	,
strength	NN	strength
and	CC	and
steadfast	JJ	steadfast
love	NN	love
for	IN	for
their	PP$	their
son	NN	son
has	VBZ	have
been	VBN	be
awe-inspiring	JJ	awe-inspiring
.	SENT	.
<p>
"	''	"
The	DT	the
capture	NN	capture
and	CC	and
subsequent	JJ	subsequent
killing	NN	killing
of	IN	of
hostages	NNS	hostage
by	IN	by
Hamas	NP	<unknown>
is	VBZ	be
unconscionable	JJ	unconscionable
and	CC	and
unacceptable	JJ	unacceptable
.	SENT	.
Full	JJ	full
stop	NN	stop
.	SENT	.
It	PP	it
is	VBZ	be
imperative	NN	imperative
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
all	DT	all
parties	NNS	party
that	WDT	that
releases	VBZ	release
the	DT	the
remaining	VBG	remain
hostages	NNS	hostage
,	,	,
and	CC	and
I	PP	I
will	MD	will
keep	VB	keep
doing	VBG	do
everything	NN	everything
I	PP	I
can	MD	can
to	TO	to
push	VB	push
for	IN	for
a	DT	a
deal	NN	deal
.	SENT	.
"	''	"
<p>
U.S.	NP	U.S.
Rep.	NP	Rep.
Jan	NP	Jan
Schakowsky	NP	<unknown>
,	,	,
D-Ill	NP	<unknown>
.	SENT	.
,	,	,
whose	WP$	whose
district	NN	district
includes	VBZ	include
Evanston	NP	Evanston
and	CC	and
Skokie	NP	Skokie
,	,	,
said	VBD	say
in	IN	in
a	DT	a
statement	NN	statement
,	,	,
"	''	"
In	IN	in
the	DT	the
days	NNS	day
since	IN	since
the	DT	the
horrific	JJ	horrific
attack	NN	attack
on	IN	on
Israel	NP	Israel
on	IN	on
October	NP	October
7th	JJ	7th
,	,	,
I	PP	I
have	VBP	have
gotten	VBN	get
to	TO	to
know	VB	know
Hersh	NP	Hersh
'	POS	'
s	NN	S
family	NN	family
.	SENT	.
His	PP$	his
parents	NNS	parent
,	,	,
Jon	NP	Jon
and	CC	and
Rachel	NP	Rachel
,	,	,
are	VBP	be
from	IN	from
Chicago	NP	Chicago
.	SENT	.
His	PP$	his
grandmother	NN	grandmother
and	CC	and
aunt	NN	aunt
are	VBP	be
residents	NNS	resident
of	IN	of
the	DT	the
9th	JJ	9th
Congressional	NP	Congressional
District	NP	District
.	SENT	.
In	IN	in
the	DT	the
face	NN	face
of	IN	of
uncertainty	NN	uncertainty
and	CC	and
tragedy	NN	tragedy
,	,	,
Hersh	NP	Hersh
'	POS	'
s	NN	S
family	NN	family
has	VBZ	have
displayed	VBN	display
great	JJ	great
strength	NN	strength
.	SENT	.
They	PP	they
have	VBP	have
endlessly	RB	endlessly
stepped	VBN	step
forward	RB	forward
in	IN	in
order	NN	order
to	TO	to
make	VB	make
their	PP$	their
voices	NNS	voice
heard	VBN	hear
,	,	,
tell	VB	tell
Hersh	NP	Hersh
'	POS	'
s	NN	S
story	NN	story
,	,	,
and	CC	and
advocate	NN	advocate
for	IN	for
the	DT	the
safe	JJ	safe
return	NN	return
of	IN	of
every	DT	every
hostage	NN	hostage
.	SENT	.
My	PP$	my
heart	NN	heart
breaks	VBZ	break
for	IN	for
them	PP	them
.	SENT	.
"	''	"
<p>
Addressing	VBG	address
the	DT	the
impasse	NN	impasse
over	IN	over
a	DT	a
cease-fire	NN	cease-fire
,	,	,
Schakowsky	NP	<unknown>
said	VBD	say
,	,	,
"	``	"
The	DT	the
human	JJ	human
cost	NN	cost
of	IN	of
this	DT	this
war	NN	war
is	VBZ	be
staggering	JJ	staggering
,	,	,
and	CC	and
it	PP	it
must	MD	must
end	VB	end
now	RB	now
.	SENT	.
Hersh	NP	Hersh
was	VBD	be
slated	VBN	slate
for	IN	for
release	NN	release
in	IN	in
the	DT	the
framework	NN	framework
that	IN	that
Israel	NP	Israel
and	CC	and
Hamas	NP	<unknown>
agreed	VBD	agree
to	TO	to
in	IN	in
early	JJ	early
July	NP	July
.	SENT	.
It	PP	it
is	VBZ	be
unconscionable	JJ	unconscionable
that	IN	that
Israeli	NP	Israeli
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
long	JJ	long
.	SENT	.
We	PP	we
must	MD	must
bring	VB	bring
all	PDT	all
the	DT	the
remaining	VBG	remain
hostages	NNS	hostage
home	RB	home
immediately	RB	immediately
and	CC	and
end	VB	end
the	DT	the
violence	NN	violence
once	RB	once
and	CC	and
for	IN	for
all	DT	all
.	SENT	.
"	''	"
<p>
U.S.	NP	U.S.
Sen.	NP	Sen.
Dick	NP	Dick
Durbin	NP	Durbin
,	,	,
D-Ill	NP	<unknown>
.	SENT	.
,	,	,
said	VBD	say
in	IN	in
a	DT	a
statement	NN	statement
he	PP	he
was	VBD	be
"	``	"
heartbroken	JJ	heartbroken
"	''	"
and	CC	and
:	:	:
"	``	"
A	DT	a
cease-fire	NN	cease-fire
must	MD	must
be	VB	be
reached	VBN	reach
immediately	RB	immediately
that	RB	that
allows	VBZ	allow
all	DT	all
remaining	VBG	remain
hostages	NNS	hostage
to	TO	to
be	VB	be
released	VBN	release
,	,	,
humanitarian	JJ	humanitarian
aid	NN	aid
to	TO	to
flow	VB	flow
into	IN	into
Gaza	NP	Gaza
,	,	,
and	CC	and
an	DT	an
elusive	JJ	elusive
and	CC	and
neglected	JJ	neglected
long-term	JJ	long-term
vision	NN	vision
for	IN	for
peace	NN	peace
and	CC	and
stability	NN	stability
to	TO	to
become	VB	become
a	DT	a
reality	NN	reality
.	SENT	.
"	''	"
<p>
Harris	NP	Harris
,	,	,
in	IN	in
her	PP$	her
statement	NN	statement
said	VBD	say
,	,	,
"	``	"
Hamas	NP	<unknown>
is	VBZ	be
an	DT	an
evil	JJ	evil
terrorist	JJ	terrorist
organization	NN	organization
.	SENT	.
With	IN	with
these	DT	these
murders	NNS	murder
,	,	,
Hamas	NP	<unknown>
has	VBZ	have
even	RB	even
more	JJR	more
American	JJ	American
blood	NN	blood
on	IN	on
its	PP$	its
hands	NNS	hand
.	SENT	.
I	PP	I
strongly	RB	strongly
condemn	VB	condemn
Hamas	NP	<unknown>
'	POS	'
continued	JJ	continued
brutality	NN	brutality
,	,	,
and	CC	and
so	RB	so
must	MD	must
the	DT	the
entire	JJ	entire
world	NN	world
.	SENT	.
From	IN	from
its	PP$	its
massacre	NN	massacre
of	IN	of
1,200	CD	@card@
people	NNS	people
to	TO	to
sexual	JJ	sexual
violence	NN	violence
,	,	,
taking	VBG	take
of	IN	of
hostages	NNS	hostage
,	,	,
and	CC	and
these	DT	these
murders	NNS	murder
,	,	,
Hamas	NP	<unknown>
'	POS	'
depravity	NN	depravity
is	VBZ	be
evident	JJ	evident
and	CC	and
horrifying	VBG	horrify
.	SENT	.
The	DT	the
threat	NN	threat
Hamas	NN	<unknown>
poses	VBZ	pose
to	TO	to
the	DT	the
people	NNS	people
of	IN	of
Israel	NP	Israel
--	:	--
and	CC	and
American	JJ	American
citizens	NNS	citizen
in	IN	in
Israel	NP	Israel
--	:	--
must	MD	must
be	VB	be
eliminated	VBN	eliminate
and	CC	and
Hamas	NNS	<unknown>
can	MD	can
not	RB	not
control	VB	control
Gaza	NP	Gaza
.	SENT	.
The	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
too	RB	too
have	VBP	have
suffered	VBN	suffer
under	IN	under
Hamas	NP	<unknown>
'	POS	'
rule	NN	rule
for	IN	for
nearly	RB	nearly
two	CD	two
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
mistake	NN	mistake
,	,	,
Hamas	JJ	<unknown>
leaders	NNS	leader
will	MD	will
pay	VB	pay
for	IN	for
these	DT	these
crimes	NNS	crime
.	SENT	.
And	CC	and
we	PP	we
will	MD	will
keep	VB	keep
working	VBG	work
around	RP	around
the	DT	the
clock	NN	clock
for	IN	for
a	DT	a
deal	NN	deal
to	TO	to
secure	VB	secure
the	DT	the
release	NN	release
of	IN	of
the	DT	the
remaining	VBG	remain
hostages	NNS	hostage
.	SENT	.
"	''	"
<p>
Photographs	NNS	photograph
and	CC	and
images	NNS	image
can	MD	can
make	VB	make
seeing	VBG	see
the	DT	the
natural	JJ	natural
world	NN	world
better	RBR	well
:	:	:
From	IN	from
Mark	NP	Mark
Kasick	NP	<unknown>
'	POS	'
s	JJ	<unknown>
photo	NN	photo
of	IN	of
anglers	NNS	angler
at	IN	at
Cal	NP	Cal
Park	NP	Park
to	TO	to
a	DT	a
viceroy	NN	viceroy
butterfly	NN	butterfly
to	TO	to
a	DT	a
remembered	VBN	remember
photo	NN	photo
(	(	(
connected	VBN	connect
to	TO	to
Kasick	NP	<unknown>
'	POS	'
s	NN	S
in	IN	in
a	DT	a
way	NN	way
)	)	)
by	IN	by
Michael	NP	Michael
Jacob	NP	Jacob
of	IN	of
an	DT	an
unknown	JJ	unknown
angler	NN	angler
casting	NN	casting
on	IN	on
the	DT	the
shore	NN	shore
of	IN	of
Indiana	NP	Indiana
'	POS	'
s	NN	S
Lake	NP	Lake
Michigan	NP	Michigan
.	SENT	.
Though	IN	though
I	PP	I
love	VBP	love
using	VBG	use
words	NNS	word
.	SENT	.
