<p>
Several	JJ	several
events	NNS	event
,	,	,
announced	VBD	announce
that	IN	that
a	DT	a
ceremony	NN	ceremony
would	MD	would
be	VB	be
held	VBN	hold
in	IN	in
Ofakim	NP	<unknown>
without	IN	without
a	DT	a
live	JJ	live
audience	NN	audience
and	CC	and
with	IN	with
pre-recorded	JJ	pre-recorded
video	JJ	video
segments	NNS	segment
.	SENT	.
<p>
The	DT	the
families	NNS	family
accused	VBD	accuse
Regev	NP	<unknown>
of	IN	of
intentionally	RB	intentionally
avoiding	VBG	avoid
a	DT	a
live	JJ	live
audience	NN	audience
to	TO	to
avoid	VB	avoid
criticism	NN	criticism
.	SENT	.
Instead	RB	instead
,	,	,
the	DT	the
families	NNS	family
are	VBP	be
planning	VBG	plan
an	DT	an
alternative	JJ	alternative
ceremony	NN	ceremony
with	IN	with
a	DT	a
live	JJ	live
audience	NN	audience
in	IN	in
Tel	NP	Tel
Aviv	NP	Aviv
.	SENT	.
<p>
"	``	"
It	PP	it
can	MD	can
not	RB	not
be	VB	be
that	IN	that
,	,	,
in	IN	in
this	DT	this
period	NN	period
,	,	,
when	WRB	when
the	DT	the
state	NN	state
'	POS	'
s	NNS	<unknown>
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
the	DT	the
remaining	VBG	remain
hostages	NNS	hostage
,	,	,
as	RB	as
well	RB	well
as	IN	as
in	IN	in
the	DT	the
protection	NN	protection
of	IN	of
the	DT	the
Gaza	NP	Gaza
border	NN	border
communities	NNS	community
and	CC	and
the	DT	the
North	NP	North
,	,	,
in	IN	in
the	DT	the
concern	NN	concern
for	IN	for
the	DT	the
many	JJ	many
evacuees	NNS	evacuee
and	CC	and
all	PDT	all
the	DT	the
affected	JJ	affected
citizens	NNS	citizen
,	,	,
resources	NNS	resource
are	VBP	be
invested	VBN	invest
in	IN	in
a	DT	a
ceremony	NN	ceremony
conducted	VBN	conduct
by	IN	by
those	DT	those
who	WP	who
,	,	,
through	IN	through
their	PP$	their
oversight	NN	oversight
,	,	,
have	VBP	have
led	VBN	lead
to	TO	to
the	DT	the
unfortunate	JJ	unfortunate
situation	NN	situation
in	IN	in
which	WDT	which
we	PP	we
find	VBP	find
ourselves	PP	ourselves
,	,	,
"	''	"
the	DT	the
letter	NN	letter
read	VBD	read
.	SENT	.
"	''	"
The	DT	the
returned	VBN	return
hostages	NNS	hostage
,	,	,
relatives	NNS	relative
of	IN	of
hostages	NNS	hostage
,	,	,
and	CC	and
the	DT	the
murdered	VBN	murder
hostages	NNS	hostage
will	MD	will
not	RB	not
lend	VB	lend
a	DT	a
hand	NN	hand
to	TO	to
the	DT	the
cynical	JJ	cynical
use	NN	use
of	IN	of
the	DT	the
names	NNS	name
of	IN	of
the	DT	the
hostages	NNS	hostage
,	,	,
whom	WP	whom
the	DT	the
country	NN	country
has	VBZ	have
abandoned	VBN	abandon
for	IN	for
almost	RB	almost
a	DT	a
year	NN	year
,	,	,
or	CC	or
in	IN	in
the	DT	the
names	NNS	name
of	IN	of
their	PP$	their
relatives	NNS	relative
who	WP	who
were	VBD	be
murdered	VBN	murder
in	IN	in
the	DT	the
October	NP	October
7	CD	@card@
massacre	NN	massacre
,	,	,
"	''	"
their	PP$	their
message	NN	message
added	VBD	add
.	SENT	.
<p>
The	DT	the
letter	NN	letter
then	RB	then
asked	VBD	ask
that	IN	that
the	DT	the
names	NNS	name
of	IN	of
the	DT	the
released	VBN	release
hostages	NNS	hostage
,	,	,
the	DT	the
hostages	NNS	hostage
still	RB	still
in	IN	in
captivity	NN	captivity
,	,	,
and	CC	and
their	PP$	their
relatives	NNS	relative
should	MD	should
not	RB	not
be	VB	be
used	VBN	use
in	IN	in
the	DT	the
ceremony	NN	ceremony
.	SENT	.
<h>
Focus	NN	focus
on	IN	on
returning	VBG	return
the	DT	the
hostages	NNS	hostage
<p>
The	DT	the
signees	NNS	<unknown>
also	RB	also
requested	VBD	request
that	IN	that
the	DT	the
government	NN	government
reconsider	VB	reconsider
holding	VBG	hold
the	DT	the
ceremony	NN	ceremony
altogether	RB	altogether
and	CC	and
instead	RB	instead
focus	VB	focus
on	IN	on
returning	VBG	return
the	DT	the
hostages	NNS	hostage
.	SENT	.
<p>
In	IN	in
parallel	NN	parallel
on	IN	on
Wednesday	NP	Wednesday
,	,	,
a	DT	a
list	NN	list
of	IN	of
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
October	NP	October
7	CD	@card@
or	CC	or
in	IN	in
battle	NN	battle
afterwards	RB	afterwards
,	,	,
and	CC	and
of	IN	of
people	NNS	people
who	WP	who
were	VBD	be
kidnapped	VBN	kidnap
,	,	,
including	VBG	include
some	DT	some
who	WP	who
have	VBP	have
been	VBN	be
released	VBN	release
and	CC	and
others	NNS	other
who	WP	who
have	VBP	have
not	RB	not
,	,	,
expressed	VBD	express
their	PP$	their
support	NN	support
for	IN	for
the	DT	the
alternative	JJ	alternative
ceremony	NN	ceremony
in	IN	in
Tel	NP	Tel
Aviv	NP	Aviv
.	SENT	.
<p>
One	CD	one
of	IN	of
the	DT	the
alternative	JJ	alternative
ceremony	NN	ceremony
organizers	NNS	organizer
is	VBZ	be
Jonathan	NP	Jonathan
Shimriz	NP	<unknown>
,	,	,
brother	NN	brother
of	IN	of
Alon	NP	Alon
Shimriz	NP	<unknown>
,	,	,
who	WP	who
was	VBD	be
kidnapped	VBN	kidnap
and	CC	and
inadvertently	RB	inadvertently
shot	VBN	shoot
to	TO	to
death	NN	death
by	IN	by
soldiers	NNS	soldier
after	IN	after
escaping	VBG	escape
his	PP$	his
captors	NNS	captor
.	SENT	.
Shimriz	NP	<unknown>
invited	VBD	invite
all	DT	all
of	IN	of
the	DT	the
bereaved	VBN	bereave
families	NNS	family
and	CC	and
families	NNS	family
of	IN	of
hostages	NNS	hostage
to	TO	to
join	VB	join
the	DT	the
ceremony	NN	ceremony
.	SENT	.
<p>
Comedian	NN	comedian
and	CC	and
journalist	NN	journalist
Hanoch	NP	Hanoch
Daum	NP	Daum
,	,	,
the	DT	the
host	NN	host
of	IN	of
the	DT	the
alternative	JJ	alternative
ceremony	NN	ceremony
,	,	,
called	VBN	call
on	IN	on
the	DT	the
state	NN	state
ceremony	NN	ceremony
'	POS	'
s	NN	S
organizers	NNS	organizer
to	TO	to
broadcast	VB	broadcast
the	DT	the
ceremony	NN	ceremony
at	IN	at
a	DT	a
different	JJ	different
time	NN	time
on	IN	on
October	NP	October
7	CD	@card@
,	,	,
so	RB	so
that	IN	that
people	NNS	people
will	MD	will
not	RB	not
have	VB	have
to	TO	to
choose	VB	choose
between	IN	between
the	DT	the
two	CD	two
events	NNS	event
.	SENT	.
Daum	NP	Daum
'	POS	'
s	NN	S
proposal	NN	proposal
received	VBD	receive
backing	VBG	back
from	IN	from
a	DT	a
number	NN	number
of	IN	of
politicians	NNS	politician
across	IN	across
the	DT	the
aisle	NN	aisle
,	,	,
including	VBG	include
MK	NP	MK
Zvi	NP	Zvi
Sukkot	NP	<unknown>
(	(	(
Religious	JJ	religious
Zionist	JJ	Zionist
Party	NN	party
)	)	)
and	CC	and
Naama	NP	<unknown>
Lazimi	NP	Lazimi
(	(	(
Democrats	NP	Democrats
)	)	)
.	SENT	.
