<h>
Palestinian	JJ	Palestinian
prosthetic	JJ	prosthetic
legs	NNS	leg
.	SENT	.
<p>
In	IN	in
April	NP	April
,	,	,
13-year-old	JJ	13-year-old
Khalil	NP	Khalil
Abu	NP	Abu
Shaban	NP	Shaban
was	VBD	be
on	IN	on
his	PP$	his
way	NN	way
to	TO	to
a	DT	a
barbershop	NN	barbershop
in	IN	in
Rafah	NP	<unknown>
for	IN	for
a	DT	a
haircut	NN	haircut
.	SENT	.
<p>
That	IN	that
'	POS	'
s	NN	S
when	WRB	when
the	DT	the
bombing	NN	bombing
started	VBD	start
in	IN	in
Gaza	NP	Gaza
'	POS	'
s	JJ	<unknown>
southernmost	JJ	southernmost
city	NN	city
.	SENT	.
<p>
He	PP	he
lost	VBD	lose
both	DT	both
legs	NNS	leg
.	SENT	.
<p>
Khalil	NP	Khalil
was	VBD	be
evacuated	VBN	evacuate
to	TO	to
Egypt	NP	Egypt
in	IN	in
May	NP	May
because	IN	because
of	IN	of
the	DT	the
severity	NN	severity
of	IN	of
his	PP$	his
injuries	NNS	injury
--	:	--
he	PP	he
had	VBD	have
a	DT	a
concussion	NN	concussion
and	CC	and
serious	JJ	serious
infections	NNS	infection
.	SENT	.
<p>
But	CC	but
as	IN	as
of	IN	of
Wednesday	NP	Wednesday
afternoon	NN	afternoon
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
,	,	,
his	PP$	his
sister	NN	sister
and	CC	and
their	PP$	their
mom	NN	mom
arrived	VBN	arrive
at	IN	at
O'Hare	NP	<unknown>
International	NP	International
Airport	NP	Airport
,	,	,
where	WRB	where
they	PP	they
were	VBD	be
greeted	VBN	greet
by	IN	by
a	DT	a
crowd	NN	crowd
of	IN	of
supporters	NNS	supporter
,	,	,
shedding	VBG	shed
tears	NNS	tear
and	CC	and
holding	NN	holding
signs	NNS	sign
,	,	,
flowers	NNS	flower
and	CC	and
green	JJ	green
,	,	,
red	JJ	red
,	,	,
black	JJ	black
and	CC	and
white	JJ	white
balloons	NNS	balloon
.	SENT	.
<p>
Khalil	NP	Khalil
Abu	NP	Abu
Shaban	NP	Shaban
,	,	,
13	CD	@card@
,	,	,
was	VBD	be
on	IN	on
his	PP$	his
way	NN	way
to	TO	to
get	VB	get
a	DT	a
haircut	NN	haircut
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
in	IN	in
April	NP	April
when	WRB	when
he	PP	he
was	VBD	be
wounded	VBN	wound
in	IN	in
an	DT	an
airstrike	NN	airstrike
.	SENT	.
He	PP	he
lost	VBD	lose
both	DT	both
legs	NNS	leg
.	SENT	.
His	PP$	his
family	NN	family
is	VBZ	be
originally	RB	originally
from	IN	from
northern	JJ	northern
Gaza	NP	Gaza
,	,	,
but	CC	but
they	PP	they
were	VBD	be
taking	VBG	take
refuge	NN	refuge
in	IN	in
the	DT	the
south	NN	south
when	WRB	when
he	PP	he
was	VBD	be
wounded	VBN	wound
.	SENT	.
<p>
Anthony	NP	Anthony
Vazquez/Sun-Times	NP	Vazquez/Sun-Times
<p>
Khalil	NP	Khalil
rolled	VBD	roll
out	RP	out
from	IN	from
U.S.	NP	U.S.
Customs	NNS	custom
to	TO	to
cheers	NNS	cheer
,	,	,
chants	NNS	chant
of	IN	of
his	PP$	his
name	NN	name
and	CC	and
rose	VBD	rise
petals	NNS	petal
.	SENT	.
Overwhelmed	VBN	overwhelm
by	IN	by
the	DT	the
support	NN	support
,	,	,
the	DT	the
boy	NN	boy
smiled	VBD	smile
,	,	,
his	PP$	his
eyes	NNS	eye
glassy	JJ	glassy
.	SENT	.
<p>
"	``	"
We	PP	we
are	VBP	be
so	RB	so
lucky	JJ	lucky
to	TO	to
be	VB	be
here	RB	here
and	CC	and
to	TO	to
have	VB	have
so	RB	so
many	JJ	many
people	NNS	people
help	VBP	help
us	PP	us
to	TO	to
get	VB	get
here	RB	here
,	,	,
"	''	"
Khalil	NP	Khalil
'	POS	'
s	JJ	<unknown>
22-year-old	JJ	22-year-old
sister	NN	sister
,	,	,
Lolo	NP	<unknown>
Abu	NP	Abu
Shaban	NP	Shaban
,	,	,
told	VBD	tell
reporters	NNS	reporter
.	SENT	.
<p>
Khalil	NP	Khalil
"	``	"
wants	VBZ	want
to	TO	to
thank	VB	thank
all	PDT	all
the	DT	the
people	NNS	people
who	WP	who
came	VBD	come
here	RB	here
to	TO	to
support	VB	support
him	PP	him
,	,	,
"	''	"
she	PP	she
added	VBD	add
.	SENT	.
<p>
Khalil	NP	Khalil
Abu	NP	Abu
Shaban	NP	Shaban
is	VBZ	be
greeted	VBN	greet
by	IN	by
supporters	NNS	supporter
chanting	VBG	chant
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
Palestinian	JJ	Palestinian
flag	NN	flag
at	IN	at
O'Hare	NP	<unknown>
International	NP	International
Airport	NP	Airport
.	SENT	.
<p>
Anthony	NP	Anthony
Vazquez/Sun-Times	NP	Vazquez/Sun-Times
<p>
Originally	RB	originally
from	IN	from
northern	JJ	northern
Gaza	NP	Gaza
,	,	,
the	DT	the
boy	NN	boy
and	CC	and
his	PP$	his
family	NN	family
had	VBD	have
sought	VBN	seek
refuge	NN	refuge
in	IN	in
Rafah	NP	<unknown>
,	,	,
when	WRB	when
tragedy	NN	tragedy
struck	VBD	strike
.	SENT	.
<p>
He	PP	he
is	VBZ	be
the	DT	the
third	JJ	third
Palestinian	JJ	Palestinian
child	NN	child
brought	VBN	bring
to	TO	to
Chicago	NP	Chicago
from	IN	from
Gaza	NP	Gaza
by	IN	by
the	DT	the
national	JJ	national
nonprofit	JJ	nonprofit
Heal	NP	Heal
Palestine	NP	Palestine
.	SENT	.
One	CD	one
of	IN	of
those	DT	those
children	NNS	child
,	,	,
14-year-old	JJ	14-year-old
Leyan	NP	<unknown>
,	,	,
was	VBD	be
at	IN	at
the	DT	the
airport	NN	airport
to	TO	to
greet	VB	greet
Khalil	NP	Khalil
.	SENT	.
Leyan	NP	<unknown>
is	VBZ	be
also	RB	also
a	DT	a
double	JJ	double
amputee	NN	amputee
.	SENT	.
She	PP	she
stood	VBD	stand
to	TO	to
greet	VB	greet
Khalil	NP	Khalil
on	IN	on
prosthetic	JJ	prosthetic
legs	NNS	leg
that	IN	that
she	PP	she
received	VBD	receive
at	IN	at
Shriners	NP	Shriners
Children	NP	Children
'	POS	'
s	JJ	<unknown>
Chicago	NP	Chicago
hospital	NN	hospital
on	IN	on
the	DT	the
West	NP	West
Side	NP	Side
.	SENT	.
<p>
"	``	"
We	PP	we
are	VBP	be
quite	RB	quite
proud	JJ	proud
and	CC	and
happy	JJ	happy
to	TO	to
take	VB	take
care	NN	care
of	IN	of
them	PP	them
,	,	,
"	''	"
Steve	NP	Steve
Sosabee	NP	<unknown>
,	,	,
Heal	NP	Heal
Palestine	NP	Palestine
'	POS	'
s	NN	S
director	NN	director
,	,	,
told	VBD	tell
the	DT	the
Sun-Times	NP	Sun-Times
.	SENT	.
"	``	"
We	PP	we
are	VBP	be
so	RB	so
grateful	JJ	grateful
for	IN	for
the	DT	the
strong	JJ	strong
community	NN	community
here	RB	here
in	IN	in
Chicago	NP	Chicago
willing	JJ	willing
to	TO	to
care	VB	care
for	IN	for
these	DT	these
children	NNS	child
.	SENT	.
Hundreds	NNS	hundred
of	IN	of
people	NNS	people
are	VBP	be
willing	JJ	willing
to	TO	to
help	VB	help
.	SENT	.
"	''	"
<p>
Like	IN	like
the	DT	the
other	JJ	other
two	CD	two
kids	NNS	kid
,	,	,
Khalil	NP	Khalil
and	CC	and
his	PP$	his
family	NN	family
are	VBP	be
staying	VBG	stay
with	IN	with
a	DT	a
host	NN	host
family	NN	family
in	IN	in
Chicago	NP	Chicago
.	SENT	.
Sirage	NP	<unknown>
Al-Tarifi	NP	<unknown>
and	CC	and
his	PP$	his
family	NN	family
are	VBP	be
taking	VBG	take
in	IN	in
the	DT	the
three	CD	three
and	CC	and
were	VBD	be
at	IN	at
the	DT	the
airport	NN	airport
to	TO	to
greet	VB	greet
them	PP	them
Wednesday	NP	Wednesday
.	SENT	.
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
Sirage	NP	<unknown>
Al-Tarifi	NP	<unknown>
,	,	,
who	WP	who
will	MD	will
host	VB	host
the	DT	the
boy	NN	boy
and	CC	and
his	PP$	his
family	NN	family
in	IN	in
Chicago	NP	Chicago
.	SENT	.
"	``	"
It	PP	it
'	POS	'
s	NN	S
the	DT	the
least	JJS	least
we	PP	we
could	MD	could
do	VB	do
to	TO	to
help	VB	help
out	RP	out
these	DT	these
children	NNS	child
of	IN	of
Palestine	NP	Palestine
in	IN	in
any	DT	any
sort	NN	sort
of	IN	of
way	NN	way
,	,	,
"	''	"
Al-Tarifi	NP	<unknown>
said	VBD	say
.	SENT	.
<p>
Anthony	NP	Anthony
Vazquez/Sun-Times	NP	Vazquez/Sun-Times
<p>
Volunteering	VBG	volunteer
to	TO	to
host	VB	host
Khalil	NP	Khalil
and	CC	and
his	PP$	his
family	NN	family
was	VBD	be
an	DT	an
easy	JJ	easy
decision	NN	decision
,	,	,
Al-Tarifi	NP	<unknown>
said	VBD	say
.	SENT	.
<p>
"	``	"
It	PP	it
'	POS	'
s	NN	S
the	DT	the
least	JJS	least
we	PP	we
could	MD	could
do	VB	do
to	TO	to
help	VB	help
out	RP	out
these	DT	these
children	NNS	child
of	IN	of
Palestine	NP	Palestine
in	IN	in
any	DT	any
sort	NN	sort
of	IN	of
way	NN	way
,	,	,
"	''	"
Al-Tarifi	NP	<unknown>
told	VBD	tell
the	DT	the
Sun-Times	NP	Sun-Times
.	SENT	.
<p>
Randa	NP	Randa
Salem	NP	Salem
and	CC	and
her	PP$	her
husband	NN	husband
brought	VBD	bring
their	PP$	their
three	CD	three
children	NNS	child
from	IN	from
Naperville	NP	Naperville
to	TO	to
welcome	VB	welcome
Khalil	NP	Khalil
and	CC	and
his	PP$	his
family	NN	family
.	SENT	.
<p>
"	``	"
It	PP	it
was	VBD	be
very	RB	very
hard	JJ	hard
to	TO	to
see	VB	see
,	,	,
but	CC	but
it	PP	it
was	VBD	be
also	RB	also
beautiful	JJ	beautiful
.	SENT	.
Beautiful	JJ	beautiful
because	RB	because
of	IN	of
how	WRB	how
grateful	JJ	grateful
they	PP	they
are	VBP	be
that	IN	that
he	PP	he
is	VBZ	be
alive	JJ	alive
and	CC	and
made	VBD	make
it	PP	it
here	RB	here
,	,	,
"	''	"
Salem	NP	Salem
said	VBD	say
.	SENT	.
"	``	"
It	PP	it
'	POS	'
s	NNS	<unknown>
heartbreaking	JJ	heartbreaking
because	IN	because
they	PP	they
'	POS	'
ve	NNS	<unknown>
gone	VBN	go
through	IN	through
so	RB	so
much	JJ	much
.	SENT	.
But	CC	but
then	RB	then
here	RB	here
they	PP	they
are	VBP	be
with	IN	with
smiles	NNS	smile
on	IN	on
their	PP$	their
faces	NNS	face
.	SENT	.
"	''	"
<p>
Khalil	NP	Khalil
Abu	NP	Abu
Shaban	NP	Shaban
is	VBZ	be
wheeled	VBN	wheel
out	RP	out
of	IN	of
O'Hare	NP	<unknown>
on	IN	on
Wednesday	NP	Wednesday
.	SENT	.
Heal	NP	Heal
Palestine	NP	Palestine
,	,	,
the	DT	the
national	JJ	national
nonprofit	JJ	nonprofit
that	IN	that
brought	VBN	bring
Khalil	NP	Khalil
to	TO	to
Chicago	NP	Chicago
for	IN	for
medical	JJ	medical
care	NN	care
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
since	IN	since
the	DT	the
Israel-Hamas	JJ	<unknown>
war	NN	war
began	VBD	begin
last	JJ	last
year	NN	year
.	SENT	.
<p>
Anthony	NP	Anthony
Vazquez/Sun-Times	NP	Vazquez/Sun-Times
<p>
Khalil	NP	Khalil
has	VBZ	have
an	DT	an
appointment	NN	appointment
at	IN	at
Shriners	NP	Shriners
on	IN	on
Friday	NP	Friday
to	TO	to
start	VB	start
the	DT	the
process	NN	process
of	IN	of
getting	VBG	get
a	DT	a
pair	NN	pair
of	IN	of
prosthetic	JJ	prosthetic
legs	NNS	leg
.	SENT	.
The	DT	the
hospital	NN	hospital
system	NN	system
has	VBZ	have
been	VBN	be
a	DT	a
major	JJ	major
partner	NN	partner
with	IN	with
Heal	NP	Heal
Palestine	NP	Palestine
as	IN	as
their	PP$	their
clinicians	NNS	clinician
specialize	VBP	specialize
in	IN	in
treating	VBG	treat
severe	JJ	severe
burns	NNS	burn
and	CC	and
amputations	NNS	amputation
,	,	,
Sosabee	NP	<unknown>
said	VBD	say
.	SENT	.
<p>
Heal	NP	Heal
Palestine	NP	Palestine
has	VBZ	have
helped	VBN	help
bring	VB	bring
17	CD	@card@
injured	JJ	injured
children	NNS	child
out	IN	out
of	IN	of
Gaza	NP	Gaza
and	CC	and
get	VB	get
them	PP	them
treatment	NN	treatment
in	IN	in
the	DT	the
U.S.	NP	U.S.
In	IN	in
addition	NN	addition
to	TO	to
medical	JJ	medical
care	NN	care
,	,	,
Sosabee	NP	<unknown>
said	VBD	say
the	DT	the
nonprofit	JJ	nonprofit
helps	VBZ	help
the	DT	the
children	NNS	child
find	VBP	find
mental	JJ	mental
health	NN	health
care	NN	care
and	CC	and
education	NN	education
and	CC	and
provides	VBZ	provide
opportunities	NNS	opportunity
for	IN	for
them	PP	them
to	TO	to
feel	VB	feel
safe	JJ	safe
and	CC	and
assimilate	VB	assimilate
into	IN	into
their	PP$	their
new	JJ	new
communities	NNS	community
.	SENT	.
<p>
Robert	NP	Robert
Almodovar	NP	Almodovar
had	VBD	have
been	VBN	be
working	VBG	work
as	IN	as
a	DT	a
law	NN	law
clerk	NN	clerk
after	IN	after
spending	VBG	spend
more	JJR	more
than	IN	than
20	CD	@card@
years	NNS	year
in	IN	in
prison	NN	prison
for	IN	for
a	DT	a
double	JJ	double
murder	NN	murder
he	PP	he
did	VBD	do
not	RB	not
commit	VB	commit
.	SENT	.
Judge	NP	Judge
Peggy	NP	Peggy
Chiampas	NP	<unknown>
banned	VBD	ban
him	PP	him
from	IN	from
the	DT	the
Leighton	NP	Leighton
Criminal	NP	Criminal
Courthouse	NN	courthouse
last	JJ	last
October	NP	October
after	IN	after
he	PP	he
was	VBD	be
found	VBN	find
with	IN	with
a	DT	a
phone	NN	phone
.	SENT	.
