<p>
Their	PP$	their
flying	VBG	fly
Palestinian	JJ	Palestinian
flags	NNS	flag
and	CC	and
wearing	VBG	wear
kaffiyehs	NNS	<unknown>
.	SENT	.
They	PP	they
called	VBD	call
on	IN	on
Chicago	NP	Chicago
leaders	NNS	leader
to	TO	to
divest	VB	divest
from	IN	from
Israel	NP	Israel
and	CC	and
also	RB	also
sought	VBD	seek
the	DT	the
release	NN	release
of	IN	of
Illinois	NP	Illinois
inmates	NNS	inmate
wrongfully	RB	wrongfully
convicted	VBN	convict
and	CC	and
sentenced	VBN	sentence
.	SENT	.
<p>
In	IN	in
a	DT	a
lawsuit	NN	lawsuit
,	,	,
Kinza	NP	<unknown>
Khan	NP	Khan
alleged	VBD	allege
she	PP	she
was	VBD	be
"	``	"
doxed	JJ	<unknown>
"	''	"
last	JJ	last
November	NP	November
after	IN	after
she	PP	she
and	CC	and
some	DT	some
friends	NNS	friend
were	VBD	be
filmed	VBN	film
near	IN	near
where	WRB	where
a	DT	a
man	NN	man
was	VBD	be
taking	VBG	take
down	RP	down
posters	NNS	poster
of	IN	of
Israeli	JJ	Israeli
hostages	NNS	hostage
with	IN	with
the	DT	the
caption	NN	caption
"	''	"
Kidnapped	VBN	kidnap
by	IN	by
Hamas	NP	<unknown>
.	SENT	.
"	``	"
She	PP	she
said	VBD	say
she	PP	she
was	VBD	be
the	DT	the
victim	NN	victim
of	IN	of
death	NN	death
threats	NNS	threat
and	CC	and
sexual	JJ	sexual
harassment	NN	harassment
.	SENT	.
<p>
Nearly	RB	nearly
a	DT	a
dozen	NN	dozen
protesters	NNS	protester
were	VBD	be
taken	VBN	take
into	IN	into
custody	NN	custody
about	IN	about
2:41	CD	@card@
p.m	NN	p.m
.	SENT	.
Saturday	NP	Saturday
after	IN	after
they	PP	they
allegedly	RB	allegedly
held	VBD	hold
a	DT	a
demonstration	NN	demonstration
on	IN	on
Franklin	NP	Franklin
Street	NP	Street
,	,	,
police	NNS	police
say	VBP	say
.	SENT	.
Earlier	RBR	earlier
,	,	,
vandals	NNS	vandal
dropped	VBD	drop
red	JJ	red
dye	NN	dye
into	IN	into
Buckingham	NP	Buckingham
Fountain	NP	Fountain
and	CC	and
painted	JJ	painted
pro-Palestinian	NP	pro-Palestinian
messages	NNS	message
there	RB	there
.	SENT	.
<p>
One	CD	one
person	NN	person
,	,	,
who	WP	who
school	NN	school
officials	NNS	official
said	VBD	say
was	VBD	be
not	RB	not
affiliated	VBN	affiliate
with	IN	with
the	DT	the
university	NN	university
,	,	,
was	VBD	be
arrested	VBN	arrest
during	IN	during
a	DT	a
protest	NN	protest
against	IN	against
the	DT	the
war	NN	war
in	IN	in
Gaza	NP	Gaza
on	IN	on
Saturday	NP	Saturday
during	IN	during
graduation	NN	graduation
ceremonies	NNS	ceremony
at	IN	at
the	DT	the
University	NP	University
of	IN	of
Chicago	NP	Chicago
.	SENT	.
<p>
Advocate	NP	Advocate
Medical	NP	Medical
Group	NP	Group
physicians	NNS	physician
say	VBP	say
the	DT	the
organization	NN	organization
has	VBZ	have
fallen	VBN	fall
short	RB	short
in	IN	in
responding	VBG	respond
to	TO	to
the	DT	the
humanitarian	JJ	humanitarian
crisis	NN	crisis
in	IN	in
Gaza	NP	Gaza
,	,	,
especially	RB	especially
compared	VBN	compare
to	TO	to
donated	VBN	donate
aid	NN	aid
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
.	SENT	.
<p>
Around	IN	around
5	CD	@card@
p.m	NN	p.m
.	SENT	.
Friday	NP	Friday
,	,	,
a	DT	a
large	JJ	large
group	NN	group
of	IN	of
protesters	NNS	protester
had	VBD	have
surrounded	VBN	surround
the	DT	the
Institute	NP	Institute
of	IN	of
Politics	NPS	Politics
.	SENT	.
Shortly	RB	shortly
after	IN	after
that	DT	that
,	,	,
a	DT	a
group	NN	group
of	IN	of
police	NN	police
officers	NNS	officer
,	,	,
equipped	VBN	equip
with	IN	with
riot	NN	riot
shields	NNS	shield
,	,	,
burst	NN	burst
into	IN	into
the	DT	the
building	NN	building
and	CC	and
scuffled	VBN	scuffle
with	IN	with
protesters	NNS	protester
.	SENT	.
<p>
Both	DT	both
Jewish	JJ	Jewish
and	CC	and
Arab	JJ	Arab
students	NNS	student
have	VBP	have
been	VBN	be
subjected	VBN	subject
to	TO	to
hateful	JJ	hateful
rhetoric	NN	rhetoric
during	IN	during
protests	NNS	protest
,	,	,
a	DT	a
Northwestern	NP	Northwestern
professor	NN	professor
writes	VBZ	write
.	SENT	.
Yet	RB	yet
too	RB	too
many	JJ	many
are	VBP	be
so	RB	so
aware	JJ	aware
of	IN	of
the	DT	the
hate	NN	hate
directed	VBN	direct
at	IN	at
them	PP	them
that	IN	that
they	PP	they
remain	VBP	remain
deaf	JJ	deaf
to	TO	to
the	DT	the
slurs	NNS	slur
hurled	VBN	hurl
at	IN	at
others	NNS	other
.	SENT	.
<p>
Reality	NN	reality
on	IN	on
the	DT	the
ground	NN	ground
is	VBZ	be
different	JJ	different
from	IN	from
what	WP	what
policymakers	NNS	policymaker
understand	VBP	understand
in	IN	in
war	NN	war
rooms	NNS	room
,	,	,
far	RB	far
from	IN	from
the	DT	the
constant	JJ	constant
sound	NN	sound
of	IN	of
bombs	NNS	bomb
and	CC	and
drones	NNS	drone
,	,	,
a	DT	a
Chicago-area	NN	Chicago-area
doctor	NN	doctor
who	WP	who
has	VBZ	have
volunteered	VBN	volunteer
in	IN	in
Gaza	NP	Gaza
writes	VBZ	write
.	SENT	.
Thaer	NP	<unknown>
Ahmad	NP	Ahmad
,	,	,
a	DT	a
Palestinian	NP	Palestinian
American	NP	American
,	,	,
walked	VBD	walk
out	RP	out
of	IN	of
a	DT	a
meeting	NN	meeting
with	IN	with
President	NP	President
Joe	NP	Joe
Biden	NP	Biden
about	IN	about
a	DT	a
month	NN	month
ago	RB	ago
and	CC	and
is	VBZ	be
calling	VBG	call
for	IN	for
a	DT	a
cease-fire	NN	cease-fire
in	IN	in
Gaza	NP	Gaza
.	SENT	.
<p>
After	IN	after
Oct.	NP	Oct.
7	CD	@card@
,	,	,
chairs	VBZ	chair
with	IN	with
the	DT	the
photos	NNS	photo
of	IN	of
hostages	NNS	hostage
seized	VBN	seize
in	IN	in
Israel	NP	Israel
by	IN	by
Hamas	NP	<unknown>
were	VBD	be
placed	VBN	place
outside	IN	outside
Am	NP	Am
Shalom	NP	Shalom
synagogue	NN	synagogue
in	IN	in
Glencoe	NP	<unknown>
,	,	,
waiting	VBG	wait
for	IN	for
the	DT	the
hostages	NNS	hostage
'	POS	'
release	NN	release
.	SENT	.
"	``	"
Our	PP$	our
248	CD	@card@
chairs	NNS	chair
will	MD	will
stay	VB	stay
up	RB	up
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
'	POS	'
s	JJ	<unknown>
senior	JJ	senior
rabbi	NN	rabbi
writes	VBZ	write
.	SENT	.
<p>
"	``	"
I	PP	I
remember	VBP	remember
coming	VBG	come
out	RP	out
of	IN	of
my	PP$	my
apartment	NN	apartment
one	CD	one
day	NN	day
and	CC	and
spotting	VBG	spot
Chicago	NP	Chicago
cops	VBZ	cop
dragging	VBG	drag
young	JJ	young
protesters	NNS	protester
out	RB	out
of	IN	of
one	CD	one
section	NN	section
of	IN	of
Lincoln	NP	Lincoln
Park	NP	Park
and	CC	and
shoving	VBG	shove
them	PP	them
into	IN	into
trucks	NNS	truck
,	,	,
while	IN	while
nearby	JJ	nearby
poet	NN	poet
Allen	NP	Allen
Ginsberg	NP	Ginsberg
was	VBD	be
chanting	VBG	chant
in	IN	in
a	DT	a
circle	NN	circle
of	IN	of
peaceful	JJ	peaceful
protesters	NNS	protester
not	RB	not
far	RB	far
away	RB	away
from	IN	from
the	DT	the
radical	JJ	radical
Abby	NP	Abby
Hoffman	NP	Hoffman
,	,	,
"	''	"
remembers	VBZ	remember
Dan	NP	Dan
Webb	NP	Webb
,	,	,
who	WP	who
later	RBR	later
became	VBD	become
a	DT	a
U.S.	NP	U.S.
attorney	NN	attorney
.	SENT	.
<p>
Out	RB	out
of	IN	of
114	CD	@card@
"	''	"
hate	VBP	hate
incidents	NNS	incident
"	``	"
reported	VBD	report
from	IN	from
Jan.	NP	Jan.
1	CD	@card@
through	IN	through
June	NP	June
13	CD	@card@
,	,	,
only	RB	only
17	CD	@card@
were	VBD	be
deemed	VBN	deem
"	``	"
bona	NN	bona
fide	NN	fide
,	,	,
"	``	"
83	CD	@card@
were	VBD	be
"	``	"
unfounded	JJ	unfounded
"	''	"
and	CC	and
14	CD	@card@
were	VBD	be
listed	VBN	list
as	IN	as
"	``	"
undetermined	JJ	undetermined
.	SENT	.
"	''	"
Ald.	NP	<unknown>
Debra	NP	Debra
Silverstein	NP	Silverstein
,	,	,
who	WP	who
pushed	VBD	push
to	TO	to
create	VB	create
the	DT	the
new	JJ	new
category	NN	category
,	,	,
said	VBD	say
the	DT	the
low	JJ	low
numbers	NNS	number
show	VBP	show
more	RBR	more
public	JJ	public
education	NN	education
is	VBZ	be
needed	VBN	need
.	SENT	.
<p>
On	IN	on
Tuesday	NP	Tuesday
,	,	,
Chicago	NP	Chicago
'	POS	'
s	JJ	<unknown>
Jewish	JJ	Jewish
community	NN	community
celebrated	JJ	celebrated
Israel	NP	Israel
declaring	VBG	declare
its	PP$	its
independence	NN	independence
76	CD	@card@
years	NNS	year
ago	RB	ago
,	,	,
on	IN	on
May	NP	May
14	CD	@card@
,	,	,
1948	CD	@card@
.	SENT	.
Pro-Palestinian	JJ	Pro-Palestinian
demonstrators	NNS	demonstrator
gathered	VBN	gather
across	IN	across
the	DT	the
plaza	NN	plaza
.	SENT	.
There	EX	there
were	VBD	be
a	DT	a
few	JJ	few
altercations	NNS	altercation
,	,	,
but	CC	but
no	DT	no
arrests	NNS	arrest
were	VBD	be
made	VBN	make
.	SENT	.
<p>
The	DT	the
Israel-Hamas	JJ	<unknown>
war	NN	war
is	VBZ	be
heightening	VBG	heighten
fears	NNS	fear
of	IN	of
unrest	NN	unrest
,	,	,
but	CC	but
convention	NN	convention
leaders	NNS	leader
say	VBP	say
they	PP	they
'	''	'
re	NN	re
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
Police	NP	Police
Supt	NP	<unknown>
.	SENT	.
Larry	NP	Larry
Snelling	NP	Snelling
and	CC	and
the	DT	the
U.S.	NP	U.S.
Secret	NP	Secret
Service	NP	Service
.	SENT	.
<p>
Rafah	NP	<unknown>
has	VBZ	have
become	VBN	become
the	DT	the
most	RBS	most
recent	JJ	recent
focus	NN	focus
of	IN	of
Israel	NP	Israel
'	POS	'
s	NN	S
military	NN	military
,	,	,
which	WDT	which
describes	VBZ	describe
it	PP	it
as	IN	as
Hamas	NP	<unknown>
'	POS	'
last	JJ	last
holdout	NN	holdout
.	SENT	.
Chicago-based	JJ	Chicago-based
Dr.	NP	Dr.
John	NP	John
Kahler	NP	Kahler
has	VBZ	have
seen	VBN	see
conditions	NNS	condition
deteriorate	VBP	deteriorate
as	IN	as
Gazan	NP	<unknown>
refugees	NNS	refugee
fled	VBD	flee
south	RB	south
to	TO	to
the	DT	the
city	NN	city
.	SENT	.
<p>
The	DT	the
University	NP	University
of	IN	of
Chicago	NP	Chicago
Faculty	NN	faculty
for	IN	for
Justice	NP	Justice
in	IN	in
Palestine	NP	Palestine
on	IN	on
Monday	NP	Monday
reaffirmed	VBD	reaffirm
support	NN	support
for	IN	for
the	DT	the
"	``	"
peaceful	JJ	peaceful
,	,	,
welcoming	VBG	welcome
and	CC	and
educational	JJ	educational
space	NN	space
"	''	"
students	NNS	student
had	VBD	have
created	VBN	create
and	CC	and
called	VBN	call
on	IN	on
school	NN	school
leadership	NN	leadership
to	TO	to
return	VB	return
to	TO	to
"	``	"
good-faith	NN	good-faith
"	''	"
negotiations	NNS	negotiation
.	SENT	.
