<h>
During	IN	during
Hamas	NNS	<unknown>
and	CC	and
attacks	NNS	attack
on	IN	on
all	DT	all
fronts	NNS	front
.	SENT	.
<p>
"	``	"
The	DT	the
IDF	NP	IDF
is	VBZ	be
continuing	VBG	continue
to	TO	to
fight	VB	fight
Gaza	NP	Gaza
and	CC	and
has	VBZ	have
killed	VBN	kill
over	IN	over
17,000	CD	@card@
terrorists	NNS	terrorist
,	,	,
"	''	"
Hagari	NP	<unknown>
added	VBD	add
.	SENT	.
"	''	"
The	DT	the
goal	NN	goal
of	IN	of
the	NP	the
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
stands	VBZ	stand
before	IN	before
our	PP$	our
eyes	NNS	eye
all	RB	all
the	DT	the
time	NN	time
.	SENT	.
We	PP	we
are	VBP	be
working	VBG	work
with	IN	with
all	PDT	all
the	DT	the
security	NN	security
agencies	NNS	agency
to	TO	to
create	VB	create
the	DT	the
conditions	NNS	condition
for	IN	for
their	PP$	their
return	NN	return
.	SENT	.
"	''	"
<h>
IDF	NP	IDF
Chief	NP	Chief
of	IN	of
Staff	NP	Staff
Halevi	NP	<unknown>
:	:	:
We	PP	we
will	MD	will
not	RB	not
tolerate	VB	tolerate
the	DT	the
presence	NN	presence
of	IN	of
Hamas	NP	<unknown>
in	IN	in
Gaza	NP	Gaza
after	IN	after
Oct.	NP	Oct.
7	CD	@card@
<p>
In	IN	in
a	DT	a
visit	NN	visit
with	IN	with
new	JJ	new
Paratrooper	NN	paratrooper
Brigade	NN	brigade
recruits	NNS	recruit
on	IN	on
Thursday	NP	Thursday
at	IN	at
the	DT	the
Tel	NP	Tel
HaShomer	NP	HaShomer
induction	NN	induction
center	NN	center
,	,	,
Chief	NP	Chief
of	IN	of
Staff	NP	Staff
,	,	,
Lt.-Gen	NP	<unknown>
.	SENT	.
Herzi	NP	<unknown>
Halevi	NP	<unknown>
emphasized	VBD	emphasize
that	IN	that
the	DT	the
IDF	NP	IDF
will	MD	will
not	RB	not
"	``	"
tolerate	VB	tolerate
the	DT	the
presence	NN	presence
of	IN	of
Hamas	NNS	<unknown>
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
"	''	"
as	IN	as
a	DT	a
result	NN	result
of	IN	of
October	NP	October
7	CD	@card@
.	SENT	.
<p>
"	``	"
The	DT	the
Paratrooper	NN	paratrooper
Brigade	NN	brigade
fights	NNS	fight
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
to	TO	to
dismantle	VB	dismantle
the	DT	the
Hamas	JJ	<unknown>
organization	NN	organization
,	,	,
which	WDT	which
means	VBZ	mean
killing	VBG	kill
its	PP$	its
commanders	NNS	commander
,	,	,
targeting	VBG	target
and	CC	and
killing	VBG	kill
as	RB	as
many	JJ	many
of	IN	of
its	PP$	its
operatives	NNS	operative
as	IN	as
possible	JJ	possible
,	,	,
and	CC	and
destroying	VBG	destroy
Hamas	NP	<unknown>
'	POS	'
s	JJ	<unknown>
infrastructure	NN	infrastructure
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
,	,	,
"	''	"
Halevi	NP	<unknown>
stated	VBD	state
.	SENT	.
<p>
After	IN	after
highlighting	VBG	highlight
the	DT	the
diversity	NN	diversity
of	IN	of
the	DT	the
IDF	NP	IDF
,	,	,
he	PP	he
said	VBD	say
that	IN	that
the	DT	the
IDF	NP	IDF
does	VBZ	do
better	JJR	good
work	NN	work
"	''	"
When	WRB	when
different	JJ	different
people	NNS	people
see	VBP	see
one	CD	one
mission	NN	mission
and	CC	and
know	VB	know
how	WRB	how
to	TO	to
work	VB	work
together	RB	together
for	IN	for
that	DT	that
mission	NN	mission
.	SENT	.
"	''	"
<h>
MK	NP	MK
Benny	NP	Benny
Gantz	NP	Gantz
to	TO	to
PM	NP	PM
Netanyahu	NP	<unknown>
:	:	:
'	''	'
It	PP	it
'	POS	'
s	JJ	<unknown>
time	NN	time
to	TO	to
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
Benny	NP	Benny
Gantz	NP	Gantz
criticized	VBD	criticize
Prime	NP	Prime
Minister	NP	Minister
Benjamin	NP	Benjamin
Netanyahu	NP	<unknown>
on	IN	on
Thursday	NP	Thursday
and	CC	and
told	VBD	tell
him	PP	him
it	PP	it
'	POS	'
s	JJ	<unknown>
time	NN	time
to	TO	to
be	VB	be
brave	JJ	brave
and	CC	and
stop	VB	stop
worrying	VBG	worry
only	RB	only
about	IN	about
himself	PP	himself
,	,	,
Israeli	JJ	Israeli
media	NNS	medium
reported	VBD	report
.	SENT	.
<p>
Gantz	NP	Gantz
said	VBD	say
that	IN	that
"	``	"
the	DT	the
time	NN	time
has	VBZ	have
come	VBN	come
to	TO	to
stop	VB	stop
shuffling	NN	shuffling
and	CC	and
strive	VB	strive
for	IN	for
contact	NN	contact
-	NN	<unknown>
both	CC	both
in	IN	in
the	DT	the
political	JJ	political
arena	NN	arena
and	CC	and
in	IN	in
the	DT	the
military	NN	military
.	SENT	.
"	''	"
<p>
"	``	"
It	PP	it
is	VBZ	be
possible	JJ	possible
and	CC	and
necessary	JJ	necessary
to	TO	to
achieve	VB	achieve
achievements	NNS	achievement
now	RB	now
.	SENT	.
Netanyahu	NP	<unknown>
,	,	,
at	IN	at
first	JJ	first
,	,	,
you	PP	you
were	VBD	be
afraid	JJ	afraid
to	TO	to
maneuver	VB	maneuver
,	,	,
then	RB	then
you	PP	you
were	VBD	be
afraid	JJ	afraid
to	TO	to
move	VB	move
the	DT	the
effort	NN	effort
to	TO	to
the	DT	the
North	NP	North
,	,	,
and	CC	and
for	IN	for
months	NNS	month
,	,	,
you	PP	you
were	VBD	be
afraid	JJ	afraid
to	TO	to
pursue	VB	pursue
a	DT	a
hostage	NN	hostage
plan	NN	plan
for	IN	for
fear	NN	fear
of	IN	of
the	DT	the
fate	NN	fate
of	IN	of
the	DT	the
coalition	NN	coalition
,	,	,
"	''	"
he	PP	he
added	VBD	add
.	SENT	.
<p>
"	''	"
The	DT	the
time	NN	time
has	VBZ	have
come	VBN	come
for	IN	for
you	PP	you
to	TO	to
stop	VB	stop
worrying	VBG	worry
about	IN	about
the	DT	the
fate	NN	fate
of	IN	of
the	DT	the
government	NN	government
and	CC	and
only	RB	only
concern	VB	concern
yourself	PP	yourself
with	IN	with
the	DT	the
fate	NN	fate
of	IN	of
the	DT	the
country	NN	country
.	SENT	.
For	IN	for
once	RB	once
,	,	,
be	VB	be
brave	JJ	brave
,	,	,
"	''	"
he	PP	he
concluded	VBD	conclude
.	SENT	.
<p>
The	DT	the
United	NP	United
States	NPS	States
on	IN	on
Thursday	NP	Thursday
issued	VBD	issue
sanctions	NNS	sanction
targeting	VBG	target
Houthi	NP	<unknown>
and	CC	and
Hezbollah	NP	Hezbollah
trade	NN	trade
networks	NNS	network
,	,	,
the	DT	the
US	NP	US
Treasury	NP	Treasury
Department	NP	Department
said	VBD	say
,	,	,
as	IN	as
Washington	NP	Washington
seeks	VBZ	seek
to	TO	to
increase	VB	increase
pressure	NN	pressure
on	IN	on
Tehran	NP	Tehran
and	CC	and
the	DT	the
Iranian-backed	JJ	Iranian-backed
groups	NNS	group
.	SENT	.
<p>
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
individuals	NNS	individual
and	CC	and
vessels	NNS	vessel
accused	VBN	accuse
of	IN	of
being	VBG	be
involved	VBN	involve
in	IN	in
the	DT	the
shipment	NN	shipment
of	IN	of
Iranian	JJ	Iranian
commodities	NNS	commodity
,	,	,
including	VBG	include
oil	NN	oil
and	CC	and
liquefied	VBN	liquefy
petroleum	NN	petroleum
gas	NN	gas
(	(	(
LPG	NP	LPG
)	)	)
to	TO	to
Yemen	NP	Yemen
and	CC	and
the	DT	the
United	NP	United
Arab	NP	Arab
Emirates	NPS	Emirates
on	IN	on
behalf	NN	behalf
of	IN	of
a	DT	a
Houthi	NP	<unknown>
financial	JJ	financial
official	NN	official
'	POS	'
s	NN	S
network	NN	network
.	SENT	.
<h>
Israeli	JJ	Israeli
delegation	NN	delegation
begins	VBZ	begin
hostage	NN	hostage
deal	NN	deal
discussions	NNS	discussion
in	IN	in
Qatar	NP	Qatar
<h>
A	DT	a
source	NN	source
in	IN	in
the	DT	the
Israeli	JJ	Israeli
negotiating	NN	negotiating
team	NN	team
said	VBD	say
that	IN	that
Netanyahu	NP	<unknown>
has	VBZ	have
allowed	VBN	allow
significant	JJ	significant
leeway	NN	leeway
on	IN	on
a	DT	a
few	JJ	few
of	IN	of
the	DT	the
substantial	JJ	substantial
disputes	NNS	dispute
.	SENT	.
<p>
By	IN	by
REUTERSMossad	NP	REUTERSMossad
director	NN	director
David	NP	David
Barnea	NP	<unknown>
seen	VBN	see
over	IN	over
a	DT	a
wall	NN	wall
of	IN	of
hostage	NN	hostage
posters	NNS	poster
in	IN	in
Tel	NP	Tel
Aviv	NP	Aviv
(	(	(
illustrative	JJ	illustrative
)	)	)
(	(	(
photo	NN	photo
credit	NN	credit
:	:	:
FLASH90	NP	<unknown>
)	)	)
<p>
A	DT	a
new	JJ	new
round	NN	round
of	IN	of
Gaza	NP	Gaza
ceasefire	NN	ceasefire
talks	NNS	talk
was	VBD	be
underway	JJ	underway
in	IN	in
the	DT	the
Qatari	JJ	Qatari
capital	NN	capital
Doha	NP	Doha
on	IN	on
Thursday	NP	Thursday
afternoon	NN	afternoon
,	,	,
an	DT	an
official	NN	official
briefed	VBN	brief
on	IN	on
the	DT	the
meeting	NN	meeting
told	VBD	tell
Reuters	NP	Reuters
,	,	,
with	IN	with
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
spy	NN	spy
chief	NN	chief
joining	VBG	join
his	PP$	his
US	NP	US
and	CC	and
Egyptian	JJ	Egyptian
counterparts	NNS	counterpart
and	CC	and
Qatar	NP	Qatar
'	POS	'
s	JJ	<unknown>
prime	JJ	prime
minister	NN	minister
for	IN	for
the	DT	the
closed-door	JJ	closed-door
meeting	NN	meeting
.	SENT	.
<h>
One	CD	one
wounded	VBN	wound
after	IN	after
Hezbollah	NP	Hezbollah
projectiles	NNS	projectile
fall	VBP	fall
in	IN	in
open	JJ	open
areas	NNS	area
in	IN	in
Upper	NP	Upper
Galilee	NP	Galilee
<p>
Approximately	RB	approximately
five	CD	five
projectiles	NNS	projectile
fell	VBD	fall
in	IN	in
open	JJ	open
areas	NNS	area
in	IN	in
the	DT	the
area	NN	area
of	IN	of
Shamir	NP	Shamir
from	IN	from
Lebanon	NP	Lebanon
,	,	,
the	DT	the
IDF	NP	IDF
reported	VBD	report
.	SENT	.
<p>
A	DT	a
50-year-old	JJ	50-year-old
man	NN	man
in	IN	in
the	DT	the
area	NN	area
was	VBD	be
wounded	VBN	wound
while	IN	while
he	PP	he
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
paramedics	NN	paramedics
,	,	,
MDA	NP	MDA
said	VBD	say
.	SENT	.
<p>
Following	VBG	follow
the	DT	the
sirens	NNS	siren
that	WDT	that
sounded	VBD	sound
at	IN	at
2:10	CD	@card@
p.m.	NN	p.m.
in	IN	in
the	DT	the
area	NN	area
of	IN	of
the	DT	the
Golan	NP	Golan
Heights	NP	Heights
,	,	,
one	CD	one
suspicious	JJ	suspicious
aerial	JJ	aerial
target	NN	target
was	VBD	be
intercepted	VBN	intercept
after	IN	after
crossing	VBG	cross
from	IN	from
Lebanon	NP	Lebanon
into	IN	into
Israeli	JJ	Israeli
territory	NN	territory
.	SENT	.
No	DT	no
injuries	NNS	injury
were	VBD	be
reported	VBN	report
.	SENT	.
<p>
Following	VBG	follow
the	DT	the
sirens	NNS	siren
that	WDT	that
sounded	VBD	sound
at	IN	at
2:29	CD	@card@
p.m.	NN	p.m.
in	IN	in
the	DT	the
Upper	NP	Upper
Galilee	NP	Galilee
,	,	,
approximately	RB	approximately
20	CD	@card@
projectiles	NNS	projectile
crossed	VBN	cross
from	IN	from
Lebanon	NP	Lebanon
into	IN	into
Israeli	JJ	Israeli
territory	NN	territory
.	SENT	.
The	DT	the
majority	NN	majority
were	VBD	be
intercepted	VBN	intercept
,	,	,
and	CC	and
some	DT	some
fell	VBD	fall
in	IN	in
the	DT	the
area	NN	area
of	IN	of
Shamir	NP	Shamir
.	SENT	.
