<p>
Speaking	VBG	speak
and	CC	and
we	PP	we
believe	VBP	believe
the	DT	the
Israelis	NPS	Israelis
should	MD	should
be	VB	be
agreeing	VBG	agree
to	TO	to
a	DT	a
ceasefire	NN	ceasefire
and	CC	and
their	PP$	their
war	NN	war
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
in	IN	in
Gaza	NP	Gaza
,	,	,
should	MD	should
be	VB	be
ended	VBN	end
as	RB	as
soon	RB	soon
as	RB	as
possible	JJ	possible
.	SENT	.
"	''	"
<p>
Robertson	NP	Robertson
then	RB	then
hit	VBD	hit
back	RB	back
at	IN	at
Maxwell	NP	Maxwell
again	RB	again
as	IN	as
he	PP	he
said	VBD	say
he	PP	he
wanted	VBD	want
to	TO	to
make	VB	make
sure	JJ	sure
Scotland	NP	Scotland
had	VBD	have
a	DT	a
voice	NN	voice
on	IN	on
the	DT	the
international	JJ	international
stage	NN	stage
and	CC	and
that	IN	that
"	``	"
Scotland	NP	Scotland
'	POS	'
s	NN	S
voice	NN	voice
does	VBZ	do
matter	NN	matter
"	''	"
.	SENT	.
<p>
He	PP	he
said	VBD	say
Scotland	NP	Scotland
wanted	VBD	want
to	TO	to
call	VB	call
for	IN	for
a	DT	a
ceasefire	NN	ceasefire
and	CC	and
for	IN	for
humanitarian	JJ	humanitarian
supplies	NNS	supply
to	TO	to
be	VB	be
allowed	VBN	allow
in	IN	in
with	IN	with
Maxwell	NP	Maxwell
saying	VBG	say
:	:	:
"	``	"
You	PP	you
'	POS	'
ve	NN	ve
made	VBD	make
that	DT	that
point	NN	point
.	SENT	.
"	''	"
<p>
Robertson	NP	Robertson
replied	VBD	reply
:	:	:
"	``	"
Well	UH	well
,	,	,
this	DT	this
message	NN	message
matters	NNS	matter
.	SENT	.
"	''	"
<p>
Finally	RB	finally
,	,	,
the	DT	the
SNP	NP	<unknown>
MSP	NP	MSP
was	VBD	be
asked	VBN	ask
if	IN	if
he	PP	he
had	VBD	have
considered	VBN	consider
his	PP$	his
position	NN	position
in	IN	in
the	DT	the
Cabinet	NP	Cabinet
.	SENT	.
He	PP	he
said	VBD	say
:	:	:
"	``	"
No	DT	no
I	PP	I
have	VBP	have
n't	RB	n't
because	IN	because
I	PP	I
think	VBP	think
it	PP	it
was	VBD	be
right	JJ	right
to	TO	to
communicate	VB	communicate
the	DT	the
message	NN	message
that	IN	that
we	PP	we
did	VBD	do
.	SENT	.
<p>
"	``	"
But	CC	but
I	PP	I
have	VBP	have
reflected	VBN	reflect
very	RB	very
strongly	RB	strongly
on	IN	on
the	DT	the
impact	NN	impact
that	IN	that
it	PP	it
has	VBZ	have
created	VBN	create
and	CC	and
the	DT	the
impression	NN	impression
it	PP	it
has	VBZ	have
created	VBN	create
which	WDT	which
is	VBZ	be
why	WRB	why
I	PP	I
issued	VBD	issue
the	DT	the
apology	NN	apology
yesterday	NN	yesterday
.	SENT	.
"	``	"
<h>
Why	WRB	why
are	VBP	be
you	PP	you
making	VBG	make
commenting	VBG	comment
on	IN	on
The	DT	the
National	NP	National
only	RB	only
available	JJ	available
to	TO	to
subscribers	NNS	subscriber
?	SENT	?
<p>
We	PP	we
know	VBP	know
there	EX	there
are	VBP	be
thousands	NNS	thousand
of	IN	of
National	NP	National
readers	NNS	reader
who	WP	who
want	VBP	want
to	TO	to
debate	VB	debate
,	,	,
argue	VB	argue
and	CC	and
go	VB	go
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
.	SENT	.
We	PP	we
'	POS	'
ve	NN	ve
got	VBD	get
the	DT	the
most	RBS	most
informed	JJ	informed
readers	NNS	reader
in	IN	in
Scotland	NP	Scotland
,	,	,
asking	VBG	ask
each	DT	each
other	JJ	other
the	DT	the
big	JJ	big
questions	NNS	question
about	IN	about
the	DT	the
future	NN	future
of	IN	of
our	PP$	our
country	NN	country
.	SENT	.
<p>
Unfortunately	RB	unfortunately
,	,	,
though	RB	though
,	,	,
these	DT	these
important	JJ	important
debates	NNS	debate
are	VBP	be
being	VBG	be
spoiled	VBN	spoil
by	IN	by
a	DT	a
vocal	JJ	vocal
minority	NN	minority
of	IN	of
trolls	NNS	troll
who	WP	who
are	VBP	be
n't	RB	n't
really	RB	really
interested	JJ	interested
in	IN	in
the	DT	the
issues	NNS	issue
,	,	,
try	VBP	try
to	TO	to
derail	VB	derail
the	DT	the
conversations	NNS	conversation
,	,	,
register	NN	register
under	IN	under
fake	JJ	fake
names	NNS	name
,	,	,
and	CC	and
post	VB	post
vile	JJ	vile
abuse	NN	abuse
.	SENT	.
<p>
So	IN	so
that	DT	that
'	''	'
s	NN	S
why	WRB	why
we	PP	we
'	POS	'
ve	NN	ve
decided	VBD	decide
to	TO	to
make	VB	make
the	DT	the
ability	NN	ability
to	TO	to
comment	VB	comment
only	RB	only
available	JJ	available
to	TO	to
our	PP$	our
paying	VBG	pay
subscribers	NNS	subscriber
.	SENT	.
That	DT	that
way	NN	way
,	,	,
all	PDT	all
the	DT	the
trolls	NNS	troll
who	WP	who
post	VB	post
abuse	NN	abuse
on	IN	on
our	PP$	our
website	NN	website
will	MD	will
have	VB	have
to	TO	to
pay	VB	pay
if	IN	if
they	PP	they
want	VBP	want
to	TO	to
join	VB	join
the	DT	the
debate	NN	debate
--	:	--
and	CC	and
risk	VB	risk
a	DT	a
permanent	JJ	permanent
ban	NN	ban
from	IN	from
the	DT	the
account	NN	account
that	IN	that
they	PP	they
subscribe	VBP	subscribe
with	IN	with
.	SENT	.
<p>
The	DT	the
conversation	NN	conversation
will	MD	will
go	VB	go
back	RB	back
to	TO	to
what	WP	what
it	PP	it
should	MD	should
be	VB	be
about	RB	about
--	:	--
people	NNS	people
who	WP	who
care	VBP	care
passionately	RB	passionately
about	IN	about
the	DT	the
issues	NNS	issue
,	,	,
but	CC	but
disagree	VBP	disagree
constructively	RB	constructively
on	IN	on
what	WP	what
we	PP	we
should	MD	should
do	VB	do
about	IN	about
them	PP	them
.	SENT	.
Let	NP	Let
'	POS	'
s	NNS	<unknown>
get	VBP	get
that	IN	that
debate	NN	debate
started	VBD	start
!	SENT	!
<p>
Callum	NP	Callum
Baird	NP	Baird
,	,	,
Editor	NN	editor
of	IN	of
The	DT	the
National	NP	National
<h>
Comments	NP	Comments
:	:	:
Our	PP$	our
rules	NNS	rule
<p>
We	PP	we
want	VBP	want
our	PP$	our
comments	NNS	comment
to	TO	to
be	VB	be
a	DT	a
lively	JJ	lively
and	CC	and
valuable	JJ	valuable
part	NN	part
of	IN	of
our	PP$	our
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
with	IN	with
the	DT	the
most	RBS	most
important	JJ	important
local	JJ	local
issues	NNS	issue
.	SENT	.
The	DT	the
ability	NN	ability
to	TO	to
comment	VB	comment
on	IN	on
our	PP$	our
stories	NNS	story
is	VBZ	be
a	DT	a
privilege	NN	privilege
,	,	,
not	RB	not
a	DT	a
right	NN	right
,	,	,
however	RB	however
,	,	,
and	CC	and
that	IN	that
privilege	NN	privilege
may	MD	may
be	VB	be
withdrawn	VBN	withdraw
if	IN	if
it	PP	it
is	VBZ	be
abused	VBN	abuse
or	CC	or
misused	VBN	misuse
.	SENT	.
<h>
follow	VB	follow
us	PP	us
<p>
This	DT	this
website	NN	website
and	CC	and
associated	JJ	associated
newspapers	NNS	newspaper
adhere	VBP	adhere
to	TO	to
the	DT	the
Independent	NP	Independent
Press	NP	Press
Standards	NPS	Standards
Organisation	NP	Organisation
'	POS	'
s	JJ	<unknown>
Editors	NNS	editor
'	POS	'
Code	NP	Code
of	IN	of
Practice	NP	Practice
.	SENT	.
If	IN	if
you	PP	you
have	VBP	have
a	DT	a
complaint	NN	complaint
about	IN	about
the	DT	the
editorial	JJ	editorial
content	NN	content
which	WDT	which
relates	VBZ	relate
to	TO	to
inaccuracy	NN	inaccuracy
or	CC	or
intrusion	NN	intrusion
,	,	,
then	RB	then
please	RB	please
contact	VB	contact
the	DT	the
editor	NN	editor
here	RB	here
.	SENT	.
If	IN	if
you	PP	you
are	VBP	be
dissatisfied	VBN	dissatisfy
with	IN	with
the	DT	the
response	NN	response
provided	VBD	provide
you	PP	you
can	MD	can
contact	VB	contact
IPSO	NP	ipso
here	RB	here
