<h>
Can	MD	can
be	VB	be
uninhabitable	JJ	uninhabitable
for	IN	for
at	IN	at
least	JJS	least
the	DT	the
next	JJ	next
ten	CD	ten
to	TO	to
fifteen	CD	fifteen
years	NNS	year
"	''	"
and	CC	and
said	VBD	say
that	IN	that
a	DT	a
"	``	"
better	JJR	good
life	NN	life
is	VBZ	be
n't	RB	n't
necessarily	RB	necessarily
tied	VBN	tie
to	TO	to
physical	JJ	physical
space	NN	space
"	''	"
.	SENT	.
Marco	NP	Marco
Rubio	NP	Rubio
,	,	,
the	DT	the
new	JJ	new
US	NP	US
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
Gaza	NP	Gaza
Great	NP	Great
Again	NP	Again
.	SENT	.
<p>
"	``	"
Everybody	NN	everybody
I	NP	I
'	POS	'
ve	NNS	<unknown>
spoken	VBN	speak
to	TO	to
loves	NNS	love
the	DT	the
idea	NN	idea
of	IN	of
the	DT	the
United	NP	United
States	NPS	States
owning	VBG	own
that	DT	that
piece	NN	piece
of	IN	of
land	NN	land
,	,	,
developing	VBG	develop
and	CC	and
creating	VBG	create
thousands	NNS	thousand
of	IN	of
jobs	NNS	job
with	IN	with
something	NN	something
that	WDT	that
will	MD	will
be	VB	be
magnificent	JJ	magnificent
,	,	,
"	''	"
Trump	NP	Trump
said	VBD	say
.	SENT	.
His	PP$	his
son-in-law	NN	son-in-law
Jared	NP	Jared
Kushner	NP	Kushner
had	VBD	have
earlier	RBR	earlier
praised	VBD	praise
the	DT	the
"	``	"
very	RB	very
valuable	JJ	valuable
"	''	"
potential	NN	potential
of	IN	of
Gaza	NP	Gaza
'	POS	'
s	NN	S
"	``	"
waterfront	NN	waterfront
property	NN	property
"	''	"
and	CC	and
suggested	VBD	suggest
Israel	NP	Israel
should	MD	should
remove	VB	remove
civilians	NNS	civilian
while	IN	while
it	PP	it
"	``	"
cleans	VBZ	clean
up	RB	up
"	``	"
the	DT	the
strip	NN	strip
.	SENT	.
Kushner	NP	Kushner
was	VBD	be
in	IN	in
charge	NN	charge
of	IN	of
West	NP	West
Asia	NP	Asia
during	IN	during
Trump	NP	Trump
'	POS	'
s	JJ	<unknown>
first	JJ	first
term	NN	term
in	IN	in
office	NN	office
and	CC	and
was	VBD	be
the	DT	the
architect	NN	architect
of	IN	of
the	DT	the
Abraham	NP	Abraham
Accords	NNS	accord
that	WDT	that
led	VBD	lead
to	TO	to
establishing	VBG	establish
diplomatic	JJ	diplomatic
relations	NNS	relation
between	IN	between
Israel	NP	Israel
and	CC	and
Sunni	NP	Sunni
Arab	NP	Arab
nations	NNS	nation
like	IN	like
the	DT	the
UAE	NP	UAE
,	,	,
Bahrain	NP	Bahrain
,	,	,
Morocco	NP	Morocco
and	CC	and
Sudan	NP	Sudan
.	SENT	.
<h>
No	DT	no
Details	NNS	detail
of	IN	of
the	DT	the
Plan	NP	Plan
<p>
Trump	NP	Trump
simply	RB	simply
outlined	VBD	outline
an	DT	an
idea	NN	idea
at	IN	at
the	DT	the
press	NN	press
briefing	NN	briefing
,	,	,
offering	VBG	offer
no	DT	no
details	NNS	detail
.	SENT	.
He	PP	he
hinted	VBD	hint
that	IN	that
the	DT	the
US	NP	US
military	NN	military
could	MD	could
be	VB	be
deployed	VBN	deploy
if	IN	if
necessary	JJ	necessary
.	SENT	.
For	IN	for
Trump	NP	Trump
,	,	,
who	WP	who
has	VBZ	have
long	RB	long
campaigned	VBN	campaign
for	IN	for
not	RB	not
wasting	VBG	waste
American	JJ	American
lives	NNS	life
on	IN	on
foreign	JJ	foreign
wars	NNS	war
,	,	,
this	DT	this
is	VBZ	be
a	DT	a
turnaround	NN	turnaround
.	SENT	.
<p>
Taking	VBG	take
over	IN	over
territory	NN	territory
and	CC	and
asking	VBG	ask
the	DT	the
rightful	JJ	rightful
inhabitants	NNS	inhabitant
to	TO	to
move	VB	move
out	RP	out
is	VBZ	be
against	IN	against
international	JJ	international
law	NN	law
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
the	DT	the
US	NP	US
could	MD	could
do	VB	do
whatever	WDT	whatever
the	DT	the
President	NP	President
'	POS	'
s	JJ	<unknown>
whim	NN	whim
dictates	NNS	dictate
.	SENT	.
Countries	NNS	country
are	VBP	be
in	IN	in
no	DT	no
position	NN	position
to	TO	to
oppose	VB	oppose
the	DT	the
US	NP	US
.	SENT	.
UN	NP	UN
Secretary-General	NP	Secretary-General
Antonio	NP	Antonio
Guterres	NP	Guterres
said	VBD	say
Trump	NP	Trump
'	POS	'
s	JJ	<unknown>
plan	NN	plan
to	TO	to
relocate	VB	relocate
Gaza	NP	Gaza
'	POS	'
s	NN	S
population	NN	population
and	CC	and
develop	VB	develop
the	DT	the
Palestinian	JJ	Palestinian
enclave	NN	enclave
would	MD	would
amount	VB	amount
to	TO	to
"	``	"
ethnic	JJ	ethnic
cleansing	NN	cleansing
"	''	"
.	SENT	.
<h>
Can	MD	can
Trump	NP	Trump
and	CC	and
Israel	NP	Israel
Pull	VB	pull
this	DT	this
off	RP	off
?	SENT	?
<p>
Both	DT	both
Egypt	NP	Egypt
and	CC	and
Jordan	NP	Jordan
have	VBP	have
rejected	VBN	reject
Trump	NP	Trump
'	POS	'
s	NN	S
proposal	NN	proposal
.	SENT	.
King	NP	King
Hussain	NP	Hussain
of	IN	of
Jordan	NP	Jordan
will	MD	will
be	VB	be
in	IN	in
Washington	NP	Washington
next	JJ	next
week	NN	week
for	IN	for
a	DT	a
meeting	NN	meeting
with	IN	with
Trump	NP	Trump
.	SENT	.
The	DT	the
situation	NN	situation
would	MD	would
be	VB	be
clearer	JJR	clear
after	IN	after
the	DT	the
talks	NNS	talk
.	SENT	.
The	DT	the
UN	NP	UN
as	RB	as
well	RB	well
as	IN	as
most	JJS	most
countries	NNS	country
have	VBP	have
always	RB	always
supported	VBN	support
the	DT	the
two	CD	two
state	NN	state
solution	NN	solution
;	:	;
it	PP	it
is	VBZ	be
another	DT	another
matter	NN	matter
that	IN	that
despite	IN	despite
the	DT	the
efforts	NNS	effort
made	VBN	make
during	IN	during
the	DT	the
Oslo	NP	Oslo
Accord	NP	Accord
,	,	,
that	WDT	that
remained	VBD	remain
a	DT	a
nonstarter	NN	nonstarter
.	SENT	.
What	WP	what
can	MD	can
be	VB	be
worked	VBN	work
out	RP	out
is	VBZ	be
difficult	JJ	difficult
to	TO	to
gauge	VB	gauge
now	RB	now
but	CC	but
the	DT	the
people	NNS	people
of	IN	of
Gaza	NP	Gaza
can	MD	can
not	RB	not
be	VB	be
forcibly	RB	forcibly
ejected	VBN	eject
despite	IN	despite
US	NP	US
and	CC	and
Israeli	JJ	Israeli
effort	NN	effort
.	SENT	.
<p>
Netanyahu	NP	<unknown>
'	POS	'
s	NN	S
plan	NN	plan
now	RB	now
appears	VBZ	appear
to	TO	to
be	VB	be
clear	JJ	clear
.	SENT	.
While	IN	while
the	DT	the
US	NP	US
takes	VBZ	take
over	IN	over
the	DT	the
rebuilding	NN	rebuilding
of	IN	of
Gaza	NP	Gaza
after	IN	after
forcing	VBG	force
the	DT	the
people	NNS	people
out	RB	out
,	,	,
Israel	NP	Israel
will	MD	will
continue	VB	continue
with	IN	with
its	PP$	its
settlements	NNS	settlement
in	IN	in
the	DT	the
West	NP	West
Bank	NP	Bank
.	SENT	.
Though	IN	though
Trump	NP	Trump
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
from	IN	from
recent	JJ	recent
Israeli	JJ	Israeli
action	NN	action
that	IN	that
the	DT	the
annexation	NN	annexation
of	IN	of
Palestinian	JJ	Palestinian
land	NN	land
and	CC	and
extending	VBG	extend
Israel	NP	Israel
'	POS	'
s	NN	S
frontiers	NNS	frontier
is	VBZ	be
part	NN	part
of	IN	of
the	DT	the
plan	NN	plan
<p>
It	PP	it
will	MD	will
be	VB	be
difficult	JJ	difficult
for	IN	for
any	DT	any
Arab	JJ	Arab
country	NN	country
to	TO	to
support	VB	support
Trump	NP	Trump
'	POS	'
s	NN	S
proposal	NN	proposal
.	SENT	.
Even	RB	even
if	IN	if
rulers	NNS	ruler
may	MD	may
be	VB	be
eager	JJ	eager
to	TO	to
toe	VB	toe
the	DT	the
American	JJ	American
line	NN	line
,	,	,
they	PP	they
can	MD	can
not	RB	not
go	VB	go
against	IN	against
popular	JJ	popular
sentiments	NNS	sentiment
.	SENT	.
The	DT	the
ordinary	JJ	ordinary
people	NNS	people
in	IN	in
the	DT	the
bazars	NNS	bazar
and	CC	and
mosques	NNS	mosque
who	WP	who
have	VBP	have
witnessed	VBN	witness
the	DT	the
devastation	NN	devastation
and	CC	and
suffering	NN	suffering
of	IN	of
the	DT	the
people	NNS	people
of	IN	of
Gaza	NP	Gaza
will	MD	will
not	RB	not
back	VB	back
Trump	NP	Trump
.	SENT	.
Saudi	NP	Saudi
Arabia	NP	Arabia
had	VBD	have
repeatedly	RB	repeatedly
made	VBN	make
clear	JJ	clear
that	IN	that
without	IN	without
the	DT	the
Palestinians	NPS	Palestinians
getting	VBG	get
their	PP$	their
due	JJ	due
through	IN	through
a	DT	a
two	CD	two
state	NN	state
solution	NN	solution
,	,	,
Riyadh	NP	Riyadh
will	MD	will
not	RB	not
establish	VB	establish
diplomatic	JJ	diplomatic
ties	NNS	tie
with	IN	with
Israel	NP	Israel
.	SENT	.
<p>
Whether	IN	whether
Trump	NP	Trump
'	POS	'
s	JJ	<unknown>
real	JJ	real
estate	NN	estate
instincts	NNS	instinct
on	IN	on
Gaza	NP	Gaza
work	NN	work
out	RB	out
remains	VBZ	remain
to	TO	to
be	VB	be
seen	VBN	see
.	SENT	.
