<h>
Just	RB	just
a	DT	a
quiet	JJ	quiet
place	NN	place
until	IN	until
things	NNS	thing
are	VBP	be
over	IN	over
,	,	,
until	IN	until
the	DT	the
war	NN	war
is	VBZ	be
over	RP	over
,	,	,
until	IN	until
things	NNS	thing
get	VBP	get
through	IN	through
a	DT	a
construct	NN	construct
and	CC	and
then	RB	then
they	PP	they
come	VBP	come
back	RB	back
.	SENT	.
The	DT	the
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
allowed	VBN	allow
apparently	RB	apparently
is	VBZ	be
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
,	,	,
"	''	"
Azar	NP	Azar
told	VBD	tell
IANS	NPS	Ian
in	IN	in
an	DT	an
exclusive	JJ	exclusive
interview	NN	interview
on	IN	on
Wednesday	NP	Wednesday
.	SENT	.
<p>
Much	RB	much
before	IN	before
his	PP$	his
re-election	NN	re-election
Trump	NP	Trump
had	VBD	have
pledged	VBN	pledge
to	TO	to
bring	VB	bring
peace	NN	peace
to	TO	to
West	NP	West
Asia	NP	Asia
and	CC	and
expressed	VBD	express
solidarity	NN	solidarity
with	IN	with
Israel	NP	Israel
on	IN	on
the	DT	the
"	``	"
heinous	JJ	heinous
"	''	"
October	NP	October
7	CD	@card@
,	,	,
2023	CD	@card@
attack	NN	attack
.	SENT	.
<p>
Earlier	RBR	earlier
this	DT	this
month	NN	month
,	,	,
the	DT	the
US	NP	US
President	NP	President
had	VBD	have
proposed	VBN	propose
a	DT	a
plan	NN	plan
to	TO	to
resolve	VB	resolve
the	DT	the
decades-long	JJ	decades-long
West	NP	West
Asia	NP	Asia
crisis	NN	crisis
,	,	,
suggesting	VBG	suggest
the	DT	the
US	NP	US
taking	VBG	take
over	IN	over
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
which	WDT	which
,	,	,
he	PP	he
said	VBD	say
,	,	,
has	VBZ	have
been	VBN	be
"	``	"
a	DT	a
symbol	NN	symbol
of	IN	of
death	NN	death
and	CC	and
destruction	NN	destruction
for	IN	for
so	RB	so
many	JJ	many
decades	NNS	decade
"	''	"
.	SENT	.
<p>
Azar	NP	Azar
,	,	,
a	DT	a
seasoned	JJ	seasoned
Israeli	JJ	Israeli
diplomat	NN	diplomat
,	,	,
stated	VBD	state
that	IN	that
Trump	NP	Trump
was	VBD	be
saying	VBG	say
something	NN	something
that	WDT	that
is	VBZ	be
"	``	"
very	RB	very
natural	JJ	natural
"	''	"
as	IN	as
Gazans	NNS	Gazan
can	MD	can
be	VB	be
temporarily	RB	temporarily
relocated	VBN	relocate
to	TO	to
a	DT	a
safe	JJ	safe
haven	NN	haven
until	IN	until
things	NNS	thing
get	VBP	get
better	RBR	well
.	SENT	.
<p>
"	``	"
This	DT	this
is	VBZ	be
not	RB	not
something	NN	something
that	WDT	that
is	VBZ	be
going	VBG	go
to	TO	to
happen	VB	happen
by	IN	by
force	NN	force
.	SENT	.
It	PP	it
will	MD	will
be	VB	be
based	VBN	base
on	IN	on
a	DT	a
voluntary	JJ	voluntary
basis	NN	basis
.	SENT	.
So	RB	so
,	,	,
if	IN	if
there	EX	there
are	VBP	be
countries	NNS	country
that	WDT	that
are	VBP	be
ready	JJ	ready
to	TO	to
accept	VB	accept
Palestinians	NPS	Palestinians
,	,	,
that	WDT	that
want	VBP	want
to	TO	to
take	VB	take
refugees	NNS	refugee
,	,	,
then	RB	then
we	PP	we
can	MD	can
do	VB	do
it	PP	it
,	,	,
"	''	"
he	PP	he
told	VBD	tell
IANS	NPS	Ian
.	SENT	.
<p>
Israel	NP	Israel
'	POS	'
s	NN	S
Prime	NP	Prime
Minister	NP	Minister
Benjamin	NP	Benjamin
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
President	NP	President
after	IN	after
returning	VBG	return
to	TO	to
the	DT	the
White	NP	White
House	NP	House
,	,	,
last	JJ	last
month	NN	month
.	SENT	.
<p>
"	``	"
We	PP	we
are	VBP	be
optimistic	JJ	optimistic
because	IN	because
we	PP	we
saw	VBD	see
what	WP	what
the	DT	the
first	JJ	first
Trump	NP	Trump
administration	NN	administration
did	VBD	do
to	TO	to
the	DT	the
region	NN	region
.	SENT	.
We	PP	we
reached	VBD	reach
the	DT	the
Abraham	NP	Abraham
Accords	NPS	Accord
and	CC	and
Israel	NP	Israel
got	VBD	get
very	RB	very
important	JJ	important
achievements	NNS	achievement
from	IN	from
that	DT	that
administration	NN	administration
that	WDT	that
have	VBP	have
to	TO	to
do	VB	do
with	IN	with
the	DT	the
American	JJ	American
recognition	NN	recognition
of	IN	of
Jerusalem	NP	Jerusalem
,	,	,
our	PP$	our
capital	NN	capital
,	,	,
the	DT	the
moving	VBG	move
of	IN	of
the	DT	the
American	NP	American
Embassy	NP	Embassy
to	TO	to
Jerusalem	NP	Jerusalem
,	,	,
the	DT	the
recognition	NN	recognition
of	IN	of
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
sovereignty	NN	sovereignty
over	IN	over
the	DT	the
Golan	NP	Golan
Heights	NP	Heights
and	CC	and
many	JJ	many
other	JJ	other
things	NNS	thing
.	SENT	.
So	RB	so
,	,	,
we	PP	we
have	VBP	have
a	DT	a
hope	NN	hope
that	IN	that
with	IN	with
this	DT	this
Trump	NP	Trump
administration	NN	administration
,	,	,
we	PP	we
can	MD	can
achieve	VB	achieve
more	JJR	more
,	,	,
"	''	"
he	PP	he
said	VBD	say
.	SENT	.
<p>
Azar	NP	Azar
spotlighted	VBD	spotlight
that	IN	that
even	RB	even
though	IN	though
Israel	NP	Israel
always	RB	always
had	VBD	have
good	JJ	good
relations	NNS	relation
with	IN	with
"	``	"
any	DT	any
American	JJ	American
administration	NN	administration
"	''	"
,	,	,
there	EX	there
were	VBD	be
"	``	"
some	DT	some
gaps	NNS	gap
"	``	"
left	VBN	leave
during	IN	during
the	DT	the
tenure	NN	tenure
of	IN	of
former	JJ	former
US	NP	US
President	NP	President
Joe	NP	Joe
Biden	NP	Biden
.	SENT	.
<p>
"	``	"
We	PP	we
had	VBD	have
some	DT	some
gaps	NNS	gap
with	IN	with
them	PP	them
when	WRB	when
it	PP	it
came	VBD	come
to	TO	to
the	DT	the
management	NN	management
of	IN	of
our	PP$	our
struggle	NN	struggle
to	TO	to
defend	VB	defend
ourselves	PP	ourselves
from	IN	from
the	DT	the
Hamas	JJ	<unknown>
attack	NN	attack
.	SENT	.
If	IN	if
you	PP	you
remember	VBP	remember
,	,	,
the	DT	the
administration	NN	administration
tried	VBD	try
to	TO	to
make	VB	make
us	PP	us
refrain	VB	refrain
from	IN	from
doing	VBG	do
the	DT	the
Rafah	NP	<unknown>
operation	NN	operation
or	CC	or
was	VBD	be
withholding	VBG	withhold
some	DT	some
weapons	NNS	weapon
that	IN	that
we	PP	we
needed	VBD	need
for	IN	for
the	DT	the
war	NN	war
.	SENT	.
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
no	RB	no
longer	RBR	longer
there	RB	there
.	SENT	.
And	CC	and
,	,	,
we	PP	we
'	POS	'
ve	NN	ve
heard	VBD	hear
very	RB	very
clearly	RB	clearly
from	IN	from
President	NP	President
Trump	NP	Trump
himself	PP	himself
that	IN	that
he	PP	he
'	POS	'
s	NNS	<unknown>
going	VBG	go
to	TO	to
back	VB	back
Israel	NP	Israel
in	IN	in
whatever	WDT	whatever
decisions	NNS	decision
Israel	NP	Israel
has	VBZ	have
to	TO	to
make	VB	make
to	TO	to
defend	VB	defend
ourselves	PP	ourselves
.	SENT	.
That	IN	that
'	POS	'
s	NN	S
very	RB	very
encouraging	JJ	encouraging
,	,	,
"	''	"
the	DT	the
Israeli	NP	Israeli
Ambassador	NP	Ambassador
told	VBD	tell
IANS	NPS	Ian
.	SENT	.
