<h>
Can	MD	can
portrayed	VBD	portray
in	IN	in
his	PP$	his
book	NN	book
the	DT	the
"	``	"
birth	NN	birth
of	IN	of
a	DT	a
new	JJ	new
nation	NN	nation
in	IN	in
the	DT	the
midst	NN	midst
of	IN	of
enemies	NNS	enemy
.	SENT	.
"	``	"
The	DT	the
Palestinian	JJ	Palestinian
Arabs	NPS	Arabs
were	VBD	be
portrayed	VBN	portray
as	IN	as
enemies	NNS	enemy
rather	RB	rather
than	IN	than
as	IN	as
a	DT	a
people	NNS	people
that	WDT	that
were	VBD	be
actually	RB	actually
the	DT	the
inhabitants	NNS	inhabitant
of	IN	of
that	DT	that
land	NN	land
.	SENT	.
<p>
The	DT	the
Jewish	JJ	Jewish
migrants	NNS	migrant
anchored	VBD	anchor
their	PP$	their
claim	NN	claim
on	IN	on
the	DT	the
biblical	JJ	biblical
story	NN	story
that	IN	that
they	PP	they
were	VBD	be
the	DT	the
original	JJ	original
inhabitants	NNS	inhabitant
of	IN	of
this	DT	this
land	NN	land
called	VBN	call
Israel	NP	Israel
.	SENT	.
A	DT	a
new	JJ	new
emerging	VBG	emerge
story	NN	story
,	,	,
however	RB	however
,	,	,
is	VBZ	be
that	IN	that
the	DT	the
Western	JJ	Western
world	NN	world
believed	VBD	believe
that	IN	that
the	DT	the
only	JJ	only
solution	NN	solution
to	TO	to
racial	JJ	racial
prejudice	NN	prejudice
against	IN	against
Jews	NPS	Jews
was	VBD	be
to	TO	to
help	VB	help
them	PP	them
establish	VB	establish
their	PP$	their
own	JJ	own
homeland	NN	homeland
.	SENT	.
This	DT	this
was	VBD	be
successfully	RB	successfully
accomplished	VBN	accomplish
,	,	,
except	IN	except
that	WDT	that
it	PP	it
was	VBD	be
done	VBN	do
by	IN	by
driving	VBG	drive
away	RP	away
Palestinian	JJ	Palestinian
Arabs	NPS	Arabs
who	WP	who
had	VBD	have
settled	VBN	settle
there	RB	there
for	IN	for
centuries	NNS	century
.	SENT	.
<p>
It	PP	it
is	VBZ	be
understandable	JJ	understandable
why	WRB	why
the	DT	the
Palestinian	NP	Palestinian
Arabs	NPS	Arabs
believed	VBD	believe
that	IN	that
the	DT	the
land	NN	land
belonged	VBD	belong
to	TO	to
them	PP	them
.	SENT	.
The	DT	the
result	NN	result
of	IN	of
this	DT	this
conflict	NN	conflict
was	VBD	be
that	IN	that
there	EX	there
were	VBD	be
two	CD	two
very	RB	very
different	JJ	different
peoples	NNS	people
residing	VBG	reside
virtually	RB	virtually
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
The	DT	the
Jews	NPS	Jews
retained	VBD	retain
all	PDT	all
the	DT	the
power	NN	power
and	CC	and
the	DT	the
Palestinians	NPS	Palestinians
had	VBD	have
very	RB	very
little	RB	little
economic	JJ	economic
and	CC	and
political	JJ	political
power	NN	power
.	SENT	.
<p>
This	DT	this
apartheid	NN	apartheid
situation	NN	situation
could	MD	could
not	RB	not
exist	VB	exist
forever	RB	forever
.	SENT	.
There	EX	there
is	VBZ	be
a	DT	a
story	NN	story
how	WRB	how
Moshe	NP	Moshe
Dayan	NP	Dayan
,	,	,
who	WP	who
was	VBD	be
chief	JJ	chief
of	IN	of
staff	NN	staff
of	IN	of
the	DT	the
Israel	NP	Israel
Defense	NP	Defense
Forces	NPS	Forces
,	,	,
foretold	VBD	foretell
the	DT	the
impossibility	NN	impossibility
of	IN	of
this	DT	this
situation	NN	situation
.	SENT	.
<p>
It	PP	it
was	VBD	be
said	VBD	say
that	IN	that
in	IN	in
April	NP	April
1956	CD	@card@
,	,	,
Dayan	NP	Dayan
visited	VBD	visit
a	DT	a
Jewish	JJ	Jewish
settlement	NN	settlement
near	IN	near
the	DT	the
border	NN	border
of	IN	of
Gaza	NP	Gaza
to	TO	to
attend	VB	attend
the	DT	the
funeral	NN	funeral
of	IN	of
21-year-old	JJ	21-year-old
Roi	NP	Roi
Rotberg	NP	Rotberg
who	WP	who
had	VBD	have
been	VBN	be
murdered	VBN	murder
the	DT	the
previous	JJ	previous
morning	NN	morning
by	IN	by
Palestinians	NPS	Palestinians
while	IN	while
he	PP	he
was	VBD	be
patrolling	VBG	patrol
the	DT	the
fields	NNS	field
.	SENT	.
The	DT	the
result	NN	result
was	VBD	be
nationwide	JJ	nationwide
shock	NN	shock
and	CC	and
agony	NN	agony
.	SENT	.
In	IN	in
his	PP$	his
eulogy	NN	eulogy
,	,	,
Dayan	NP	Dayan
did	VBD	do
not	RB	not
attack	VB	attack
the	DT	the
horrible	JJ	horrible
cruelty	NN	cruelty
of	IN	of
Rotberg	NP	Rotberg
'	POS	'
s	NN	S
killers	NNS	killer
.	SENT	.
<p>
The	DT	the
eulogy	NN	eulogy
of	IN	of
Dayan	NP	Dayan
was	VBD	be
remarkably	RB	remarkably
sympathetic	JJ	sympathetic
towards	IN	towards
the	DT	the
Palestinian	JJ	Palestinian
perpetrators	NNS	perpetrator
.	SENT	.
He	PP	he
said	VBD	say
:	:	:
"	``	"
Let	VB	let
us	PP	us
not	RB	not
cast	VBD	cast
blame	NN	blame
on	IN	on
the	DT	the
murderers	NNS	murderer
.	SENT	.
For	IN	for
eight	CD	eight
years	NNS	year
,	,	,
they	PP	they
have	VBP	have
been	VBN	be
sitting	VBG	sit
in	IN	in
the	DT	the
refugee	NN	refugee
camps	NNS	camp
in	IN	in
Gaza	NP	Gaza
and	CC	and
before	IN	before
their	PP$	their
eyes	NNS	eye
,	,	,
we	PP	we
have	VBP	have
been	VBN	be
transforming	VBG	transform
the	DT	the
lands	NNS	land
and	CC	and
the	DT	the
villages	NNS	village
where	WRB	where
they	PP	they
and	CC	and
their	PP$	their
fathers	NNS	father
dwelt	VBN	dwell
into	IN	into
our	PP$	our
estate	NN	estate
.	SENT	.
"	''	"
Dayan	NP	Dayan
was	VBD	be
not	RB	not
a	DT	a
supporter	NN	supporter
of	IN	of
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
he	PP	he
realized	VBD	realize
that	IN	that
the	DT	the
Palestinians	NPS	Palestinians
would	MD	would
never	RB	never
forget	VB	forget
the	DT	the
1948	CD	@card@
war	NN	war
where	WRB	where
the	DT	the
majority	NN	majority
of	IN	of
Palestinian	JJ	Palestinian
Arabs	NPS	Arabs
were	VBD	be
driven	VBN	drive
into	IN	into
exile	NN	exile
by	IN	by
the	DT	the
victory	NN	victory
of	IN	of
the	DT	the
Jews	NPS	Jews
.	SENT	.
Many	JJ	many
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
Arabs	NPS	Arabs
were	VBD	be
forcibly	RB	forcibly
relocated	VBN	relocate
to	TO	to
Gaza	NP	Gaza
,	,	,
including	VBG	include
residents	NNS	resident
of	IN	of
communities	NNS	community
that	WDT	that
eventually	RB	eventually
became	VBD	become
Jewish	JJ	Jewish
towns	NNS	town
and	CC	and
villages	NNS	village
.	SENT	.
<p>
Dayan	NP	Dayan
also	RB	also
said	VBD	say
in	IN	in
his	PP$	his
eulogy	NN	eulogy
that	IN	that
the	DT	the
Palestinians	NPS	Palestinians
would	MD	would
never	RB	never
stop	VB	stop
dreaming	VBG	dream
of	IN	of
returning	VBG	return
to	TO	to
their	PP$	their
homes	NNS	home
.	SENT	.
He	PP	he
said	VBD	say
,	,	,
"	``	"
Let	VB	let
us	PP	us
not	RB	not
be	VB	be
deterred	VBN	deter
from	IN	from
seeing	VBG	see
the	DT	the
loathing	NN	loathing
that	WDT	that
is	VBZ	be
inflaming	VBG	inflame
and	CC	and
filling	VBG	fill
the	DT	the
lives	NNS	life
of	IN	of
hundreds	NNS	hundred
of	IN	of
thousands	NNS	thousand
of	IN	of
Arabs	NNS	Arab
living	VBG	live
around	IN	around
us	PP	us
.	SENT	.
"	``	"
<p>
These	DT	these
words	NNS	word
seem	VBP	seem
to	TO	to
foretell	VB	foretell
the	DT	the
conflict	NN	conflict
that	WDT	that
has	VBZ	have
led	VBN	lead
to	TO	to
thousands	NNS	thousand
of	IN	of
civilians	NNS	civilian
,	,	,
including	VBG	include
children	NNS	child
and	CC	and
babies	NNS	baby
,	,	,
to	TO	to
suffer	VB	suffer
horrible	JJ	horrible
death	NN	death
and	CC	and
deprivation	NN	deprivation
.	SENT	.
<p>
Today	NN	today
,	,	,
this	DT	this
conflict	NN	conflict
has	VBZ	have
been	VBN	be
exacerbated	VBN	exacerbate
by	IN	by
the	DT	the
fact	NN	fact
that	IN	that
the	DT	the
Israel	NP	Israel
government	NN	government
is	VBZ	be
led	VBN	lead
by	IN	by
Netanyahu	NP	<unknown>
,	,	,
whose	WP$	whose
extreme	JJ	extreme
rightist	JJ	rightist
government	NN	government
believes	VBZ	believe
that	IN	that
Israel	NP	Israel
can	MD	can
thrive	VB	thrive
without	IN	without
addressing	VBG	address
the	DT	the
Palestinian	JJ	Palestinian
issue	NN	issue
.	SENT	.
For	IN	for
Netanyahu	NP	<unknown>
,	,	,
who	WP	who
was	VBD	be
facing	VBG	face
trial	NN	trial
,	,	,
the	DT	the
conflict	NN	conflict
in	IN	in
Gaza	NP	Gaza
has	VBZ	have
given	VBN	give
him	PP	him
reason	VBP	reason
to	TO	to
avoid	VB	avoid
any	DT	any
election	NN	election
where	WRB	where
he	PP	he
is	VBZ	be
forecast	VBN	forecast
to	TO	to
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
ongoing	JJ	ongoing
war	NN	war
,	,	,
is	VBZ	be
what	WP	what
is	VBZ	be
the	DT	the
final	JJ	final
solution	NN	solution
to	TO	to
end	VB	end
the	DT	the
Israel-Palestinian	JJ	Israel-Palestinian
conflict	NN	conflict
to	TO	to
ensure	VB	ensure
lasting	JJ	lasting
peace	NN	peace
.	SENT	.
The	DT	the
American	JJ	American
solution	NN	solution
is	VBZ	be
for	IN	for
two	CD	two
states	NNS	state
,	,	,
both	CC	both
independent	JJ	independent
and	CC	and
existing	JJ	existing
side	NN	side
by	IN	by
side	NN	side
peacefully	RB	peacefully
without	IN	without
any	DT	any
conflict	NN	conflict
.	SENT	.
This	DT	this
so-called	JJ	so-called
two-state	NN	two-state
solution	NN	solution
assumes	VBZ	assume
that	IN	that
the	DT	the
two	CD	two
peoples	NNS	people
can	MD	can
still	RB	still
manage	VB	manage
to	TO	to
co-exist	NN	<unknown>
peacefully	RB	peacefully
.	SENT	.
The	DT	the
other	JJ	other
assumption	NN	assumption
is	VBZ	be
that	IN	that
the	DT	the
Jews	NPS	Jews
will	MD	will
still	RB	still
be	VB	be
able	JJ	able
to	TO	to
stop	VB	stop
encroaching	VBG	encroach
on	IN	on
Arab	JJ	Arab
land	NN	land
,	,	,
and	CC	and
the	DT	the
Palestinian	JJ	Palestinian
Arabs	NNS	Arab
will	MD	will
give	VB	give
up	RP	up
all	PDT	all
their	PP$	their
hopes	NNS	hope
of	IN	of
returning	VBG	return
to	TO	to
their	PP$	their
homeland	NN	homeland
.	SENT	.
<p>
The	DT	the
Israelis	NPS	Israelis
should	MD	should
learn	VB	learn
from	IN	from
the	DT	the
warning	NN	warning
of	IN	of
Moshe	NP	Moshe
Dayan	NP	Dayan
and	CC	and
stop	VB	stop
being	VBG	be
deaf	JJ	deaf
to	TO	to
new	JJ	new
suggestions	NNS	suggestion
of	IN	of
peace	NN	peace
.	SENT	.
<p>
*	SYM	*
*	SYM	*
*	SYM	*
<p>
Write	VB	write
with	IN	with
us	PP	us
this	DT	this
summer	NN	summer
!	SENT	!
The	DT	the
annual	JJ	annual
Creative	JJ	creative
Writing	VBG	write
Workshop	NN	workshop
of	IN	of
Write	NN	write
Things	NNS	thing
is	VBZ	be
scheduled	VBN	schedule
on	IN	on
May	NP	May
20	CD	@card@
,	,	,
22	CD	@card@
,	,	,
24	CD	@card@
,	,	,
27	CD	@card@
,	,	,
29	CD	@card@
,	,	,
31	CD	@card@
from	IN	from
3-5	CD	@card@
pm	NN	pm
.	SENT	.
It	PP	it
will	MD	will
be	VB	be
a	DT	a
six-day	JJ	six-day
hybrid	JJ	hybrid
workshop	NN	workshop
for	IN	for
kids	NNS	kid
and	CC	and
teens	NNS	teen
at	IN	at
Fully	RB	fully
Booked	VBN	book
BGC	NP	BGC
and	CC	and
via	IN	via
Zoom	NN	zoom
.	SENT	.
For	IN	for
inquiries	NNS	inquiry
:	:	:
email	NN	<unknown>
protected	VBD	protect
<p>
The	DT	the
Asian	JJ	Asian
Development	NP	Development
Bank	NP	Bank
has	VBZ	have
trimmed	VBN	trim
its	PP$	its
growth	NN	growth
forecast	NN	forecast
for	IN	for
the	DT	the
Philippines	NPS	Philippine
for	IN	for
this	DT	this
year	NN	year
,	,	,
citing	VBG	cite
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
inflation	NN	inflation
and	CC	and
the	DT	the
slower	JJR	slow
growth	NN	growth
in	IN	in
advanced	JJ	advanced
economies	NNS	economy
.	SENT	.
