<h>
Just	RB	just
arrested	VBN	arrest
and	CC	and
a	DT	a
case	NN	case
has	VBZ	have
been	VBN	be
registered	VBN	register
.	SENT	.
Further	JJR	further
investigation	NN	investigation
is	VBZ	be
underway	JJ	underway
,	,	,
"	''	"
ARY	NP	Ary
News	NP	News
quoted	VBD	quote
a	DT	a
police	NN	police
official	NN	official
as	IN	as
saying	VBG	say
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
In	IN	in
<h>
Israel	NP	Israel
Defence	NN	defence
Forces	NNS	force
hit	VBD	hit
200	CD	@card@
Hamas	JJ	<unknown>
sites	NNS	site
in	IN	in
past	JJ	past
day	NN	day
<h>
Israel	NP	Israel
Defence	NN	defence
Forces	NP	Forces
(	(	(
IDF	NP	IDF
)	)	)
have	VBP	have
carried	VBN	carry
out	RP	out
strikes	NNS	strike
against	IN	against
some	DT	some
200	CD	@card@
Hamas	JJ	<unknown>
sites	NNS	site
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
over	IN	over
the	DT	the
past	JJ	past
day	NN	day
,	,	,
according	VBG	accord
to	TO	to
The	DT	the
Times	NP	Times
of	IN	of
Israel	NP	Israel
.	SENT	.
<p>
Israel	NP	Israel
Defence	NN	defence
Forces	NP	Forces
(	(	(
IDF	NP	IDF
)	)	)
have	VBP	have
carried	VBN	carry
out	RP	out
strikes	NNS	strike
against	IN	against
some	DT	some
200	CD	@card@
Hamas	JJ	<unknown>
sites	NNS	site
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
over	IN	over
the	DT	the
past	JJ	past
day	NN	day
,	,	,
according	VBG	accord
to	TO	to
The	DT	the
Times	NP	Times
of	IN	of
Israel	NP	Israel
.	SENT	.
The	DT	the
IDF	NP	IDF
further	RBR	further
said	VBD	say
that	IN	that
they	PP	they
have	VBP	have
also	RB	also
raided	VBN	raid
a	DT	a
building	NN	building
near	IN	near
the	DT	the
United	NP	United
Nations	NPS	Nations
Relief	NP	Relief
and	CC	and
Works	NP	Works
Agency	NP	Agency
for	IN	for
Palestine	NP	Palestine
Refugees	NNS	refugee
in	IN	in
the	DT	the
Near	NP	Near
East	NP	East
(	(	(
UNRWA	NP	<unknown>
)	)	)
school	NN	school
and	CC	and
found	VBD	find
machinery	NN	machinery
used	VBN	use
to	TO	to
build	VB	build
rockets	NNS	rocket
to	TO	to
attack	VB	attack
Israel	NP	Israel
.	SENT	.
<p>
Moreover	RB	moreover
,	,	,
they	PP	they
also	RB	also
found	VBD	find
three	CD	three
tunnel	NN	tunnel
shafts	NNS	shaft
in	IN	in
the	DT	the
area	NN	area
near	IN	near
the	DT	the
school	NN	school
,	,	,
reported	VBD	report
The	DT	the
Times	NP	Times
of	IN	of
Israel	NP	Israel
.	SENT	.
They	PP	they
further	RBR	further
said	VBD	say
that	IN	that
the	DT	the
Paratroopers	NNS	paratrooper
Brigade	NN	brigade
raided	VBD	raid
several	JJ	several
apartments	NNS	apartment
used	VBN	use
by	IN	by
Hamas	NP	<unknown>
in	IN	in
Gaza	NP	Gaza
City	NP	City
'	POS	'
s	JJ	<unknown>
Shejaiya	NP	<unknown>
and	CC	and
found	VBN	find
firearms	NNS	firearm
,	,	,
explosive	JJ	explosive
devices	NNS	device
,	,	,
and	CC	and
other	JJ	other
military	JJ	military
equipment	NN	equipment
.	SENT	.
<p>
Additionally	RB	additionally
,	,	,
the	DT	the
IDF	NP	IDF
said	VBD	say
that	IN	that
they	PP	they
discovered	VBD	discover
a	DT	a
15-meter-long	JJ	<unknown>
tunnel	NN	tunnel
,	,	,
which	WDT	which
was	VBD	be
later	RBR	later
destroyed	VBN	destroy
in	IN	in
an	DT	an
airstrike	NN	airstrike
.	SENT	.
Meanwhile	RB	meanwhile
,	,	,
in	IN	in
southern	JJ	southern
Gaza	NP	Gaza
,	,	,
the	DT	the
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
a	DT	a
Hamas	JJ	<unknown>
weapons	NNS	weapon
depot	NN	depot
in	IN	in
the	DT	the
home	NN	home
of	IN	of
an	DT	an
operative	NN	operative
.	SENT	.
<p>
According	VBG	accord
to	TO	to
the	DT	the
IDF	NP	IDF
,	,	,
the	DT	the
"	``	"
significant	JJ	significant
"	''	"
depot	NN	depot
was	VBD	be
used	VBN	use
by	IN	by
operatives	NNS	operative
in	IN	in
the	DT	the
area	NN	area
to	TO	to
rearm	VB	rearm
,	,	,
The	DT	the
Times	NP	Times
of	IN	of
Israel	NP	Israel
reported	VBD	report
.	SENT	.
Later	RBR	later
,	,	,
the	DT	the
Commando	NN	commando
Brigade	NN	brigade
also	RB	also
identified	VBD	identify
seven	CD	seven
armed	JJ	armed
Hamas	JJ	<unknown>
operatives	NNS	operative
in	IN	in
the	DT	the
Khan	NP	Khan
Younis	NP	Younis
area	NN	area
and	CC	and
directed	VBN	direct
airstrikes	NNS	airstrike
at	IN	at
them	PP	them
.	SENT	.
<p>
Moreover	RB	moreover
,	,	,
the	DT	the
soldiers	NNS	soldier
of	IN	of
the	DT	the
Nahal	NP	<unknown>
Infantry	NN	infantry
Brigade	NN	brigade
'	POS	'
s	JJ	<unknown>
931st	NN	<unknown>
Battalion	NN	battalion
also	RB	also
uncovered	VBD	uncover
a	DT	a
Hamas	JJ	<unknown>
tunnel	NN	tunnel
hidden	VBN	hide
underneath	IN	underneath
a	DT	a
baby	NN	baby
'	POS	'
s	JJ	<unknown>
crib	NN	crib
in	IN	in
a	DT	a
home	NN	home
in	IN	in
northern	JJ	northern
Gaza	NP	Gaza
'	POS	'
s	JJ	<unknown>
Jabaliya	NP	<unknown>
,	,	,
according	VBG	accord
to	TO	to
the	DT	the
IDF	NP	IDF
.	SENT	.
The	DT	the
IDF	NP	IDF
emphasised	VBD	emphasise
that	IN	that
the	DT	the
underground	JJ	underground
passage	NN	passage
is	VBZ	be
a	DT	a
"	``	"
strategic	JJ	strategic
"	''	"
Hamas	NN	<unknown>
attack	NN	attack
tunnel	NN	tunnel
.	SENT	.
