<h>
Senior	JJ	Senior
children	NNS	child
,	,	,
according	VBG	accord
to	TO	to
the	DT	the
Hamas-run	JJ	<unknown>
territory	NN	territory
'	POS	'
s	NN	S
Health	NP	Health
Ministry	NP	Ministry
,	,	,
which	WDT	which
does	VBZ	do
not	RB	not
differentiate	VB	differentiate
between	IN	between
civilian	JJ	civilian
and	CC	and
combatant	JJ	combatant
deaths	NNS	death
.	SENT	.
<p>
The	DT	the
UN	NP	UN
facilities	NNS	facility
hit	VBD	hit
"	``	"
directly	RB	directly
or	CC	or
indirectly	RB	indirectly
"	``	"
in	IN	in
Gaza	NP	Gaza
include	VBP	include
sites	NNS	site
that	WDT	that
have	VBP	have
been	VBN	be
sheltering	VBG	shelter
civilians	NNS	civilian
,	,	,
Lazzarini	NP	<unknown>
said	VBD	say
.	SENT	.
UNRWA	NP	<unknown>
has	VBZ	have
said	VBN	say
that	IN	that
more	JJR	more
than	IN	than
220	CD	@card@
Palestinians	NPS	Palestinians
were	VBD	be
killed	VBN	kill
in	IN	in
such	JJ	such
strikes	NNS	strike
,	,	,
and	CC	and
that	IN	that
130	CD	@card@
of	IN	of
its	PP$	its
employees	NNS	employee
also	RB	also
lost	VBD	lose
their	PP$	their
lives	NNS	life
in	IN	in
the	DT	the
war	NN	war
.	SENT	.
<p>
"	``	"
There	EX	there
is	VBZ	be
absolutely	RB	absolutely
no	DT	no
safe	JJ	safe
place	NN	place
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
,	,	,
"	''	"
Lazzarini	NP	<unknown>
said	VBD	say
,	,	,
speaking	VBG	speak
to	TO	to
the	DT	the
AP	NP	AP
in	IN	in
Beirut	NP	Beirut
.	SENT	.
<p>
While	IN	while
the	DT	the
circumstances	NNS	circumstance
of	IN	of
those	DT	those
strikes	NNS	strike
are	VBP	be
difficult	JJ	difficult
to	TO	to
investigate	VB	investigate
amid	IN	amid
the	DT	the
ongoing	JJ	ongoing
conflict	NN	conflict
,	,	,
he	PP	he
said	VBD	say
,	,	,
"	``	"
I	PP	I
do	VBP	do
believe	VB	believe
that	IN	that
the	DT	the
blatant	JJ	blatant
disregard	NN	disregard
of	IN	of
UN	NP	UN
premises	NNS	premise
...	:	...
will	MD	will
require	VB	require
an	DT	an
independent	JJ	independent
investigation	NN	investigation
in	IN	in
the	DT	the
future	NN	future
.	SENT	.
"	''	"
<p>
Israeli	JJ	Israeli
officials	NNS	official
have	VBP	have
said	VBN	say
they	PP	they
do	VBP	do
n't	RB	n't
target	VB	target
UN	NP	UN
facilities	NNS	facility
,	,	,
but	CC	but
have	VBP	have
also	RB	also
accused	VBN	accuse
Hamas	NNS	<unknown>
of	IN	of
using	VBG	use
UN	NP	UN
buildings	NNS	building
for	IN	for
cover	NN	cover
for	IN	for
its	PP$	its
military	JJ	military
activities	NNS	activity
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
over	IN	over
80	CD	@card@
percent	NN	percent
of	IN	of
Gaza	NP	Gaza
'	POS	'
s	NN	S
population	NN	population
--	:	--
have	VBP	have
fled	VBN	flee
their	PP$	their
homes	NNS	home
.	SENT	.
UN-run	JJ	<unknown>
shelters	NNS	shelter
currently	RB	currently
house	VBP	house
more	JJR	more
than	IN	than
1	CD	@card@
million	CD	million
displaced	VBN	displace
in	IN	in
"	``	"
totally	RB	totally
overcrowded	VBN	overcrowd
,	,	,
appalling	JJ	appalling
sanitary	JJ	sanitary
conditions	NNS	condition
,	,	,
"	''	"
Lazzarini	NP	<unknown>
said	VBD	say
.	SENT	.
<p>
When	WRB	when
he	PP	he
visited	VBD	visit
Gaza	NP	Gaza
shortly	RB	shortly
before	IN	before
a	DT	a
seven-day	JJ	seven-day
cease-fire	NN	cease-fire
ended	VBD	end
last	JJ	last
week	NN	week
,	,	,
shelters	NNS	shelter
were	VBD	be
already	RB	already
overcrowded	VBN	overcrowd
with	IN	with
those	DT	those
who	WP	who
had	VBD	have
fled	VBN	flee
heavy	JJ	heavy
fighting	NN	fighting
in	IN	in
the	DT	the
northern	JJ	northern
half	NN	half
of	IN	of
the	DT	the
territory	NN	territory
,	,	,
he	PP	he
said	VBD	say
.	SENT	.
As	IN	as
the	DT	the
Israeli	JJ	Israeli
ground	NN	ground
offensive	NN	offensive
pushed	VBN	push
into	IN	into
the	DT	the
southern	JJ	southern
part	NN	part
of	IN	of
the	DT	the
strip	NN	strip
,	,	,
civilians	NNS	civilian
have	VBP	have
been	VBN	be
forced	VBN	force
into	IN	into
ever	RB	ever
smaller	JJR	small
areas	NNS	area
along	IN	along
the	DT	the
closed-off	JJ	closed-off
border	NN	border
with	IN	with
Egypt	NP	Egypt
.	SENT	.
<p>
Lazzarini	NP	<unknown>
said	VBD	say
UNRWA	NP	<unknown>
is	VBZ	be
focusing	VBG	focus
on	IN	on
improving	VBG	improve
conditions	NNS	condition
in	IN	in
existing	VBG	exist
shelters	NNS	shelter
,	,	,
including	VBG	include
its	PP$	its
network	NN	network
of	IN	of
schools	NNS	school
across	IN	across
Gaza	NP	Gaza
.	SENT	.
<p>
"	``	"
We	PP	we
do	VBP	do
not	RB	not
want	VB	want
to	TO	to
put	VB	put
the	DT	the
people	NNS	people
in	IN	in
places	NNS	place
which	WDT	which
are	VBP	be
not	RB	not
necessarily	RB	necessarily
safer	JJR	safe
,	,	,
when	WRB	when
at	IN	at
the	DT	the
same	JJ	same
time	NN	time
,	,	,
you	PP	you
have	VBP	have
more	JJR	more
than	IN	than
1	CD	@card@
million	CD	million
people	NNS	people
in	IN	in
existing	JJ	existing
shelters	NNS	shelter
living	VBG	live
in	IN	in
appalling	JJ	appalling
conditions	NNS	condition
,	,	,
"	''	"
he	PP	he
said	VBD	say
.	SENT	.
<p>
Lt.	NP	Lt.
Col.	NP	Col.
Richard	NP	Richard
Hecht	NP	Hecht
,	,	,
an	DT	an
Israeli	JJ	Israeli
military	JJ	military
spokesman	NN	spokesman
,	,	,
alleged	VBN	allege
earlier	RBR	earlier
this	DT	this
week	NN	week
that	IN	that
"	``	"
there	EX	there
should	MD	should
be	VB	be
pressure	NN	pressure
on	IN	on
"	``	"
UNRWA	NP	<unknown>
to	TO	to
set	NN	set
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
expects	VBZ	expect
that	IN	that
the	DT	the
small	JJ	small
area	NN	area
would	MD	would
accommodate	VB	accommodate
such	JJ	such
large	JJ	large
numbers	NNS	number
of	IN	of
displaced	VBN	displace
people	NNS	people
.	SENT	.
<p>
Lazzarini	NP	<unknown>
called	VBD	call
for	IN	for
a	DT	a
new	JJ	new
cease-fire	NN	cease-fire
and	CC	and
for	IN	for
opening	VBG	open
more	JJR	more
border	NN	border
crossings	NNS	crossing
to	TO	to
allow	VB	allow
aid	NN	aid
and	CC	and
commercial	JJ	commercial
goods	NNS	good
to	TO	to
enter	VB	enter
Gaza	NP	Gaza
.	SENT	.
Currently	RB	currently
,	,	,
aid	NN	aid
can	MD	can
only	RB	only
enter	VB	enter
the	DT	the
strip	NN	strip
from	IN	from
Egypt	NP	Egypt
via	IN	via
the	DT	the
Rafah	NP	<unknown>
border	NN	border
crossing	NN	crossing
,	,	,
causing	VBG	cause
severe	JJ	severe
bottlenecks	NNS	bottleneck
.	SENT	.
<p>
The	DT	the
refugee	NN	refugee
agency	NN	agency
'	POS	'
s	JJ	<unknown>
relationship	NN	relationship
with	IN	with
Israeli	JJ	Israeli
authorities	NNS	authority
has	VBZ	have
in	IN	in
the	DT	the
past	NN	past
been	VBN	be
adversarial	NN	adversarial
at	IN	at
times	NNS	time
,	,	,
with	IN	with
right-wing	JJ	right-wing
Israeli	JJ	Israeli
politicians	NNS	politician
accusing	VBG	accuse
UNRWA	NP	<unknown>
,	,	,
which	WDT	which
was	VBD	be
founded	VBN	found
in	IN	in
the	DT	the
wake	NN	wake
of	IN	of
the	DT	the
creation	NN	creation
of	IN	of
Israel	NP	Israel
in	IN	in
1948	CD	@card@
to	TO	to
serve	VB	serve
hundreds	NNS	hundred
of	IN	of
thousands	NNS	thousand
of	IN	of
Palestinians	NPS	Palestinians
who	WP	who
fled	VBD	flee
or	CC	or
were	VBD	be
forced	VBN	force
from	IN	from
their	PP$	their
homes	NNS	home
,	,	,
of	IN	of
helping	VBG	help
perpetuating	VBG	perpetuate
the	DT	the
Israeli-Palestinian	JJ	Israeli-Palestinian
conflict	NN	conflict
.	SENT	.
<p>
UNRWA	NP	<unknown>
has	VBZ	have
pushed	VBN	push
back	RB	back
against	IN	against
such	JJ	such
claims	NNS	claim
,	,	,
saying	VBG	say
it	PP	it
is	VBZ	be
simply	RB	simply
carrying	VBG	carry
out	RP	out
its	PP$	its
mandate	NN	mandate
to	TO	to
serve	VB	serve
a	DT	a
vulnerable	JJ	vulnerable
population	NN	population
.	SENT	.
<p>
Lazzarini	NP	<unknown>
said	VBD	say
that	IN	that
in	IN	in
the	DT	the
current	JJ	current
Israel-Hamas	JJ	<unknown>
war	NN	war
,	,	,
UNRWA	NP	<unknown>
is	VBZ	be
in	IN	in
"	``	"
constant	JJ	constant
coordination	NN	coordination
"	''	"
with	IN	with
Israeli	JJ	Israeli
authorities	NNS	authority
.	SENT	.
Post-war	JJ	post-war
,	,	,
he	PP	he
said	VBD	say
,	,	,
the	DT	the
agency	NN	agency
is	VBZ	be
prepared	VBN	prepare
to	TO	to
assist	VB	assist
whatever	WDT	whatever
body	NN	body
is	VBZ	be
governing	VBG	govern
the	DT	the
strip	NN	strip
in	IN	in
restoring	VBG	restore
services	NNS	service
that	WDT	that
have	VBP	have
halted	VBN	halt
,	,	,
including	VBG	include
reopening	VBG	reopen
schools	NNS	school
.	SENT	.
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
trigger	VB	trigger
a	DT	a
political	JJ	political
process	NN	process
that	WDT	that
will	MD	will
lead	VB	lead
to	TO	to
a	DT	a
resolution	NN	resolution
that	WDT	that
would	MD	would
make	VB	make
his	PP$	his
agency	NN	agency
obsolete	JJ	obsolete
.	SENT	.
<p>
"	''	"
Will	MD	will
this	RB	this
become	VB	become
a	DT	a
top	JJ	top
priority	NN	priority
of	IN	of
the	DT	the
region	NN	region
and	CC	and
the	DT	the
international	JJ	international
community	NN	community
that	IN	that
once	RB	once
and	CC	and
for	IN	for
all	DT	all
we	PP	we
address	VBP	address
the	DT	the
longest	JJS	long
unresolved	JJ	unresolved
conflict	NN	conflict
,	,	,
"	''	"
he	PP	he
asked	VBD	ask
.	SENT	.
"	''	"
If	IN	if
yes	RB	yes
,	,	,
there	EX	there
can	MD	can
be	VB	be
a	DT	a
trajectory	NN	trajectory
of	IN	of
hope	NN	hope
for	IN	for
the	DT	the
people	NNS	people
here	RB	here
in	IN	in
the	DT	the
region	NN	region
and	CC	and
the	DT	the
future	NN	future
for	IN	for
UNRWA	NP	<unknown>
in	IN	in
fact	NN	fact
,	,	,
would	MD	would
very	RB	very
much	RB	much
depend	VB	depend
on	IN	on
that	DT	that
.	SENT	.
"	``	"
<p>
The	DT	the
Associated	NP	Associated
Press	NP	Press
writer	NN	writer
Josef	NP	Josef
Federman	NP	Federman
in	IN	in
Jerusalem	NP	Jerusalem
contributed	VBD	contribute
to	TO	to
this	DT	this
report	NN	report
.	SENT	.
