<p>
(	(	(
and	CC	and
water	NN	water
cannon	NN	cannon
.	SENT	.
At	IN	at
least	JJS	least
one	CD	one
policeman	NN	policeman
was	VBD	be
wounded	VBN	wound
and	CC	and
two	CD	two
protestors	NNS	protestor
were	VBD	be
detained	VBN	detain
,	,	,
journalists	NNS	journalist
said	VBD	say
.	SENT	.
"	''	"
Israel	NP	Israel
is	VBZ	be
a	DT	a
criminal	JJ	criminal
state	NN	state
!	SENT	!
"	``	"
the	DT	the
demonstrators	NNS	demonstrator
shouted	VBD	shout
.	SENT	.
<p>
A	DT	a
pro-Palestinian	NP	pro-Palestinian
demonstration	NN	demonstration
drew	VBD	draw
over	IN	over
1,000	CD	@card@
protestors	NNS	protestor
in	IN	in
the	DT	the
German	JJ	German
capital	NN	capital
,	,	,
police	NNS	police
said	VBD	say
.	SENT	.
At	IN	at
the	DT	the
"	``	"
National	NP	National
March	NP	March
for	IN	for
Palestine	NP	Palestine
"	''	"
in	IN	in
London	NP	London
,	,	,
chants	NNS	chant
of	IN	of
"	``	"
stop	VB	stop
bombing	NN	bombing
civilians	NNS	civilian
"	``	"
were	VBD	be
joined	VBN	join
by	IN	by
shouts	NNS	shout
of	IN	of
"	``	"
hands	NNS	hand
off	IN	off
Lebanon	NP	Lebanon
"	''	"
.	SENT	.
<p>
While	IN	while
the	DT	the
rally	NN	rally
in	IN	in
London	NP	London
was	VBD	be
largely	RB	largely
peaceful	JJ	peaceful
,	,	,
at	IN	at
least	JJS	least
15	CD	@card@
people	NNS	people
were	VBD	be
arrested	VBN	arrest
,	,	,
including	VBG	include
three	CD	three
on	IN	on
suspicion	NN	suspicion
of	IN	of
assaulting	VBG	assault
an	DT	an
emergency	NN	emergency
worker	NN	worker
and	CC	and
one	CD	one
on	IN	on
suspicion	NN	suspicion
of	IN	of
supporting	VBG	support
a	DT	a
proscribed	VBN	proscribe
organisation	NN	organisation
.	SENT	.
<p>
In	IN	in
France	NP	France
,	,	,
thousands	NNS	thousand
of	IN	of
people	NNS	people
marched	VBN	march
in	IN	in
Paris	NP	Paris
,	,	,
Lyon	NP	Lyon
,	,	,
Toulouse	NP	Toulouse
,	,	,
Bordeaux	NP	Bordeaux
and	CC	and
Strasbourg	NP	Strasbourg
to	TO	to
express	VB	express
solidarity	NN	solidarity
with	IN	with
Palestinians	NPS	Palestinians
,	,	,
journalists	NNS	journalist
said	VBD	say
.	SENT	.
<p>
Around	IN	around
5,000	CD	@card@
people	NNS	people
joined	VBD	join
a	DT	a
pro-Palestinian	NP	pro-Palestinian
protest	NN	protest
in	IN	in
Madrid	NP	Madrid
,	,	,
brandishing	VBG	brandish
signs	NNS	sign
with	IN	with
messages	NNS	message
such	JJ	such
as	IN	as
"	``	"
Boycott	NN	boycott
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
hundreds	NNS	hundred
of	IN	of
pro-Palestinian	NP	pro-Palestinian
demonstrators	NNS	demonstrator
protested	VBD	protest
outside	IN	outside
the	DT	the
United	NP	United
Nations	NPS	Nations
'	POS	'
s	JJ	<unknown>
headquarters	NN	headquarters
for	IN	for
Venezuela	NP	Venezuela
,	,	,
carrying	VBG	carry
a	DT	a
giant	JJ	giant
Palestinian	JJ	Palestinian
flag	NN	flag
.	SENT	.
They	PP	they
delivered	VBD	deliver
a	DT	a
petition	NN	petition
to	TO	to
the	DT	the
UN	NP	UN
calling	NN	calling
for	IN	for
an	DT	an
end	NN	end
to	TO	to
the	DT	the
"	``	"
genocide	NN	genocide
"	''	"
of	IN	of
the	DT	the
Palestinians	NPS	Palestinians
.	SENT	.
<p>
In	IN	in
Indonesia	NP	Indonesia
,	,	,
more	JJR	more
than	IN	than
a	DT	a
thousand	CD	thousand
people	NNS	people
gathered	VBN	gather
outside	IN	outside
the	DT	the
US	NP	US
embassy	NN	embassy
in	IN	in
Jakarta	NP	Jakarta
for	IN	for
a	DT	a
rally	NN	rally
on	IN	on
Sunday	NP	Sunday
morning	NN	morning
,	,	,
a	DT	a
journalist	NN	journalist
saw	VBD	see
.	SENT	.
<p>
In	IN	in
Australia	NP	Australia
,	,	,
thousands	NNS	thousand
of	IN	of
pro-Palestinian	NP	pro-Palestinian
protestors	NNS	protestor
thronged	VBD	throng
the	DT	the
streets	NNS	street
of	IN	of
Sydney	NP	Sydney
and	CC	and
other	JJ	other
major	JJ	major
Australian	JJ	Australian
cities	NNS	city
,	,	,
holding	VBG	hold
placards	NNS	placard
that	WDT	that
read	VBP	read
"	``	"
stop	NN	stop
arming	NN	arming
Israel	NP	Israel
"	''	"
.	SENT	.
<p>
UN	NP	UN
chief	NN	chief
<p>
The	DT	the
UN	NP	UN
secretary	NN	secretary
general	NN	general
called	VBN	call
for	IN	for
an	DT	an
immediate	JJ	immediate
end	NN	end
to	TO	to
the	DT	the
"	``	"
shocking	JJ	shocking
violence	NN	violence
and	CC	and
bloodshed	NN	bloodshed
"	''	"
in	IN	in
Gaza	NP	Gaza
and	CC	and
Lebanon	NP	Lebanon
in	IN	in
a	DT	a
statement	NN	statement
ahead	RB	ahead
of	IN	of
the	DT	the
anniversary	NN	anniversary
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
group	NN	group
'	POS	'
s	JJ	<unknown>
Oct	NP	Oct
7	CD	@card@
raid	NN	raid
.	SENT	.
<p>
"	``	"
This	DT	this
is	VBZ	be
a	DT	a
day	NN	day
for	IN	for
the	DT	the
global	JJ	global
community	NN	community
to	TO	to
repeat	VB	repeat
in	IN	in
the	DT	the
loudest	JJS	loud
voice	VBP	voice
our	PP$	our
utter	JJ	utter
condemnation	NN	condemnation
of	IN	of
the	DT	the
abhorrent	JJ	abhorrent
acts	NNS	act
of	IN	of
Hamas	NP	<unknown>
,	,	,
including	VBG	include
the	DT	the
taking	NN	taking
of	IN	of
hostages	NNS	hostage
,	,	,
"	''	"
UN	NP	UN
chief	JJ	chief
Antonio	NP	Antonio
Guterres	NP	Guterres
said	VBD	say
in	IN	in
a	DT	a
message	NN	message
released	VBN	release
on	IN	on
Saturday	NP	Saturday
evening	NN	evening
.	SENT	.
