<h>
Just	RB	just
the	DT	the
Jabalia	NP	<unknown>
refugee	NN	refugee
camp	NN	camp
and	CC	and
other	JJ	other
areas	NNS	area
around	IN	around
Gaza	NP	Gaza
City	NP	City
.	SENT	.
Gaza	NP	Gaza
'	POS	'
s	JJ	<unknown>
health	NN	health
ministry	NN	ministry
said	VBD	say
178	CD	@card@
Palestinians	NPS	Palestinians
were	VBD	be
killed	VBN	kill
in	IN	in
the	DT	the
past	JJ	past
24	CD	@card@
hours	NNS	hour
,	,	,
one	CD	one
of	IN	of
the	DT	the
deadliest	JJS	deadly
days	NNS	day
of	IN	of
the	DT	the
war	NN	war
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
killed	VBN	kill
in	IN	in
fighting	VBG	fight
.	SENT	.
<p>
A	DT	a
total	NN	total
of	IN	of
25,105	CD	@card@
Palestinians	NPS	Palestinians
-	NN	<unknown>
many	JJ	many
of	IN	of
them	PP	them
women	NNS	woman
and	CC	and
children	NNS	child
-	NNS	<unknown>
have	VBP	have
been	VBN	be
killed	VBN	kill
and	CC	and
62,681	CD	@card@
have	VBP	have
been	VBN	be
wounded	VBN	wound
in	IN	in
Israeli	JJ	Israeli
strikes	NNS	strike
since	IN	since
Oct.	NP	Oct.
7	CD	@card@
,	,	,
the	DT	the
ministry	NN	ministry
said	VBD	say
in	IN	in
a	DT	a
statement	NN	statement
.	SENT	.
It	PP	it
does	VBZ	do
not	RB	not
differentiate	VB	differentiate
between	IN	between
civilian	JJ	civilian
and	CC	and
militant	JJ	militant
deaths	NNS	death
but	CC	but
says	VBZ	say
most	JJS	most
of	IN	of
those	DT	those
killed	VBN	kill
have	VBP	have
been	VBN	be
civilians	NNS	civilian
.	SENT	.
United	NP	United
Nations	NPS	Nations
Secretary-General	NP	Secretary-General
Ant	NN	ant
?	SENT	?
nio	NP	nio
Guterres	NP	Guterres
on	IN	on
Sunday	NP	Sunday
denounced	VBD	denounce
Israel	NP	Israel
for	IN	for
what	WP	what
he	PP	he
called	VBD	call
the	DT	the
"	``	"
heartbreaking	JJ	heartbreaking
"	''	"
deaths	NNS	death
of	IN	of
Palestinian	JJ	Palestinian
civilians	NNS	civilian
in	IN	in
Gaza	NP	Gaza
.	SENT	.
<p>
"	''	"
Israel	NP	Israel
'	POS	'
s	JJ	<unknown>
military	JJ	military
operations	NNS	operation
have	VBP	have
spread	VBN	spread
mass	JJ	mass
destruction	NN	destruction
and	CC	and
killed	VBN	kill
civilians	NNS	civilian
on	IN	on
a	DT	a
scale	NN	scale
unprecedented	JJ	unprecedented
during	IN	during
my	PP$	my
time	NN	time
as	IN	as
secretary-general	NN	secretary-general
,	,	,
"	''	"
Guterres	NP	Guterres
said	VBD	say
at	IN	at
a	DT	a
summit	NN	summit
in	IN	in
the	DT	the
Ugandan	JJ	Ugandan
capital	NN	capital
Kampala	NP	Kampala
.	SENT	.
Israel	NP	Israel
unleashed	VBD	unleash
its	PP$	its
campaign	NN	campaign
to	TO	to
eliminate	VB	eliminate
Hamas	NNS	<unknown>
after	IN	after
militants	NNS	militant
burst	VBN	burst
into	IN	into
Israel	NP	Israel
on	IN	on
Oct.	NP	Oct.
7	CD	@card@
and	CC	and
rampaged	VBN	rampage
through	IN	through
southern	JJ	southern
towns	NNS	town
and	CC	and
bases	NNS	base
,	,	,
killing	VBG	kill
1,200	CD	@card@
people	NNS	people
,	,	,
most	JJS	most
of	IN	of
them	PP	them
civilians	NNS	civilian
,	,	,
and	CC	and
taking	VBG	take
253	CD	@card@
hostages	NNS	hostage
back	RB	back
to	TO	to
the	DT	the
enclave	NN	enclave
.	SENT	.
It	PP	it
says	VBZ	say
it	PP	it
is	VBZ	be
fighting	VBG	fight
a	DT	a
threat	NN	threat
to	TO	to
its	PP$	its
very	JJ	very
existence	NN	existence
.	SENT	.
<p>
Despite	IN	despite
the	DT	the
huge	JJ	huge
death	NN	death
toll	NN	toll
,	,	,
the	DT	the
Israeli	JJ	Israeli
military	NN	military
has	VBZ	have
said	VBN	say
it	PP	it
takes	VBZ	take
steps	NNS	step
to	TO	to
avoid	VB	avoid
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
populated	JJ	populated
areas	NNS	area
and	CC	and
using	VBG	use
civilians	NNS	civilian
as	IN	as
human	JJ	human
shields	NNS	shield
,	,	,
a	DT	a
charge	NN	charge
the	DT	the
Islamist	NN	<unknown>
group	NN	group
denies	VBZ	deny
.	SENT	.
Most	JJS	most
of	IN	of
the	DT	the
enclave	NN	enclave
'	POS	'
s	NN	S
2.3	CD	@card@
million	CD	million
people	NNS	people
have	VBP	have
been	VBN	be
displaced	VBN	displace
from	IN	from
their	PP$	their
homes	NNS	home
.	SENT	.
With	IN	with
large	JJ	large
areas	NNS	area
of	IN	of
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
razed	VBD	raze
to	TO	to
the	DT	the
ground	NN	ground
and	CC	and
hospitals	NNS	hospital
and	CC	and
humanitarian	JJ	humanitarian
agencies	NNS	agency
struggling	VBG	struggle
to	TO	to
cope	VB	cope
,	,	,
Palestinian	NP	Palestinian
described	VBD	describe
dire	JJ	dire
conditions	NNS	condition
.	SENT	.
<p>
"	``	"
We	PP	we
struggle	VBP	struggle
to	TO	to
survive	VB	survive
bombs	NNS	bomb
,	,	,
but	CC	but
frankly	RB	frankly
we	PP	we
try	VBP	try
to	TO	to
survive	VB	survive
hunger	NN	hunger
more	RBR	more
.	SENT	.
Finding	VBG	find
food	NN	food
for	IN	for
the	DT	the
family	NN	family
,	,	,
for	IN	for
the	DT	the
children	NNS	child
,	,	,
has	VBZ	have
become	VBN	become
a	DT	a
more	RBR	more
challenging	JJ	challenging
adventure	NN	adventure
than	IN	than
surviving	VBG	survive
war	NN	war
,	,	,
"	''	"
Amer	NP	Amer
,	,	,
32	CD	@card@
,	,	,
a	DT	a
father	NN	father
of	IN	of
three	CD	three
from	IN	from
northern	JJ	northern
Gaza	NP	Gaza
,	,	,
told	VBD	tell
Reuters	NP	Reuters
.	SENT	.
The	DT	the
price	NN	price
of	IN	of
flour	NN	flour
,	,	,
for	IN	for
example	NN	example
,	,	,
has	VBZ	have
surged	VBN	surge
along	RP	along
with	IN	with
other	JJ	other
food	NN	food
items	NNS	item
that	WDT	that
are	VBP	be
hard	JJ	hard
to	TO	to
come	VB	come
by	IN	by
in	IN	in
the	DT	the
already	RB	already
impoverished	JJ	impoverished
territory	NN	territory
.	SENT	.
<p>
"	''	"
Amid	IN	amid
the	DT	the
famine	NN	famine
threatening	VBG	threaten
residents	NNS	resident
of	IN	of
northern	JJ	northern
Gaza	NP	Gaza
,	,	,
the	DT	the
people	NNS	people
began	VBD	begin
to	TO	to
grind	VB	grind
what	WP	what
is	VBZ	be
available	JJ	available
to	TO	to
make	VB	make
flour	NN	flour
,	,	,
starting	VBG	start
with	IN	with
corn	NN	corn
and	CC	and
reaching	VBG	reach
to	TO	to
animal	JJ	animal
food	NN	food
,	,	,
"	''	"
Anas	NNS	ana
Al-Sharif	NP	Al-Sharif
,	,	,
a	DT	a
Palestinian	JJ	Palestinian
freelance	NN	freelance
journalist	NN	journalist
reporting	VBG	report
from	IN	from
northern	JJ	northern
Gaza	NP	Gaza
,	,	,
posted	VBD	post
on	IN	on
X.	NP	X.
DIN	NN	din
OF	IN	of
BATTLE	NN	battle
<p>
Israel	NP	Israel
'	POS	'
s	NNS	<unknown>
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
fighting	VBG	fight
in	IN	in
the	DT	the
north	NN	north
while	IN	while
snipers	NNS	sniper
,	,	,
backed	VBN	back
by	IN	by
air	NN	air
support	NN	support
,	,	,
had	VBD	have
killed	VBN	kill
a	DT	a
number	NN	number
of	IN	of
militants	NNS	militant
in	IN	in
Khan	NP	Khan
Younis	NP	Younis
.	SENT	.
Hamas	JJ	<unknown>
official	NN	official
Sami	NP	Sami
Abu	NP	Abu
Zuhri	NP	<unknown>
dismissed	VBD	dismiss
the	DT	the
Israeli	JJ	Israeli
account	NN	account
and	CC	and
the	DT	the
reported	VBN	report
death	NN	death
toll	NN	toll
.	SENT	.
<p>
Palestinians	NPS	Palestinians
said	VBD	say
fierce	JJ	fierce
fighting	NN	fighting
has	VBZ	have
raged	VBN	rage
in	IN	in
Jabalia	NP	<unknown>
for	IN	for
the	DT	the
past	JJ	past
three	CD	three
days	NNS	day
.	SENT	.
The	DT	the
noise	NN	noise
of	IN	of
shelling	VBG	shell
from	IN	from
the	DT	the
air	NN	air
and	CC	and
the	DT	the
ground	NN	ground
were	VBD	be
non-stop	JJ	non-stop
,	,	,
they	PP	they
said	VBD	say
.	SENT	.
Some	DT	some
buildings	NNS	building
caught	VBD	catch
fire	NN	fire
and	CC	and
smoke	NN	smoke
rose	VBD	rise
where	WRB	where
bombs	NNS	bomb
had	VBD	have
fallen	VBN	fall
.	SENT	.
Along	IN	along
Gaza	NP	Gaza
'	POS	'
s	JJ	<unknown>
southern	JJ	southern
coast	NN	coast
,	,	,
witnesses	NNS	witness
said	VBD	say
Israeli	JJ	Israeli
naval	JJ	naval
vessels	NNS	vessel
shelled	VBD	shell
the	DT	the
beach	NN	beach
.	SENT	.
<p>
In	IN	in
the	DT	the
southern	JJ	southern
city	NN	city
of	IN	of
Rafah	NP	<unknown>
,	,	,
where	WRB	where
more	JJR	more
than	IN	than
a	DT	a
million	CD	million
displaced	VBN	displace
people	NNS	people
are	VBP	be
concentrated	VBN	concentrate
,	,	,
three	CD	three
Palestinians	NNS	Palestinian
were	VBD	be
killed	VBN	kill
in	IN	in
an	DT	an
Israeli	JJ	Israeli
air	NN	air
strike	NN	strike
on	IN	on
a	DT	a
car	NN	car
.	SENT	.
Another	DT	another
car	NN	car
was	VBD	be
hit	VBN	hit
in	IN	in
Gaza	NP	Gaza
City	NP	City
,	,	,
killing	VBG	kill
three	CD	three
people	NNS	people
,	,	,
health	NN	health
officials	NNS	official
said	VBD	say
.	SENT	.
Violence	NN	violence
has	VBZ	have
also	RB	also
surged	VBN	surge
in	IN	in
the	DT	the
Israeli-occupied	JJ	Israeli-occupied
West	NP	West
Bank	NP	Bank
,	,	,
where	WRB	where
Hamas	NP	<unknown>
'	POS	'
s	JJ	<unknown>
rival	NN	rival
the	DT	the
Palestinian	NP	Palestinian
Authority	NP	Authority
has	VBZ	have
limited	VBN	limit
self-rule	NN	self-rule
.	SENT	.
The	DT	the
Palestinian	NP	Palestinian
Health	NP	Health
Ministry	NP	Ministry
there	RB	there
said	VBD	say
Israeli	JJ	Israeli
forces	NNS	force
have	VBP	have
killed	VBN	kill
360	CD	@card@
Palestinians	NNS	Palestinian
since	IN	since
Oct.	NP	Oct.
7	CD	@card@
.	SENT	.
<p>
PROLONG	VB	prolong
THE	DT	the
CONFLICT	NN	conflict
The	DT	the
U.N	NP	U.N
.	SENT	.
'	''	'
s	VBZ	<unknown>
Guterres	NP	Guterres
also	RB	also
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
people	NNS	people
and	CC	and
such	PDT	such
a	DT	a
stance	NN	stance
would	MD	would
indefinitely	RB	indefinitely
prolong	VB	prolong
a	DT	a
conflict	NN	conflict
.	SENT	.
<p>
His	PP$	his
comments	NNS	comment
followed	VBD	follow
remarks	NNS	remark
by	IN	by
Israeli	NP	Israeli
Prime	NP	Prime
Minister	NP	Minister
Benjamin	NP	Benjamin
Netanyahu	NP	<unknown>
which	WDT	which
appeared	VBD	appear
to	TO	to
rule	VB	rule
out	RP	out
the	DT	the
so-called	JJ	so-called
two-state	NN	two-state
solution	NN	solution
to	TO	to
the	DT	the
decades-long	JJ	decades-long
Israel-Palestinian	JJ	Israel-Palestinian
conflict	NN	conflict
-	NN	<unknown>
as	RB	as
urged	VBD	urge
by	IN	by
the	DT	the
United	NP	United
States	NPS	States
and	CC	and
other	JJ	other
governments	NNS	government
.	SENT	.
Netanyahu	NP	<unknown>
'	POS	'
s	NN	S
office	NN	office
said	VBD	say
that	IN	that
in	IN	in
talks	NNS	talk
with	IN	with
U.S.	NP	U.S.
President	NP	President
Joe	NP	Joe
Biden	NP	Biden
on	IN	on
Friday	NP	Friday
,	,	,
the	DT	the
prime	JJ	prime
minister	NN	minister
"	``	"
reiterated	VBD	reiterate
his	PP$	his
policy	NN	policy
that	IN	that
after	IN	after
Hamas	NN	<unknown>
is	VBZ	be
destroyed	VBN	destroy
Israel	NP	Israel
must	MD	must
retain	VB	retain
security	NN	security
control	NN	control
over	IN	over
Gaza	NP	Gaza
to	TO	to
ensure	VB	ensure
that	IN	that
Gaza	NP	Gaza
will	MD	will
no	RB	no
longer	RBR	longer
pose	VB	pose
a	DT	a
threat	NN	threat
to	TO	to
Israel	NP	Israel
,	,	,
a	DT	a
requirement	NN	requirement
that	WDT	that
contradicts	VBZ	contradict
the	DT	the
demand	NN	demand
for	IN	for
Palestinian	JJ	Palestinian
sovereignty	NN	sovereignty
"	''	"
.	SENT	.
<p>
Hamas	NNS	<unknown>
for	IN	for
its	PP$	its
part	NN	part
said	VBD	say
the	DT	the
United	NP	United
States	NPS	States
was	VBD	be
ignoring	VBG	ignore
Palestinian	JJ	Palestinian
suffering	NN	suffering
and	CC	and
deaths	NNS	death
while	IN	while
supporting	VBG	support
Israeli	JJ	Israeli
actions	NNS	action
financially	RB	financially
and	CC	and
militarily	RB	militarily
.	SENT	.
In	IN	in
a	DT	a
statement	NN	statement
on	IN	on
Sunday	NP	Sunday
,	,	,
it	PP	it
called	VBD	call
its	PP$	its
Oct.	NP	Oct.
7	CD	@card@
assault	NN	assault
a	DT	a
"	``	"
necessary	JJ	necessary
step	NN	step
"	''	"
.	SENT	.
<p>
"	``	"
It	PP	it
was	VBD	be
a	DT	a
defensive	JJ	defensive
act	NN	act
in	IN	in
the	DT	the
frame	NN	frame
of	IN	of
getting	VBG	get
rid	JJ	rid
of	IN	of
the	DT	the
Israeli	JJ	Israeli
occupation	NN	occupation
,	,	,
reclaiming	VBG	reclaim
the	DT	the
Palestinian	JJ	Palestinian
rights	NNS	right
and	CC	and
on	IN	on
the	DT	the
way	NN	way
for	IN	for
liberation	NN	liberation
and	CC	and
independence	NN	independence
,	,	,
"	''	"
Hamas	NP	<unknown>
said	VBD	say
.	SENT	.
The	DT	the
attacks	NNS	attack
,	,	,
in	IN	in
which	WDT	which
many	JJ	many
women	NNS	woman
and	CC	and
children	NNS	child
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
condemnation	NN	condemnation
.	SENT	.
