<p>
Prime	NP	Prime
that	WDT	that
will	MD	will
guarantee	VB	guarantee
security	NN	security
and	CC	and
stability	NN	stability
for	IN	for
Israel	NP	Israel
,	,	,
alongside	IN	alongside
a	DT	a
sovereign	JJ	sovereign
and	CC	and
viable	JJ	viable
Palestine	NP	Palestine
state	NN	state
"	''	"
.	SENT	.
<p>
US	NP	US
President	NP	President
Joe	NP	Joe
Biden	NP	Biden
said	VBD	say
:	:	:
"	``	"
After	IN	after
many	JJ	many
months	NNS	month
of	IN	of
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
and	CC	and
Qatar	NP	Qatar
,	,	,
Israel	NP	Israel
and	CC	and
Hamas	NP	<unknown>
have	VBP	have
reached	VBN	reach
a	DT	a
ceasefire	NN	ceasefire
and	CC	and
hostage	NN	hostage
deal	NN	deal
.	SENT	.
"	''	"
<p>
"	``	"
This	DT	this
deal	NN	deal
will	MD	will
halt	VB	halt
the	DT	the
fighting	NN	fighting
in	IN	in
Gaza	NP	Gaza
,	,	,
surge	NN	surge
much-needed	VBN	much-need
humanitarian	JJ	humanitarian
assistance	NN	assistance
to	TO	to
Palestinian	JJ	Palestinian
civilians	NNS	civilian
,	,	,
and	CC	and
reunite	VB	reunite
the	DT	the
hostages	NNS	hostage
with	IN	with
their	PP$	their
families	NNS	family
after	IN	after
more	JJR	more
than	IN	than
15	CD	@card@
months	NNS	month
in	IN	in
captivity	NN	captivity
.	SENT	.
<p>
"	''	"
I	PP	I
laid	VBD	lay
out	RP	out
the	DT	the
precise	JJ	precise
contours	NNS	contour
of	IN	of
this	DT	this
plan	NN	plan
on	IN	on
May	NP	May
31	CD	@card@
,	,	,
2024	CD	@card@
,	,	,
after	IN	after
which	WDT	which
it	PP	it
was	VBD	be
endorsed	VBN	endorse
unanimously	RB	unanimously
by	IN	by
the	DT	the
UN	NP	UN
Security	NP	Security
Council	NP	Council
.	SENT	.
<p>
"	``	"
It	PP	it
is	VBZ	be
the	DT	the
result	NN	result
not	RB	not
only	RB	only
of	IN	of
the	DT	the
extreme	JJ	extreme
pressure	NN	pressure
that	IN	that
Hamas	NP	<unknown>
has	VBZ	have
been	VBN	be
under	IN	under
and	CC	and
the	DT	the
changed	JJ	changed
regional	JJ	regional
equation	NN	equation
after	IN	after
a	DT	a
ceasefire	NN	ceasefire
in	IN	in
Lebanon	NP	Lebanon
and	CC	and
weakening	VBG	weaken
of	IN	of
Iran	NP	Iran
--	:	--
but	CC	but
also	RB	also
of	IN	of
dogged	JJ	dogged
and	CC	and
painstaking	JJ	painstaking
American	JJ	American
diplomacy	NN	diplomacy
.	SENT	.
My	PP$	my
diplomacy	NN	diplomacy
never	RB	never
ceased	VBD	cease
in	IN	in
their	PP$	their
efforts	NNS	effort
to	TO	to
get	VB	get
this	DT	this
done	VBN	do
.	SENT	.
"	``	"
