<p>
Mourners	NNS	mourner
often	RB	often
indistinguishable	JJ	indistinguishable
from	IN	from
theirs	PP	theirs
.	SENT	.
In	IN	in
fact	NN	fact
,	,	,
one	PP	one
could	MD	could
easily	RB	easily
mistake	VB	mistake
PASF	NP	<unknown>
for	IN	for
the	DT	the
Israeli	JJ	Israeli
army	NN	army
,	,	,
if	IN	if
it	PP	it
were	VBD	be
n't	RB	n't
for	IN	for
their	PP$	their
different	JJ	different
uniforms	NNS	uniform
.	SENT	.
<p>
And	CC	and
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
the	DT	the
PASF	NN	<unknown>
embarked	VBN	embark
on	IN	on
their	PP$	their
very	RB	very
own	JJ	own
extensive	JJ	extensive
act	NN	act
of	IN	of
aggression	NN	aggression
against	IN	against
Jenin	NP	<unknown>
.	SENT	.
They	PP	they
laid	VBD	lay
a	DT	a
relentless	JJ	relentless
siege	NN	siege
on	IN	on
the	DT	the
refugee	NN	refugee
camp	NN	camp
,	,	,
cutting	VBG	cut
off	RP	off
water	NN	water
,	,	,
electricity	NN	electricity
and	CC	and
banning	VBG	ban
the	DT	the
entry	NN	entry
of	IN	of
most	JJS	most
basic	JJ	basic
supplies	NNS	supply
.	SENT	.
The	DT	the
PASF	NP	<unknown>
also	RB	also
stationed	VBD	station
snipers	NNS	sniper
on	IN	on
rooftops	NNS	rooftop
and	CC	and
placed	VBN	place
checkpoints	NNS	checkpoint
in	IN	in
the	DT	the
streets	NNS	street
,	,	,
in	IN	in
order	NN	order
to	TO	to
limit	VB	limit
the	DT	the
movement	NN	movement
of	IN	of
resistance	NN	resistance
fighters	NNS	fighter
.	SENT	.
<p>
There	EX	there
are	VBP	be
also	RB	also
reports	NNS	report
of	IN	of
beatings	NNS	beating
,	,	,
arrests	NNS	arrest
and	CC	and
torture	NN	torture
.	SENT	.
A	DT	a
team	NN	team
from	IN	from
the	DT	the
Palestinian	JJ	Palestinian
Red	NP	Red
Crescent	NP	Crescent
Society	NP	Society
testified	VBD	testify
to	TO	to
being	VBG	be
detained	VBN	detain
,	,	,
beaten	VBN	beat
and	CC	and
interrogated	VBN	interrogate
for	IN	for
two	CD	two
and	CC	and
a	DT	a
half	JJ	half
days	NNS	day
while	IN	while
they	PP	they
were	VBD	be
trying	VBG	try
to	TO	to
deliver	VB	deliver
medications	NNS	medication
to	TO	to
besieged	JJ	besieged
families	NNS	family
.	SENT	.
<p>
In	IN	in
a	DT	a
video	NN	video
doing	VBG	do
the	DT	the
rounds	NNS	round
on	IN	on
Palestinian	JJ	Palestinian
social	JJ	social
media	NNS	medium
two	CD	two
men	NNS	man
are	VBP	be
being	VBG	be
forced	VBN	force
to	TO	to
stand	VB	stand
on	IN	on
one	CD	one
leg	NN	leg
and	CC	and
recite	VB	recite
"	''	"
the	DT	the
President	NP	President
Abu	NP	Abu
Mazen	NP	Mazen
Mahmoud	NP	Mahmoud
Abbas	NP	Abbas
is	VBZ	be
God	NP	God
"	''	"
over	IN	over
and	CC	and
over	IN	over
.	SENT	.
In	IN	in
another	DT	another
video	NN	video
,	,	,
members	NNS	member
of	IN	of
the	DT	the
PASF	NP	<unknown>
are	VBP	be
beating	VBG	beat
a	DT	a
young	JJ	young
man	NN	man
senseless	JJ	senseless
apparently	RB	apparently
for	IN	for
criticising	VBG	criticise
the	DT	the
PA	NN	pa
'	POS	'
s	JJ	<unknown>
siege	NN	siege
on	IN	on
Jenin	NP	<unknown>
refugee	NN	refugee
camp	NN	camp
.	SENT	.
Perhaps	RB	perhaps
unsurprisingly	RB	unsurprisingly
,	,	,
many	JJ	many
are	VBP	be
using	VBG	use
the	DT	the
word	NN	word
"	``	"
shabiha	NN	<unknown>
"	''	"
to	TO	to
describe	VB	describe
the	DT	the
PASF	NN	<unknown>
--	:	--
a	DT	a
term	NN	term
commonly	RB	commonly
used	VBD	use
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
former	JJ	former
dictator	NN	dictator
Bashar	NP	Bashar
al-Assad	NP	al-Assad
.	SENT	.
<p>
Advertisement	NN	advertisement
<p>
Residents	NNS	resident
of	IN	of
the	DT	the
camp	NN	camp
have	VBP	have
taken	VBN	take
to	TO	to
the	DT	the
streets	NNS	street
in	IN	in
protest	NN	protest
and	CC	and
have	VBP	have
called	VBN	call
for	IN	for
the	DT	the
PA	NN	pa
to	TO	to
halt	VB	halt
its	PP$	its
brutal	JJ	brutal
assault	NN	assault
,	,	,
and	CC	and
put	VBD	put
an	DT	an
end	NN	end
to	TO	to
bloodshed	NN	bloodshed
between	IN	between
kin	NN	kin
.	SENT	.
But	CC	but
these	DT	these
calls	NNS	call
have	VBP	have
been	VBN	be
ignored	VBN	ignore
.	SENT	.
Instead	RB	instead
,	,	,
the	DT	the
PASF	NP	<unknown>
is	VBZ	be
insisting	VBG	insist
that	IN	that
the	DT	the
resistance	NN	resistance
fighters	NNS	fighter
either	CC	either
give	VB	give
up	RP	up
their	PP$	their
weapons	NNS	weapon
or	CC	or
leave	VB	leave
the	DT	the
camp	NN	camp
,	,	,
both	CC	both
of	IN	of
which	WDT	which
they	PP	they
have	VBP	have
categorically	RB	categorically
refused	VBN	refuse
to	TO	to
do	VB	do
.	SENT	.
How	WRB	how
this	DT	this
plays	NNS	play
out	RB	out
is	VBZ	be
yet	RB	yet
to	TO	to
be	VB	be
seen	VBN	see
,	,	,
but	CC	but
what	WP	what
is	VBZ	be
certain	JJ	certain
is	VBZ	be
that	IN	that
more	RBR	more
Palestinian	JJ	Palestinian
blood	NN	blood
will	MD	will
be	VB	be
spilled	VBN	spill
before	IN	before
it	PP	it
ends	VBZ	end
.	SENT	.
<p>
For	IN	for
the	DT	the
PA	NN	pa
leadership	NN	leadership
,	,	,
the	DT	the
operation	NN	operation
in	IN	in
Jenin	NP	<unknown>
is	VBZ	be
part	NN	part
of	IN	of
a	DT	a
much	RB	much
larger	JJR	large
picture	NN	picture
--	:	--
one	CD	one
that	WDT	that
allows	VBZ	allow
it	PP	it
to	TO	to
position	VB	position
itself	PP	itself
as	IN	as
the	DT	the
body	NN	body
to	TO	to
take	VB	take
over	IN	over
Gaza	NP	Gaza
after	IN	after
a	DT	a
ceasefire	NN	ceasefire
.	SENT	.
The	DT	the
logic	NN	logic
is	VBZ	be
that	IN	that
if	IN	if
the	DT	the
PA	NN	pa
can	MD	can
prove	VB	prove
that	IN	that
it	PP	it
can	MD	can
quell	VB	quell
and	CC	and
even	RB	even
eliminate	VB	eliminate
the	DT	the
armed	JJ	armed
resistance	NN	resistance
in	IN	in
the	DT	the
West	NP	West
Bank	NP	Bank
,	,	,
Israel	NP	Israel
and	CC	and
the	DT	the
United	NP	United
States	NPS	States
will	MD	will
facilitate	VB	facilitate
its	PP$	its
installation	NN	installation
in	IN	in
Gaza	NP	Gaza
.	SENT	.
However	RB	however
,	,	,
while	IN	while
the	DT	the
Biden	NP	Biden
administration	NN	administration
has	VBZ	have
indicated	VBN	indicate
that	IN	that
it	PP	it
would	MD	would
support	VB	support
a	DT	a
PA	NN	pa
takeover	NN	takeover
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
on	IN	on
the	DT	the
contrary	NN	contrary
,	,	,
has	VBZ	have
categorically	RB	categorically
stated	VBN	state
that	IN	that
it	PP	it
would	MD	would
refuse	VB	refuse
such	PDT	such
a	DT	a
scenario	NN	scenario
.	SENT	.
Nonetheless	RB	nonetheless
,	,	,
the	DT	the
PA	NN	pa
leadership	NN	leadership
continues	VBZ	continue
to	TO	to
play	VB	play
its	PP$	its
role	NN	role
as	IN	as
native	JJ	native
enforcer	NN	enforcer
in	IN	in
the	DT	the
hope	NN	hope
of	IN	of
more	JJR	more
scraps	NNS	scrap
from	IN	from
the	DT	the
master	NN	master
'	POS	'
s	NN	S
table	NN	table
.	SENT	.
<p>
As	IN	as
if	IN	if
to	TO	to
prove	VB	prove
its	PP$	its
guilt	NN	guilt
and	CC	and
pour	VB	pour
more	JJR	more
salt	NN	salt
to	TO	to
the	DT	the
wound	NN	wound
,	,	,
the	DT	the
PA	NN	pa
recently	RB	recently
announced	VBD	announce
its	PP$	its
decision	NN	decision
to	TO	to
suspend	VB	suspend
Al	NP	Al
Jazeera	NP	<unknown>
'	POS	'
s	JJ	<unknown>
operations	NNS	operation
in	IN	in
the	DT	the
occupied	JJ	occupied
West	NP	West
Bank	NP	Bank
,	,	,
as	IN	as
a	DT	a
punishment	NN	punishment
for	IN	for
its	PP$	its
coverage	NN	coverage
of	IN	of
Jenin	NP	<unknown>
.	SENT	.
The	DT	the
PA	NN	pa
follows	VBZ	follow
in	IN	in
the	DT	the
footsteps	NNS	footstep
of	IN	of
the	DT	the
Israeli	JJ	Israeli
government	NN	government
which	WDT	which
also	RB	also
banned	VBD	ban
the	DT	the
media	NNS	medium
network	NN	network
in	IN	in
May	NP	May
2024	CD	@card@
,	,	,
in	IN	in
direct	JJ	direct
response	NN	response
to	TO	to
its	PP$	its
coverage	NN	coverage
of	IN	of
the	DT	the
ongoing	JJ	ongoing
genocide	NN	genocide
in	IN	in
Gaza	NP	Gaza
.	SENT	.
<p>
Advertisement	NN	advertisement
<p>
Whilst	IN	whilst
the	DT	the
PA	NN	pa
leadership	NN	leadership
'	POS	'
s	NN	S
treachery	NN	treachery
and	CC	and
security	NN	security
coordination	NN	coordination
with	IN	with
the	DT	the
Israeli	JJ	Israeli
regime	NN	regime
is	VBZ	be
nothing	NN	nothing
new	JJ	new
,	,	,
its	PP$	its
ongoing	JJ	ongoing
siege	NN	siege
of	IN	of
Jenin	NP	<unknown>
has	VBZ	have
carried	VBN	carry
its	PP$	its
betrayal	NN	betrayal
of	IN	of
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
to	TO	to
a	DT	a
whole	JJ	whole
new	JJ	new
level	NN	level
.	SENT	.
Its	PP$	its
casual	JJ	casual
spilling	VBG	spill
of	IN	of
civilian	JJ	civilian
blood	NN	blood
,	,	,
and	CC	and
the	DT	the
shabiha-style	NN	shabiha-style
beatings	NNS	beating
and	CC	and
torture	VBP	torture
,	,	,
demonstrate	VBP	demonstrate
that	IN	that
it	PP	it
is	VBZ	be
more	JJR	more
than	IN	than
willing	JJ	willing
to	TO	to
cross	VB	cross
red	JJ	red
lines	NNS	line
unlikely	JJ	unlikely
to	TO	to
ever	RB	ever
be	VB	be
forgotten	VBN	forget
or	CC	or
forgiven	VBN	forgive
by	IN	by
the	DT	the
Palestinian	JJ	Palestinian
people	NNS	people
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
a	DT	a
leadership	NN	leadership
already	RB	already
suffering	VBG	suffer
from	IN	from
a	DT	a
crisis	NN	crisis
of	IN	of
legitimacy	NN	legitimacy
for	IN	for
its	PP$	its
failure	NN	failure
to	TO	to
take	VB	take
a	DT	a
meaningful	JJ	meaningful
stand	NN	stand
against	IN	against
the	DT	the
ongoing	JJ	ongoing
genocide	NN	genocide
in	IN	in
Gaza	NP	Gaza
.	SENT	.
<p>
The	DT	the
views	NNS	view
expressed	VBN	express
in	IN	in
this	DT	this
article	NN	article
are	VBP	be
the	DT	the
author	NN	author
'	POS	'
s	NNS	<unknown>
own	VBP	own
and	CC	and
do	VBP	do
not	RB	not
necessarily	RB	necessarily
reflect	VB	reflect
Al	NP	Al
Jazeera	NP	<unknown>
'	POS	'
s	JJ	<unknown>
editorial	NN	editorial
stance	NN	stance
.	SENT	.
