<p>
Donald	NP	Donald
Trump	NP	Trump
said	VBD	say
that	IN	that
the	DT	the
gates	NNS	gate
of	IN	of
hell	NN	hell
would	MD	would
open	VB	open
if	IN	if
there	EX	there
was	VBD	be
no	DT	no
deal	NN	deal
,	,	,
most	JJS	most
thought	VBD	think
he	PP	he
was	VBD	be
threatening	VBG	threaten
Hamas	NNS	<unknown>
.	SENT	.
But	CC	but
it	PP	it
is	VBZ	be
actually	RB	actually
a	DT	a
threat	NN	threat
to	TO	to
Bibi	NP	Bibi
.	SENT	.
"	``	"
<p>
Street	NN	street
art	NN	art
in	IN	in
Kfar	NP	Kfar
Saba	NP	Saba
,	,	,
Israel	NP	Israel
,	,	,
calling	VBG	call
for	IN	for
the	DT	the
return	NN	return
of	IN	of
hostages	NNS	hostage
held	VBN	hold
in	IN	in
Gaza	NP	Gaza
(	(	(
Photo	NP	Photo
:	:	:
Amir	NP	Amir
Levy/Getty	NP	Levy/Getty
)	)	)
<p>
Both	CC	both
sides	NNS	side
expressed	VBD	express
confidence	NN	confidence
that	IN	that
a	DT	a
deal	NN	deal
was	VBD	be
close	JJ	close
on	IN	on
the	DT	the
sidelines	NNS	sideline
of	IN	of
talks	NNS	talk
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
Qatar	NP	Qatar
told	VBD	tell
Reuters	NP	Reuters
negotiation	NN	negotiation
had	VBD	have
reached	VBN	reach
a	DT	a
critical	JJ	critical
phase	NN	phase
.	SENT	.
"	``	"
We	PP	we
are	VBP	be
close	JJ	close
,	,	,
we	PP	we
are	VBP	be
not	RB	not
there	RB	there
yet	RB	yet
,	,	,
"	''	"
they	PP	they
said	VBD	say
.	SENT	.
Hamas	NNS	<unknown>
said	VBD	say
talks	NNS	talk
were	VBD	be
in	IN	in
the	DT	the
"	``	"
final	JJ	final
stage	NN	stage
"	''	"
.	SENT	.
<p>
A	DT	a
spokesperson	NN	spokesperson
for	IN	for
mediator	NN	mediator
Qatar	NP	Qatar
'	POS	'
s	JJ	<unknown>
foreign	JJ	foreign
ministry	NN	ministry
said	VBD	say
an	DT	an
agreement	NN	agreement
was	VBD	be
"	``	"
closer	JJR	close
than	IN	than
at	IN	at
any	DT	any
time	NN	time
in	IN	in
the	DT	the
past	NN	past
"	''	"
.	SENT	.
<p>
An	DT	an
initial	JJ	initial
33	CD	@card@
Israeli	JJ	Israeli
hostages	NNS	hostage
classed	VBN	class
as	IN	as
vulnerable	JJ	vulnerable
are	VBP	be
to	TO	to
be	VB	be
released	VBN	release
by	IN	by
Hamas	NNS	<unknown>
in	IN	in
the	DT	the
first	JJ	first
phase	NN	phase
of	IN	of
the	DT	the
deal	NN	deal
during	IN	during
an	DT	an
initial	JJ	initial
six-week	NN	six-week
truce	NN	truce
,	,	,
in	IN	in
exchange	NN	exchange
for	IN	for
hundreds	NNS	hundred
of	IN	of
Palestinian	JJ	Palestinian
women	NNS	woman
and	CC	and
children	NNS	child
held	VBN	hold
in	IN	in
Israeli	JJ	Israeli
jails	NNS	jail
.	SENT	.
<p>
Israeli	JJ	Israeli
forces	NNS	force
would	MD	would
begin	VB	begin
to	TO	to
withdraw	VB	withdraw
from	IN	from
Gaza	NP	Gaza
,	,	,
and	CC	and
more	JJR	more
aid	NN	aid
would	MD	would
be	VB	be
allowed	VBN	allow
into	IN	into
the	DT	the
territory	NN	territory
.	SENT	.
<h>
Read	NP	Read
Next	NP	Next
<p>
During	IN	during
the	DT	the
truce	NN	truce
,	,	,
the	DT	the
sides	NNS	side
are	VBP	be
to	TO	to
begin	VB	begin
negotiations	NNS	negotiation
for	IN	for
a	DT	a
second	JJ	second
and	CC	and
third	JJ	third
phase	NN	phase
that	WDT	that
would	MD	would
see	VB	see
Israeli	JJ	Israeli
soldiers	NNS	soldier
and	CC	and
the	DT	the
bodies	NNS	body
of	IN	of
hostages	NNS	hostage
exchanged	VBN	exchange
for	IN	for
more	JJR	more
Palestinian	JJ	Palestinian
prisoners	NNS	prisoner
,	,	,
leading	VBG	lead
to	TO	to
a	DT	a
formal	JJ	formal
end	NN	end
of	IN	of
the	DT	the
war	NN	war
.	SENT	.
<p>
Beleaguered	JJ	beleaguered
Palestinians	NPS	Palestinians
in	IN	in
Gaza	NP	Gaza
,	,	,
and	CC	and
the	DT	the
families	NNS	family
of	IN	of
Israeli	JJ	Israeli
hostages	NNS	hostage
in	IN	in
Israel	NP	Israel
,	,	,
expressed	VBD	express
hope	NN	hope
for	IN	for
a	DT	a
long-awaited	JJ	long-awaited
deal	NN	deal
.	SENT	.
<p>
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
a	DT	a
daughter	NN	daughter
on	IN	on
the	DT	the
first	JJ	first
day	NN	day
of	IN	of
the	DT	the
war	NN	war
,	,	,
told	VBD	tell
the	DT	the
AP	NP	AP
news	NN	news
agency	NN	agency
:	:	:
"	``	"
We	PP	we
'	POS	'
re	NN	re
eagerly	RB	eagerly
waiting	VBG	wait
for	IN	for
a	DT	a
truce	NN	truce
to	TO	to
happen	VB	happen
so	IN	so
we	PP	we
can	MD	can
live	VB	live
in	IN	in
safety	NN	safety
and	CC	and
stability	NN	stability
.	SENT	.
"	''	"
<p>
Meirav	NP	<unknown>
Leshem	NP	Leshem
Gonen	NP	<unknown>
,	,	,
Israeli	JJ	Israeli
mother	NN	mother
of	IN	of
the	DT	the
abducted	VBN	abduct
Romi	NP	Romi
Gonen	NP	<unknown>
,	,	,
said	VBD	say
she	PP	she
felt	VBD	feel
there	EX	there
was	VBD	be
"	``	"
light	JJ	light
at	IN	at
the	DT	the
end	NN	end
of	IN	of
the	DT	the
tunnel	NN	tunnel
"	''	"
.	SENT	.
<p>
UK	NP	UK
'	POS	'
s	NN	S
former	JJ	former
Conservative	NP	Conservative
Middle	NP	Middle
East	NP	East
minister	NN	minister
,	,	,
Alistair	NP	Alistair
Burt	NP	Burt
,	,	,
told	VBD	tell
The	DT	the
i	NP	i
Paper	NP	Paper
that	IN	that
several	JJ	several
factors	NNS	factor
had	VBD	have
combined	VBN	combine
to	TO	to
make	VB	make
a	DT	a
deal	NN	deal
more	RBR	more
likely	JJ	likely
.	SENT	.
<p>
"	``	"
There	EX	there
is	VBZ	be
weariness	NN	weariness
and	CC	and
internal	JJ	internal
political	JJ	political
pressure	NN	pressure
on	IN	on
both	DT	both
Hamas	NP	<unknown>
and	CC	and
Israel	NP	Israel
,	,	,
"	''	"
he	PP	he
said	VBD	say
.	SENT	.
"	``	"
Their	PP$	their
publics	NNS	public
know	VBP	know
a	DT	a
deal	NN	deal
has	VBZ	have
been	VBN	be
on	IN	on
the	DT	the
table	NN	table
for	IN	for
some	DT	some
months	NNS	month
and	CC	and
yet	RB	yet
misery	NN	misery
and	CC	and
death	NN	death
has	VBZ	have
continued	VBN	continue
.	SENT	.
"	''	"
<p>
The	DT	the
return	NN	return
of	IN	of
Trump	NP	Trump
will	MD	will
also	RB	also
be	VB	be
"	``	"
seen	VBN	see
as	IN	as
a	DT	a
change	NN	change
factor	NN	factor
"	''	"
,	,	,
Burt	NP	Burt
added	VBD	add
.	SENT	.
