<p>
Israelis	NPS	Israelis
kidnapped	VBN	kidnap
alive	RB	alive
and	CC	and
were	VBD	be
brutally	RB	brutally
murdered	VBN	murder
in	IN	in
captivity	NN	captivity
.	SENT	.
The	DT	the
military	JJ	military
pressure	NN	pressure
endangers	VBZ	endanger
the	DT	the
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
"	``	"
I	PP	I
am	VBP	be
petrified	VBN	petrify
for	IN	for
my	PP$	my
best	JJS	good
friends	NNS	friend
--	:	--
David	NP	David
and	CC	and
Ariel	NP	Ariel
Cunio	NP	<unknown>
,	,	,
"	''	"
Bibas	NP	<unknown>
said	VBD	say
,	,	,
referring	VBG	refer
to	TO	to
these	DT	these
two	CD	two
brothers	NNS	brother
who	WP	who
are	VBP	be
still	RB	still
in	IN	in
captivity	NN	captivity
.	SENT	.
<p>
"	''	"
I	PP	I
lost	VBD	lose
my	PP$	my
Shiri	NP	Shiri
,	,	,
Ariel	NP	Ariel
,	,	,
and	CC	and
Kfir	NP	<unknown>
,	,	,
but	CC	but
David	NP	David
can	MD	can
still	RB	still
return	VB	return
alive	JJ	alive
to	TO	to
Sharon	NP	Sharon
,	,	,
Emma	NP	Emma
,	,	,
and	CC	and
Yuli	NP	Yuli
and	CC	and
Ariel	NP	Ariel
to	TO	to
his	PP$	his
partner	NN	partner
Arbel	NP	Arbel
Yehoud	NP	<unknown>
and	CC	and
his	PP$	his
family	NN	family
,	,	,
"	''	"
he	PP	he
added	VBD	add
,	,	,
calling	VBG	call
to	TO	to
stop	VB	stop
the	DT	the
fighting	NN	fighting
and	CC	and
bring	VB	bring
the	DT	the
hostages	NNS	hostage
home	NN	home
before	IN	before
anything	NN	anything
else	RB	else
.	SENT	.
<p>
Freed	NP	Freed
hostage	NN	hostage
Noa	NP	Noa
Argamani	NP	Argamani
also	RB	also
commented	VBD	comment
on	IN	on
the	DT	the
return	NN	return
to	TO	to
fighting	VBG	fight
on	IN	on
X/Twitter	NP	X/Twitter
on	IN	on
Tuesday	NP	Tuesday
.	SENT	.
<p>
"	''	"
Suddenly	RB	suddenly
,	,	,
out	RB	out
of	IN	of
the	DT	the
silence	NN	silence
,	,	,
all	DT	all
hope	NN	hope
exploded	VBD	explode
in	IN	in
an	DT	an
instant	NN	instant
,	,	,
"	''	"
she	PP	she
said	VBD	say
,	,	,
adding	VBG	add
that	IN	that
the	DT	the
return	NN	return
to	TO	to
fighting	VBG	fight
means	NNS	mean
"	''	"
explosions	NNS	explosion
and	CC	and
noises	NNS	noise
that	WDT	that
bring	VBP	bring
back	RB	back
the	DT	the
fear	NN	fear
of	IN	of
dying	VBG	die
"	''	"
for	IN	for
the	DT	the
hostages	NNS	hostage
still	RB	still
in	IN	in
Gaza	NP	Gaza
.	SENT	.
<p>
"	``	"
I	PP	I
remember	VBP	remember
how	WRB	how
,	,	,
in	IN	in
November	NP	November
'	POS	'
23	CD	@card@
,	,	,
we	PP	we
heard	VBD	hear
the	DT	the
word	NN	word
hudna	NN	<unknown>
--	:	--
a	DT	a
ceasefire	NN	ceasefire
--	:	--
for	IN	for
the	DT	the
first	JJ	first
time	NN	time
.	SENT	.
And	CC	and
suddenly	RB	suddenly
,	,	,
we	PP	we
started	VBD	start
seeing	VBG	see
things	NNS	thing
change	NN	change
,	,	,
people	NNS	people
being	VBG	be
released	VBN	release
.	SENT	.
Every	DT	every
day	NN	day
that	WDT	that
passed	VBD	pass
,	,	,
the	DT	the
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
you	PP	you
'	POS	'
ll	NNS	<unknown>
go	VBP	go
home	NN	home
.	SENT	.
'	''	'
"	``	"
Argamani	NP	Argamani
said	VBD	say
that	IN	that
this	DT	this
gave	VBD	give
her	PP	her
the	DT	the
feeling	NN	feeling
that	IN	that
she	PP	she
would	MD	would
make	VB	make
it	PP	it
out	RP	out
alive	RB	alive
.	SENT	.
<p>
"	''	"
But	CC	but
then	RB	then
,	,	,
in	IN	in
a	DT	a
single	JJ	single
moment	NN	moment
,	,	,
we	PP	we
started	VBD	start
hearing	VBG	hear
the	DT	the
explosions	NNS	explosion
again	RB	again
.	SENT	.
Suddenly	RB	suddenly
,	,	,
all	PDT	all
the	DT	the
dreams	NNS	dream
of	IN	of
going	VBG	go
home	NN	home
,	,	,
of	IN	of
hugging	VBG	hug
family	NN	family
and	CC	and
friends	NNS	friend
shattered	VBN	shatter
in	IN	in
an	DT	an
instant	NN	instant
.	SENT	.
The	DT	the
thought	NN	thought
of	IN	of
seeing	VBG	see
the	DT	the
light	NN	light
again	RB	again
felt	VBD	feel
so	RB	so
far	RB	far
away	RB	away
,	,	,
"	''	"
she	PP	she
said	VBD	say
.	SENT	.
<p>
"	''	"
In	IN	in
one	CD	one
moment	NN	moment
,	,	,
the	DT	the
ceasefire	NN	ceasefire
was	VBD	be
gone	VBN	go
,	,	,
and	CC	and
with	IN	with
it	PP	it
,	,	,
the	DT	the
hope	NN	hope
that	IN	that
I	PP	I
would	MD	would
get	VB	get
out	RP	out
of	IN	of
there	RB	there
alive	JJ	alive
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
sorry	RB	sorry
,	,	,
Avinatan	NP	Avinatan
.	SENT	.
I	NP	I
'	POS	'
m	NN	m
sorry	RB	sorry
that	IN	that
for	IN	for
529	CD	@card@
days	NNS	day
you	PP	you
have	VBP	have
n't	RB	n't
seen	VBN	see
daylight	NN	daylight
,	,	,
"	''	"
Argamani	NP	Argamani
said	VBD	say
,	,	,
referencing	VBG	reference
captive	JJ	captive
Avinatan	NP	Avinatan
Or	NP	Or
.	SENT	.
<p>
"	''	"
I	NP	I
'	POS	'
m	NN	m
sorry	RB	sorry
that	IN	that
you	PP	you
were	VBD	be
left	VBN	leave
behind	IN	behind
,	,	,
"	''	"
she	PP	she
added	VBD	add
,	,	,
saying	VBG	say
that	IN	that
the	DT	the
hostages	NNS	hostage
must	MD	must
not	RB	not
be	VB	be
abandoned	VBN	abandon
.	SENT	.
<p>
She	PP	she
called	VBD	call
on	IN	on
the	DT	the
government	NN	government
to	TO	to
"	``	"
bring	VB	bring
them	PP	them
out	RP	out
,	,	,
"	''	"
saying	VBG	say
this	DT	this
was	VBD	be
"	``	"
the	DT	the
most	RBS	most
urgent	JJ	urgent
thing	NN	thing
.	SENT	.
They	PP	they
are	VBP	be
out	RB	out
of	IN	of
time	NN	time
.	SENT	.
"	''	"
<h>
Karina	NP	Karina
Ariev	NP	<unknown>
:	:	:
Cries	VBZ	cry
of	IN	of
my	PP$	my
brothers	NNS	brother
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
<p>
Freed	VBN	free
hostage	NN	hostage
Karina	NP	Karina
Ariev	NP	<unknown>
also	RB	also
took	VBD	take
to	TO	to
Instagram	NP	<unknown>
to	TO	to
share	VB	share
her	PP$	her
feelings	NNS	feeling
about	IN	about
the	DT	the
return	NN	return
to	TO	to
fighting	VBG	fight
,	,	,
saying	VBG	say
that	IN	that
she	PP	she
felt	VBD	feel
helplessness	NN	helplessness
,	,	,
fear	NN	fear
,	,	,
and	CC	and
pain	NN	pain
.	SENT	.
<p>
"	``	"
I	PP	I
do	VBP	do
n't	RB	n't
know	VB	know
what	WP	what
the	DT	the
right	JJ	right
thing	NN	thing
to	TO	to
do	VB	do
is	VBZ	be
,	,	,
but	CC	but
I	PP	I
do	VBP	do
know	VB	know
for	IN	for
sure	JJ	sure
that	IN	that
the	DT	the
cries	NNS	cry
of	IN	of
my	PP$	my
brothers	NNS	brother
who	WP	who
are	VBP	be
still	RB	still
in	IN	in
hell	NN	hell
are	VBP	be
echoing	VBG	echo
in	IN	in
my	PP$	my
ears	NNS	ear
.	SENT	.
"	''	"
<p>
"	``	"
I	PP	I
can	MD	can
see	VB	see
their	PP$	their
frightened	JJ	frightened
and	CC	and
helpless	JJ	helpless
expressions	NNS	expression
.	SENT	.
I	PP	I
feel	VBP	feel
that	IN	that
I	PP	I
am	VBP	be
still	RB	still
there	RB	there
.	SENT	.
My	PP$	my
heart	NN	heart
is	VBZ	be
broken	VBN	break
and	CC	and
crushed	VBN	crush
,	,	,
"	''	"
Ariev	NP	<unknown>
continued	VBD	continue
.	SENT	.
<p>
She	PP	she
called	VBD	call
on	IN	on
Israelis	NNS	Israeli
not	RB	not
to	TO	to
forget	VB	forget
the	DT	the
hostages	NNS	hostage
and	CC	and
to	TO	to
pray	VB	pray
for	IN	for
their	PP$	their
safety	NN	safety
and	CC	and
return	NN	return
as	IN	as
well	RB	well
as	RB	as
for	IN	for
the	DT	the
safety	NN	safety
of	IN	of
the	DT	the
soldiers	NNS	soldier
in	IN	in
combat	NN	combat
.	SENT	.
<h>
Liri	NP	<unknown>
Albag	NP	<unknown>
:	:	:
Gaza	NP	Gaza
hostages	NNS	hostage
are	VBP	be
being	VBG	be
forgotten	VBN	forget
again	RB	again
<p>
Freed	VBN	free
hostage	NN	hostage
Liri	NP	<unknown>
Albag	NP	<unknown>
took	VBD	take
to	TO	to
Instagram	NP	<unknown>
to	TO	to
share	VB	share
her	PP$	her
feelings	NNS	feeling
about	IN	about
the	DT	the
return	NN	return
to	TO	to
fighting	VBG	fight
,	,	,
saying	VBG	say
that	IN	that
the	DT	the
captives	NNS	captive
still	RB	still
held	VBN	hold
in	IN	in
Gaza	NP	Gaza
"	''	"
are	VBP	be
being	VBG	be
forgotten	VBN	forget
again	RB	again
.	SENT	.
"	''	"
<p>
"	``	"
Their	PP$	their
fates	NNS	fate
are	VBP	be
being	VBG	be
played	VBN	play
with	IN	with
--	:	--
again	RB	again
.	SENT	.
Their	PP$	their
lives	NNS	life
are	VBP	be
being	VBG	be
risked	VBN	risk
instead	RB	instead
of	IN	of
saved	VBN	save
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
@	SYM	@
"	``	"
I	PP	I
am	VBP	be
writing	VBG	write
to	TO	to
you	PP	you
as	IN	as
someone	NN	someone
who	WP	who
was	VBD	be
there	RB	there
,	,	,
as	IN	as
someone	NN	someone
who	WP	who
knew	VBD	know
them	PP	them
--	:	--
who	WP	who
heard	VBD	hear
their	PP$	their
voices	NNS	voice
and	CC	and
saw	VBD	see
their	PP$	their
gaze	NN	gaze
and	CC	and
understood	VBD	understand
exactly	RB	exactly
what	WP	what
it	PP	it
meant	VBD	mean
to	TO	to
be	VB	be
left	VBN	leave
behind	IN	behind
,	,	,
"	''	"
Albag	NP	<unknown>
said	VBD	say
.	SENT	.
<p>
"	``	"
We	PP	we
ca	MD	ca
n't	RB	n't
continue	VB	continue
while	IN	while
they	PP	they
are	VBP	be
wasting	VBG	waste
away	RB	away
in	IN	in
hell	NN	hell
,	,	,
"	''	"
she	PP	she
added	VBD	add
.	SENT	.
Released	VBN	release
hostage	NN	hostage
Liri	NP	<unknown>
Albag	NP	<unknown>
'	POS	'
s	JJ	<unknown>
post	NN	post
on	IN	on
Instagram	NP	<unknown>
against	IN	against
Israeli	JJ	Israeli
strikes	NNS	strike
in	IN	in
the	DT	the
Gaza	NP	Gaza
Strip	NP	Strip
,	,	,
March	NP	March
18	CD	@card@
,	,	,
2025	CD	@card@
(	(	(
credit	NN	credit
:	:	:
**40	NN	<unknown>
;	:	;
2329	CD	@card@
;	:	;
TOOLONG	NP	<unknown>
)	)	)
<p>
"	``	"
So	RB	so
many	JJ	many
things	NNS	thing
are	VBP	be
running	VBG	run
through	IN	through
my	PP$	my
mind	NN	mind
...	:	...
Mainly	RB	mainly
,	,	,
my	PP$	my
heart	NN	heart
is	VBZ	be
broken	VBN	break
,	,	,
shattered	VBN	shatter
,	,	,
and	CC	and
disappointed	VBD	disappoint
,	,	,
"	``	"
said	VBD	say
freed	VBN	free
hostage	NN	hostage
Emily	NP	Emily
Damari	NP	Damari
,	,	,
whose	WP$	whose
friends	NNS	friend
are	VBP	be
still	RB	still
held	VBN	hold
captive	NN	captive
.	SENT	.
<p>
She	PP	she
said	VBD	say
on	IN	on
Instagram	NP	<unknown>
,	,	,
"	''	"
Gali	NP	Gali
Berman	NP	Berman
,	,	,
Ziv	NP	Ziv
Berman	NP	Berman
,	,	,
and	CC	and
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
hostages	NNS	hostage
,	,	,
we	PP	we
will	MD	will
continue	VB	continue
to	TO	to
fight	VB	fight
for	IN	for
you	PP	you
nonstop	RB	nonstop
and	CC	and
do	VB	do
everything	NN	everything
so	RB	so
that	IN	that
you	PP	you
will	MD	will
come	VB	come
back	RB	back
to	TO	to
us	PP	us
.	SENT	.
"	``	"
